schema_version,run_id,bundle_run_id,case_id,family,method,spectral_samples,bundle_dimension,branch,perturbation_sign,perturbation_norm,propagation_time_nd,propagation_time_days,time_samples,coordinate_system,integrator,event_condition,source_map_status,bundle_research_status,bundle_invariance_residual_max,direction_principal_angle_max_deg_to_qr,branch_sign_consistent,manifold_jacobi_drift,initial_linear_growth_ratio,final_linear_growth_ratio,normalized_3d_manifold_distance_to_qr,normalized_displacement_distance_to_qr,normalized_displacement_perturbation_sensitivity,cross_resolution_normalized_3d_distance,cross_resolution_reference_case,runtime_seconds,status,failure_reason,registry_sha256,method_npz_sha256,source_git_commit
invariant_bundle_manifold_convergence_v2,FRESH-20260716T073007Z-2D9EC0DB-manifold,FRESH-20260716T073007Z-2D9EC0DB-bundle,em_halo_12p40_n21,earth_moon_l1_quasi_halo,ordered_partial_real_schur_tracking,21,1,unstable,-1,2e-07,2.855362047499724,12.3979820102438,41,cr3bp_synodic_rotating_nondimensional,DOP853_rtol1e-11_atol1e-13,none_fixed_duration,pass,boundary,8.121598454661443e-06,0.0004889216617299103,true,1.332267629550188e-15,1.000000022184924,1.000441460507246,9.916189296547633e-10,2.232587453004342e-06,5.746313108824577e-05,0.02182204067932117,em_halo_12p40_n45,0.1361778999998933,fail,cross_resolution_manifold_distance_gt_0p01,B38099E93BB85AD4B97035D667A4AD5E6A74C1805B612EDEABC7AF6497C23EE5,99A80546C17DBBE6DDE6C594B5F5D23784D62E3EB6B387602BC6CFBEF9FB4920,cf04669322d43dfb61acbeaf9e20b85f0c7bf772
invariant_bundle_manifold_convergence_v2,FRESH-20260716T073007Z-2D9EC0DB-manifold,FRESH-20260716T073007Z-2D9EC0DB-bundle,em_halo_12p40_n21,earth_moon_l1_quasi_halo,ordered_partial_real_schur_tracking,21,1,unstable,1,2e-07,2.855362047499724,12.3979820102438,41,cr3bp_synodic_rotating_nondimensional,DOP853_rtol1e-11_atol1e-13,none_fixed_duration,pass,boundary,8.121598454661443e-06,0.0004889216617299103,true,1.332267629550188e-15,0.9999999777644915,0.999559055453898,9.925240100546089e-10,2.235921971620902e-06,5.740278324744309e-05,0.02191678387236872,em_halo_12p40_n45,0.1361528999987058,fail,cross_resolution_manifold_distance_gt_0p01,B38099E93BB85AD4B97035D667A4AD5E6A74C1805B612EDEABC7AF6497C23EE5,99A80546C17DBBE6DDE6C594B5F5D23784D62E3EB6B387602BC6CFBEF9FB4920,cf04669322d43dfb61acbeaf9e20b85f0c7bf772
invariant_bundle_manifold_convergence_v2,FRESH-20260716T073007Z-2D9EC0DB-manifold,FRESH-20260716T073007Z-2D9EC0DB-bundle,em_halo_12p40_n21,earth_moon_l1_quasi_halo,qr_svd_shifted_cocycle_iteration,21,1,unstable,-1,5e-08,2.855362047499724,12.3979820102438,41,cr3bp_synodic_rotating_nondimensional,DOP853_rtol1e-11_atol1e-13,none_fixed_duration,pass,accepted,6.687398870392696e-07,1.207418269725733e-06,true,1.332267629550188e-15,1.00000000541424,1.000110318224512,0,0,2.87193163061777e-05,0.02183941461715755,em_halo_12p40_n45,0.1465018999952008,fail,cross_resolution_manifold_distance_gt_0p01,B38099E93BB85AD4B97035D667A4AD5E6A74C1805B612EDEABC7AF6497C23EE5,99A80546C17DBBE6DDE6C594B5F5D23784D62E3EB6B387602BC6CFBEF9FB4920,cf04669322d43dfb61acbeaf9e20b85f0c7bf772
invariant_bundle_manifold_convergence_v2,FRESH-20260716T073007Z-2D9EC0DB-manifold,FRESH-20260716T073007Z-2D9EC0DB-bundle,em_halo_12p40_n21,earth_moon_l1_quasi_halo,qr_svd_shifted_cocycle_iteration,21,1,unstable,1,5e-08,2.855362047499724,12.3979820102438,41,cr3bp_synodic_rotating_nondimensional,DOP853_rtol1e-11_atol1e-13,none_fixed_duration,pass,accepted,6.687398870392696e-07,1.207418269725733e-06,true,1.332267629550188e-15,0.9999999937597785,0.9998897123012149,0,0,2.870656012024635e-05,0.02185094477388339,em_halo_12p40_n45,0.1632591000015964,fail,cross_resolution_manifold_distance_gt_0p01,B38099E93BB85AD4B97035D667A4AD5E6A74C1805B612EDEABC7AF6497C23EE5,99A80546C17DBBE6DDE6C594B5F5D23784D62E3EB6B387602BC6CFBEF9FB4920,cf04669322d43dfb61acbeaf9e20b85f0c7bf772
invariant_bundle_manifold_convergence_v2,FRESH-20260716T073007Z-2D9EC0DB-manifold,FRESH-20260716T073007Z-2D9EC0DB-bundle,em_halo_12p40_n21,earth_moon_l1_quasi_halo,qr_svd_shifted_cocycle_iteration,21,1,unstable,-1,1e-07,2.855362047499724,12.3979820102438,41,cr3bp_synodic_rotating_nondimensional,DOP853_rtol1e-11_atol1e-13,none_fixed_duration,pass,accepted,6.687398870392696e-07,1.207418269725733e-06,true,1.77635683940025e-15,1.000000011144226,1.00022066508724,0,0,0,0.02183360154661507,em_halo_12p40_n45,0.1609766999972635,fail,cross_resolution_manifold_distance_gt_0p01,B38099E93BB85AD4B97035D667A4AD5E6A74C1805B612EDEABC7AF6497C23EE5,99A80546C17DBBE6DDE6C594B5F5D23784D62E3EB6B387602BC6CFBEF9FB4920,cf04669322d43dfb61acbeaf9e20b85f0c7bf772
invariant_bundle_manifold_convergence_v2,FRESH-20260716T073007Z-2D9EC0DB-manifold,FRESH-20260716T073007Z-2D9EC0DB-bundle,em_halo_12p40_n21,earth_moon_l1_quasi_halo,qr_svd_shifted_cocycle_iteration,21,1,unstable,1,1e-07,2.855362047499724,12.3979820102438,41,cr3bp_synodic_rotating_nondimensional,DOP853_rtol1e-11_atol1e-13,none_fixed_duration,pass,accepted,6.687398870392696e-07,1.207418269725733e-06,true,1.332267629550188e-15,0.9999999888885909,0.9997794639930009,0,0,0,0.02186987099864325,em_halo_12p40_n45,0.1687919000032707,fail,cross_resolution_manifold_distance_gt_0p01,B38099E93BB85AD4B97035D667A4AD5E6A74C1805B612EDEABC7AF6497C23EE5,99A80546C17DBBE6DDE6C594B5F5D23784D62E3EB6B387602BC6CFBEF9FB4920,cf04669322d43dfb61acbeaf9e20b85f0c7bf772
invariant_bundle_manifold_convergence_v2,FRESH-20260716T073007Z-2D9EC0DB-manifold,FRESH-20260716T073007Z-2D9EC0DB-bundle,em_halo_12p40_n21,earth_moon_l1_quasi_halo,qr_svd_shifted_cocycle_iteration,21,1,unstable,-1,2e-07,2.855362047499724,12.3979820102438,41,cr3bp_synodic_rotating_nondimensional,DOP853_rtol1e-11_atol1e-13,none_fixed_duration,pass,accepted,6.687398870392696e-07,1.207418269725733e-06,true,1.332267629550188e-15,1.000000022049521,1.000441459574012,0,0,5.746642130586539e-05,0.02182204109075399,em_halo_12p40_n45,0.1475877000048058,fail,cross_resolution_manifold_distance_gt_0p01,B38099E93BB85AD4B97035D667A4AD5E6A74C1805B612EDEABC7AF6497C23EE5,99A80546C17DBBE6DDE6C594B5F5D23784D62E3EB6B387602BC6CFBEF9FB4920,cf04669322d43dfb61acbeaf9e20b85f0c7bf772
invariant_bundle_manifold_convergence_v2,FRESH-20260716T073007Z-2D9EC0DB-manifold,FRESH-20260716T073007Z-2D9EC0DB-bundle,em_halo_12p40_n21,earth_moon_l1_quasi_halo,qr_svd_shifted_cocycle_iteration,21,1,unstable,1,2e-07,2.855362047499724,12.3979820102438,41,cr3bp_synodic_rotating_nondimensional,DOP853_rtol1e-11_atol1e-13,none_fixed_duration,pass,accepted,6.687398870392696e-07,1.207418269725733e-06,true,1.332267629550188e-15,0.9999999778022389,0.9995590555652407,0,0,5.740143269993352e-05,0.02191678376927397,em_halo_12p40_n45,0.1563679999962915,fail,cross_resolution_manifold_distance_gt_0p01,B38099E93BB85AD4B97035D667A4AD5E6A74C1805B612EDEABC7AF6497C23EE5,99A80546C17DBBE6DDE6C594B5F5D23784D62E3EB6B387602BC6CFBEF9FB4920,cf04669322d43dfb61acbeaf9e20b85f0c7bf772
invariant_bundle_manifold_convergence_v2,FRESH-20260716T073007Z-2D9EC0DB-manifold,FRESH-20260716T073007Z-2D9EC0DB-bundle,em_halo_12p40_n33,earth_moon_l1_quasi_halo,traditional_pointwise_eigendecomposition,33,1,unstable,-1,5e-08,2.855362047499724,12.3979820102438,41,cr3bp_synodic_rotating_nondimensional,DOP853_rtol1e-11_atol1e-13,none_fixed_duration,pass,fail,0.1245260831692273,7.150438164961562,true,1.332267629550188e-15,1.000000004989027,1.000108693603476,3.917671548919601e-06,0.02244622326380152,2.540172705555986e-05,0.01501147490055015,em_halo_12p40_n45,0.1599524999983259,fail,bundle_method_failed_before_manifold;cross_resolution_manifold_distance_gt_0p01,B38099E93BB85AD4B97035D667A4AD5E6A74C1805B612EDEABC7AF6497C23EE5,99A80546C17DBBE6DDE6C594B5F5D23784D62E3EB6B387602BC6CFBEF9FB4920,cf04669322d43dfb61acbeaf9e20b85f0c7bf772
invariant_bundle_manifold_convergence_v2,FRESH-20260716T073007Z-2D9EC0DB-manifold,FRESH-20260716T073007Z-2D9EC0DB-bundle,em_halo_12p40_n33,earth_moon_l1_quasi_halo,traditional_pointwise_eigendecomposition,33,1,unstable,1,5e-08,2.855362047499724,12.3979820102438,41,cr3bp_synodic_rotating_nondimensional,DOP853_rtol1e-11_atol1e-13,none_fixed_duration,pass,fail,0.1245260831692273,7.150438164961562,true,1.332267629550188e-15,0.9999999944414235,0.9998913357545687,3.917035174075355e-06,0.02244779916457056,2.539086183754548e-05,0.01489956140594421,em_halo_12p40_n45,0.1658215999996173,fail,bundle_method_failed_before_manifold;cross_resolution_manifold_distance_gt_0p01,B38099E93BB85AD4B97035D667A4AD5E6A74C1805B612EDEABC7AF6497C23EE5,99A80546C17DBBE6DDE6C594B5F5D23784D62E3EB6B387602BC6CFBEF9FB4920,cf04669322d43dfb61acbeaf9e20b85f0c7bf772
