schema_version,run_id,case_id,family,method,spectral_samples,dg_dimension,runtime_seconds,peak_memory_mb_estimate,iterations,research_status,registry_sha256,source_git_commit
invariant_bundle_runtime_scaling_v1,FRESH-20260716T073007Z-2D9EC0DB-bundle,em_halo_12p40_n21,earth_moon_l1_quasi_halo,traditional_pointwise_eigendecomposition,21,126,0.02136890000110725,0.01717281341552734,0,fail,B38099E93BB85AD4B97035D667A4AD5E6A74C1805B612EDEABC7AF6497C23EE5,cf04669322d43dfb61acbeaf9e20b85f0c7bf772
invariant_bundle_runtime_scaling_v1,FRESH-20260716T073007Z-2D9EC0DB-bundle,em_halo_12p40_n21,earth_moon_l1_quasi_halo,ordered_partial_real_schur_tracking,21,126,0.04371489999903133,0.3835220336914062,0,boundary,B38099E93BB85AD4B97035D667A4AD5E6A74C1805B612EDEABC7AF6497C23EE5,cf04669322d43dfb61acbeaf9e20b85f0c7bf772
invariant_bundle_runtime_scaling_v1,FRESH-20260716T073007Z-2D9EC0DB-bundle,em_halo_12p40_n21,earth_moon_l1_quasi_halo,qr_svd_shifted_cocycle_iteration,21,126,0.08228179999423446,0.3703994750976562,4,accepted,B38099E93BB85AD4B97035D667A4AD5E6A74C1805B612EDEABC7AF6497C23EE5,cf04669322d43dfb61acbeaf9e20b85f0c7bf772
invariant_bundle_runtime_scaling_v1,FRESH-20260716T073007Z-2D9EC0DB-bundle,em_halo_12p40_n33,earth_moon_l1_quasi_halo,traditional_pointwise_eigendecomposition,33,198,0.03235689999564784,0.031158447265625,0,fail,B38099E93BB85AD4B97035D667A4AD5E6A74C1805B612EDEABC7AF6497C23EE5,cf04669322d43dfb61acbeaf9e20b85f0c7bf772
invariant_bundle_runtime_scaling_v1,FRESH-20260716T073007Z-2D9EC0DB-bundle,em_halo_12p40_n33,earth_moon_l1_quasi_halo,ordered_partial_real_schur_tracking,33,198,0.07769679999910295,0.9330368041992188,0,accepted,B38099E93BB85AD4B97035D667A4AD5E6A74C1805B612EDEABC7AF6497C23EE5,cf04669322d43dfb61acbeaf9e20b85f0c7bf772
invariant_bundle_runtime_scaling_v1,FRESH-20260716T073007Z-2D9EC0DB-bundle,em_halo_12p40_n33,earth_moon_l1_quasi_halo,qr_svd_shifted_cocycle_iteration,33,198,0.1411690000022645,0.9099578857421875,4,accepted,B38099E93BB85AD4B97035D667A4AD5E6A74C1805B612EDEABC7AF6497C23EE5,cf04669322d43dfb61acbeaf9e20b85f0c7bf772
invariant_bundle_runtime_scaling_v1,FRESH-20260716T073007Z-2D9EC0DB-bundle,em_halo_12p40_n45,earth_moon_l1_quasi_halo,traditional_pointwise_eigendecomposition,45,270,0.04340039999806322,0.053619384765625,0,fail,B38099E93BB85AD4B97035D667A4AD5E6A74C1805B612EDEABC7AF6497C23EE5,cf04669322d43dfb61acbeaf9e20b85f0c7bf772
invariant_bundle_runtime_scaling_v1,FRESH-20260716T073007Z-2D9EC0DB-bundle,em_halo_12p40_n45,earth_moon_l1_quasi_halo,ordered_partial_real_schur_tracking,45,270,0.1178800999987288,1.728569030761719,0,accepted,B38099E93BB85AD4B97035D667A4AD5E6A74C1805B612EDEABC7AF6497C23EE5,cf04669322d43dfb61acbeaf9e20b85f0c7bf772
invariant_bundle_runtime_scaling_v1,FRESH-20260716T073007Z-2D9EC0DB-bundle,em_halo_12p40_n45,earth_moon_l1_quasi_halo,qr_svd_shifted_cocycle_iteration,45,270,0.2273337000005995,1.689102172851562,4,accepted,B38099E93BB85AD4B97035D667A4AD5E6A74C1805B612EDEABC7AF6497C23EE5,cf04669322d43dfb61acbeaf9e20b85f0c7bf772
invariant_bundle_runtime_scaling_v1,FRESH-20260716T073007Z-2D9EC0DB-bundle,em_halo_12p09_n15_small,earth_moon_l1_quasi_halo,traditional_pointwise_eigendecomposition,15,90,0.01570979999814881,0.01238250732421875,0,fail,B38099E93BB85AD4B97035D667A4AD5E6A74C1805B612EDEABC7AF6497C23EE5,cf04669322d43dfb61acbeaf9e20b85f0c7bf772
invariant_bundle_runtime_scaling_v1,FRESH-20260716T073007Z-2D9EC0DB-bundle,em_halo_12p09_n15_small,earth_moon_l1_quasi_halo,ordered_partial_real_schur_tracking,15,90,0.01675309999700403,0.2509918212890625,0,accepted,B38099E93BB85AD4B97035D667A4AD5E6A74C1805B612EDEABC7AF6497C23EE5,cf04669322d43dfb61acbeaf9e20b85f0c7bf772
