target_id,script,png,png_exists,png_bytes,width_px,height_px,png_sha256,pdf,pdf_exists,pdf_bytes,pdf_sha256,stage_a_status
3.3,figures/fig_3_03.py,outputs/figures_png/fig_3_3.png,True,121669,2343,802,67f682bab9eda38075ab11fab7fcc7d6cae7df2c5fcafa1a28b910c151e15edd,outputs/figures_pdf/fig_3_3.pdf,True,29502,9a53c567aa13716d3445d33b7eea612dbebe9e313c369997200f8055950fd7bb,existing_project_output; stage_b_copy_or_reexport_required
3.4,figures/fig_3_04.py,outputs/figures_png/fig_3_4.png,True,212454,1285,1125,150b967f64ecf24daa98a41ab4255e60c125e9cb8ec607ea71f53e7e752d5228,outputs/figures_pdf/fig_3_4.pdf,True,219753,fcd157900f15191a903e8c5fc06a719dae9c03ed463093d30e9bbdbc879cbea0,existing_project_output; stage_b_copy_or_reexport_required
3.5,figures/fig_3_05.py,outputs/figures_png/fig_3_5.png,True,455621,2382,2402,a1e978e2e503bb964534e2afe2dcdf4c264e0f237cd3b8e40194fb70d04efe11,outputs/figures_pdf/fig_3_5.pdf,True,346274,8aefb2cd188d4e1b0572077d1f97cfe335d87f4564f2b40d13c711ce1ad69742,existing_project_output; stage_b_copy_or_reexport_required
3.6,figures/fig_3_06.py,outputs/figures_png/fig_3_6.png,True,136657,2553,1053,fe028aa170bf607217829848224b1751d3075a68b25118606312fd92e370a076,outputs/figures_pdf/fig_3_6.pdf,True,18558,a90499be3633017f899c416d2d24b7e6d3abd894997fc7137c6a3876e7995a45,existing_project_output; stage_b_copy_or_reexport_required
3.7,figures/fig_3_07.py,outputs/figures_png/fig_3_7.png,True,458104,2382,2402,9bf1df27021f25120f055e6b8aa73590d26618f4dd5b756d50d258fd8c1d8d7d,outputs/figures_pdf/fig_3_7.pdf,True,330337,ac00dabc2712bc5fe48945a858244d5e7b0d2e1ba6a299c60cb10c169282bae5,existing_project_output; stage_b_copy_or_reexport_required
3.8,figures/fig_3_08.py,outputs/figures_png/fig_3_8.png,True,114241,2553,1053,a96950ec9cf357afba4fd63b5dde2acad01a4c9b3e0559f7e390f22ed238dd0d,outputs/figures_pdf/fig_3_8.pdf,True,19961,75d34f1265cc526e6d3514b719923658e1e7eaaa37bb8431164ee5ff446f7c07,existing_project_output; stage_b_copy_or_reexport_required
3.9,figures/fig_3_09.py,outputs/figures_png/fig_3_9.png,True,137678,2523,1098,658fe19564ea182a284e0886358fb1b24ecd489300127090b7f935562c3a24ec,outputs/figures_pdf/fig_3_9.pdf,True,34714,89a63899417e12111acc2d38254972d77c36ba54c451b866e8a49a97624b4302,existing_project_output; stage_b_copy_or_reexport_required
3.10,figures/fig_3_10.py,outputs/figures_png/fig_3_10.png,True,271606,2021,1828,6cfbd0c858781aaf5971349e6d35174b62a562775cdf12d4be0f72a44dd907e1,outputs/figures_pdf/fig_3_10.pdf,True,25878,9285c509f3fbcb528b50c42bab3b1ee9aa3fb0c539f9a07f93a13b86bf51dac3,existing_project_output; stage_b_copy_or_reexport_required
3.11,figures/fig_3_11.py,outputs/figures_png/fig_3_11.png,True,618339,2503,1473,210139995ccd9d73174a4183d6d603c7a2cc380660d73269f6cd2f2fbdff78da,outputs/figures_pdf/fig_3_11.pdf,True,70954,957a19904d9d49ef5e114c7ebe344d0cf80dea43623fa0905ffb2e2e409eefd5,existing_project_output; stage_b_copy_or_reexport_required
3.12,figures/fig_3_12.py,outputs/figures_png/fig_3_12.png,True,487222,2382,2402,ab571c910b7fb0404fe06bfb1e8a98012ed6e7b9b6fa93662e4344d04fca6279,outputs/figures_pdf/fig_3_12.pdf,True,328984,e1f24a53c9724fab428599d63ca9a2d92bfc8da6f989250fdcc6d720b6b5994d,existing_project_output; stage_b_copy_or_reexport_required
