schema_version,anchor_id,figure_id,panel_id,panel_role,anchor_type,anchor_name,x_nd,y_nd,z_nd,observed_full_x_px,observed_full_y_px,panel_rect_x0,panel_rect_y0,panel_rect_x1,panel_rect_y1,observed_normalized_u,observed_normalized_v,predicted_normalized_u,predicted_normalized_v,error_px_on_512_grid,measurement_uncertainty_reference_px,measurement_uncertainty_u_on_512_grid,measurement_uncertainty_v_on_512_grid,used_for_fit,visibility,measurement_method,paper_source,paper_source_sha256,protocol_sha256,raw_anchor_digest,camera_config_sha256,evidence_npz_sha256
chapter4_static_camera_calibration_v1,4.3_b_axis_D,4.3,b,train,axis_corner,D,0.8,-0.15,0.1,506.39,106.37,441.53,20.113,840.967,344.12,0.162378547806037,0.26621955698488,0.160944891920435,0.266913242528494,0.815442395162111,0.5,0.640902069663051,0.790106386590413,true,visible,manual_pdf_native_raster_axis_marker_center,outputs/reference_pages/fig_4_3_reference.png,DDD9E4B1EF0B3B8D456BBF1AEBA66AB1E8A672D8907FFF22B3329269536158EE,6D2FD58CFCA4E74CC533B757E852D7AC772D036E0E385C30A1057EB9861D01C1,73FF6C231F495398F396B3074A9ACBDD3161FD645A70B840B7DF9BE6B002A081,7FE3D12CF319A3CBD60B540FFDAD005B5C7B51C8B5F3A2D924B7CFECBC26DFA0,D0A16AF2EDC36B22EBEE15195CBDED051354E08A291B8ED2F66CB25359B5DF59
chapter4_static_camera_calibration_v1,4.3_b_L2,4.3,b,train,physical_marker,L2,1.15568216544489,0,0,744.96,214.69,441.53,20.113,840.967,344.12,0.759644199210389,0.600533321810949,0.748641703892772,0.607514748789759,6.67164145407103,0.5,0.640902069663051,0.790106386590413,false,visible_unoccluded,manual_pdf_native_raster_axis_marker_center,outputs/reference_pages/fig_4_3_reference.png,DDD9E4B1EF0B3B8D456BBF1AEBA66AB1E8A672D8907FFF22B3329269536158EE,6D2FD58CFCA4E74CC533B757E852D7AC772D036E0E385C30A1057EB9861D01C1,73FF6C231F495398F396B3074A9ACBDD3161FD645A70B840B7DF9BE6B002A081,7FE3D12CF319A3CBD60B540FFDAD005B5C7B51C8B5F3A2D924B7CFECBC26DFA0,D0A16AF2EDC36B22EBEE15195CBDED051354E08A291B8ED2F66CB25359B5DF59
chapter4_static_camera_calibration_v1,4.3_b_Moon,4.3,b,train,physical_marker,Moon,0.987849414390376,0,0,665.57,169.38,441.53,20.113,840.967,344.12,0.560889451903554,0.460690664090591,0.553391016954333,0.467106207617274,5.05263135477411,0.5,0.640902069663051,0.790106386590413,false,visible_unoccluded,manual_pdf_native_raster_axis_marker_center,outputs/reference_pages/fig_4_3_reference.png,DDD9E4B1EF0B3B8D456BBF1AEBA66AB1E8A672D8907FFF22B3329269536158EE,6D2FD58CFCA4E74CC533B757E852D7AC772D036E0E385C30A1057EB9861D01C1,73FF6C231F495398F396B3074A9ACBDD3161FD645A70B840B7DF9BE6B002A081,7FE3D12CF319A3CBD60B540FFDAD005B5C7B51C8B5F3A2D924B7CFECBC26DFA0,D0A16AF2EDC36B22EBEE15195CBDED051354E08A291B8ED2F66CB25359B5DF59
chapter4_static_camera_calibration_v1,4.3_c_axis_A,4.3,c,validation,axis_corner,A,0.8,-0.15,-0.1,83.33,599.67,20.958,404.394,414.387,728.394,0.158534322584253,0.602703703703704,0.163328632536508,0.596717938000048,3.926569324884,0.5,0.650689196780105,0.790123456790123,false,visible,manual_pdf_native_raster_axis_marker_center,outputs/reference_pages/fig_4_3_reference.png,DDD9E4B1EF0B3B8D456BBF1AEBA66AB1E8A672D8907FFF22B3329269536158EE,6D2FD58CFCA4E74CC533B757E852D7AC772D036E0E385C30A1057EB9861D01C1,73FF6C231F495398F396B3074A9ACBDD3161FD645A70B840B7DF9BE6B002A081,7FE3D12CF319A3CBD60B540FFDAD005B5C7B51C8B5F3A2D924B7CFECBC26DFA0,D0A16AF2EDC36B22EBEE15195CBDED051354E08A291B8ED2F66CB25359B5DF59
chapter4_static_camera_calibration_v1,4.3_c_axis_B,4.3,c,validation,axis_corner,B,1.18,-0.15,-0.1,259.04,701.32,20.958,404.394,414.387,728.394,0.605146036514848,0.916438271604938,0.605407193308649,0.914625171899914,0.937887493558752,0.5,0.650689196780105,0.790123456790123,false,visible,manual_pdf_native_raster_axis_marker_center,outputs/reference_pages/fig_4_3_reference.png,DDD9E4B1EF0B3B8D456BBF1AEBA66AB1E8A672D8907FFF22B3329269536158EE,6D2FD58CFCA4E74CC533B757E852D7AC772D036E0E385C30A1057EB9861D01C1,73FF6C231F495398F396B3074A9ACBDD3161FD645A70B840B7DF9BE6B002A081,7FE3D12CF319A3CBD60B540FFDAD005B5C7B51C8B5F3A2D924B7CFECBC26DFA0,D0A16AF2EDC36B22EBEE15195CBDED051354E08A291B8ED2F66CB25359B5DF59
chapter4_static_camera_calibration_v1,4.3_c_axis_C,4.3,c,validation,axis_corner,C,1.18,0.15,-0.1,395.48,622.55,20.958,404.394,414.387,728.394,0.951943044361245,0.673320987654321,0.950840972467809,0.670897523876687,1.36308777746129,1.5,1.95206759034032,2.37037037037037,false,visible,manual_pdf_native_raster_axis_marker_center,outputs/reference_pages/fig_4_3_reference.png,DDD9E4B1EF0B3B8D456BBF1AEBA66AB1E8A672D8907FFF22B3329269536158EE,6D2FD58CFCA4E74CC533B757E852D7AC772D036E0E385C30A1057EB9861D01C1,73FF6C231F495398F396B3074A9ACBDD3161FD645A70B840B7DF9BE6B002A081,7FE3D12CF319A3CBD60B540FFDAD005B5C7B51C8B5F3A2D924B7CFECBC26DFA0,D0A16AF2EDC36B22EBEE15195CBDED051354E08A291B8ED2F66CB25359B5DF59
chapter4_static_camera_calibration_v1,4.3_c_axis_D,4.3,c,validation,axis_corner,D,0.8,-0.15,0.1,83.33,489.74,20.958,404.394,414.387,728.394,0.158534322584253,0.263413580246914,0.160944891920435,0.266913242528494,2.17575787736997,0.5,0.650689196780105,0.790123456790123,false,visible,manual_pdf_native_raster_axis_marker_center,outputs/reference_pages/fig_4_3_reference.png,DDD9E4B1EF0B3B8D456BBF1AEBA66AB1E8A672D8907FFF22B3329269536158EE,6D2FD58CFCA4E74CC533B757E852D7AC772D036E0E385C30A1057EB9861D01C1,73FF6C231F495398F396B3074A9ACBDD3161FD645A70B840B7DF9BE6B002A081,7FE3D12CF319A3CBD60B540FFDAD005B5C7B51C8B5F3A2D924B7CFECBC26DFA0,D0A16AF2EDC36B22EBEE15195CBDED051354E08A291B8ED2F66CB25359B5DF59
chapter4_static_camera_calibration_v1,4.3_c_L2,4.3,c,validation,physical_marker,L2,1.15568216544489,0,0,317.41,601.24,20.958,404.394,414.387,728.394,0.753508256890062,0.607549382716049,0.748641703892772,0.607514748789759,2.49173823273884,0.5,0.650689196780105,0.790123456790123,false,visible_unoccluded,manual_pdf_native_raster_axis_marker_center,outputs/reference_pages/fig_4_3_reference.png,DDD9E4B1EF0B3B8D456BBF1AEBA66AB1E8A672D8907FFF22B3329269536158EE,6D2FD58CFCA4E74CC533B757E852D7AC772D036E0E385C30A1057EB9861D01C1,73FF6C231F495398F396B3074A9ACBDD3161FD645A70B840B7DF9BE6B002A081,7FE3D12CF319A3CBD60B540FFDAD005B5C7B51C8B5F3A2D924B7CFECBC26DFA0,D0A16AF2EDC36B22EBEE15195CBDED051354E08A291B8ED2F66CB25359B5DF59
chapter4_static_camera_calibration_v1,4.3_d_axis_A,4.3,d,programmatic_frozen_holdout,axis_corner,A,0.8,-0.15,-0.1,501,597.43,436.592,404.377,833.244,728.394,0.162379113177294,0.595811330886959,0.163328632536508,0.596717938000048,0.672169128113205,0.5,0.645402014864415,0.790082001870272,false,visible,manual_pdf_native_raster_axis_marker_center,outputs/reference_pages/fig_4_3_reference.png,DDD9E4B1EF0B3B8D456BBF1AEBA66AB1E8A672D8907FFF22B3329269536158EE,6D2FD58CFCA4E74CC533B757E852D7AC772D036E0E385C30A1057EB9861D01C1,73FF6C231F495398F396B3074A9ACBDD3161FD645A70B840B7DF9BE6B002A081,7FE3D12CF319A3CBD60B540FFDAD005B5C7B51C8B5F3A2D924B7CFECBC26DFA0,D0A16AF2EDC36B22EBEE15195CBDED051354E08A291B8ED2F66CB25359B5DF59
chapter4_static_camera_calibration_v1,4.3_d_axis_B,4.3,d,programmatic_frozen_holdout,axis_corner,B,1.18,-0.15,-0.1,678.13,699.73,436.592,404.377,833.244,728.394,0.608941843227817,0.911535505853088,0.605407193308649,0.914625171899914,2.40366340160399,0.5,0.645402014864415,0.790082001870272,false,visible,manual_pdf_native_raster_axis_marker_center,outputs/reference_pages/fig_4_3_reference.png,DDD9E4B1EF0B3B8D456BBF1AEBA66AB1E8A672D8907FFF22B3329269536158EE,6D2FD58CFCA4E74CC533B757E852D7AC772D036E0E385C30A1057EB9861D01C1,73FF6C231F495398F396B3074A9ACBDD3161FD645A70B840B7DF9BE6B002A081,7FE3D12CF319A3CBD60B540FFDAD005B5C7B51C8B5F3A2D924B7CFECBC26DFA0,D0A16AF2EDC36B22EBEE15195CBDED051354E08A291B8ED2F66CB25359B5DF59
