comparison_role,source_branch,curve_samples,mapping_time_days,computed_stability_index,digitized_stability_index,stability_index_error,absolute_error,time_error_days,within_reference_range,within_digitization_uncertainty,curve_residual_norm,determinant_error
periodic_anchor,targeted_periodic_boundary,1,12.02246630939135,618.8215572064273,618.7499999999998,0.07155720642754204,0.07155720642754204,-0.000937945927796946,true,true,1.4840927740614145e-12,5.53406209746754e-11
accepted_quasi_curve,N9_pseudo_arclength,9,12.02248205333123,618.8273797244283,,,,,false,false,1.3399983625978373e-12,1.09395248415467e-09
accepted_quasi_curve,N9_pseudo_arclength,9,12.02278382867733,618.9389941484559,,,,,false,false,4.4692548274778114e-10,8.128786532779486e-11
accepted_quasi_curve,N9_pseudo_arclength,9,12.02327411226338,619.1203629042708,,,,,false,false,1.1792419345070007e-12,4.218314586523775e-10
accepted_quasi_curve,N9_pseudo_arclength,9,12.02498194159888,619.7524541973806,619.7155111347298,0.03694306265083469,0.03694306265083469,0,true,true,9.19911886417708e-12,3.971294404436776e-10
accepted_quasi_curve,N9_pseudo_arclength,9,12.03120612126176,622.0603077692429,621.5496845635047,0.5106232057381703,0.5106232057381703,0,true,true,1.8100788763527055e-10,2.305267088331675e-10
accepted_quasi_curve,N9_pseudo_arclength,9,12.05115560308609,629.5013770389016,628.9904950204386,0.5108820184630076,0.5108820184630076,0,true,true,9.957341400603138e-13,3.9881875579794723e-11
accepted_quasi_curve,N9_pseudo_arclength,9,12.09700745870194,646.8513925998898,646.4780328026502,0.3733597972395728,0.3733597972395728,0,true,true,9.322175255756186e-10,1.844409069917674e-09
accepted_quasi_curve,N15_spectral_lift,15,12.17014878859061,675.1836207677713,674.7753228882689,0.4082978795024701,0.4082978795024701,0,true,true,1.317407534478492e-12,1.7523680284625698e-09
accepted_quasi_curve,N15_spectral_lift,15,12.25939726781162,710.5953132868221,710.2702303432233,0.3250829435988862,0.3250829435988862,0,true,true,1.5526911991134744e-12,1.2855565501013189e-09
accepted_quasi_curve,N15_spectral_lift,15,12.33989394952014,742.8519923622292,742.5294494867808,0.3225428754484483,0.3225428754484483,0,true,true,4.689656258383253e-10,3.5633807016210994e-10
accepted_quasi_curve,N21_fold_tail,21,12.35670836245079,749.5757032862152,749.2704397967503,0.3052634894648918,0.3052634894648918,0,true,true,1.0741704462680013e-10,5.253690815720802e-10
accepted_quasi_curve,N21_fold_tail,21,12.37796003315844,758.0589877145004,757.6574370942067,0.4015506202937331,0.4015506202937331,0,true,true,5.656738548118082e-12,1.0062697342050342e-09
accepted_quasi_curve,N21_fold_tail,21,12.39798340171516,766.042757912213,765.6759753966049,0.3667825156080653,0.3667825156080653,0,true,true,7.489819561961898e-11,3.666483117115149e-09
accepted_quasi_curve,N21_fold_tail,21,12.4123058292366,771.7556093096365,771.4684958410169,0.2871134686196228,0.2871134686196228,0,true,true,1.778583177482294e-10,1.8428769621436913e-09
accepted_quasi_curve,N21_fold_tail,21,12.42340054173443,776.1875551860783,775.78125,0.4063051860782707,0.4063051860782707,0,true,true,1.5581918681551617e-10,2.103125673613704e-09
accepted_quasi_curve,N21_fold_tail,21,12.42459244000286,776.6642040417618,776.3266082044377,0.3375958373241019,0.3375958373241019,0,true,true,2.996164864063059e-10,1.1376783959349268e-09
