target_jacobi,reported_jacobi_3dp,base_z0_nd,base_orbit_jacobi,spectral_samples,dg_dimension,mapping_time_nd,mapping_time_days,rotation_angle_rad,frequency_ratio,mean_jacobi,curve_jacobi_span,curve_residual_norm,determinant_error,unstable_ring_radius,unstable_ring_relative_span,stability_index,stability_index_error,acceptance
3.0436,3.044,0.009686379949301318,3.043599999996611,25,150,1.5507617015770911,6.733407308247729,0.8618757627205077,7.2901287853213725,3.0436,2.930988785010413e-14,1.533849837882377e-11,4.090949801138777e-10,2.3860006244915857,9.005987042180546e-07,1.4025559992257748,0.018855999225774855,fail
3.0438,3.044,0.009595364782885052,3.0437999999999534,25,150,1.5479462417526393,6.721182581689959,0.8587441824963473,7.31671367940395,3.0438000000000005,2.398081733190338e-14,1.4118867492640607e-11,1.1110401487712807e-09,2.372843988169162,9.41285411284617e-07,1.397139598146612,0.013439598146611997,fail
3.044,3.044,0.009505093924390853,3.0439999999990395,25,150,1.5451432804311405,6.709012123632012,0.8556387135339255,7.343269078170879,3.044000000000001,2.6645352591003757e-14,1.6339918765525267e-11,7.409095559296475e-10,2.3596207857485783,9.710654519564106e-07,1.3917088483463949,0.008008848346394926,fail
3.0442,3.044,0.00941556195631928,3.044199999997141,25,150,1.5423527045544725,6.696895443175519,0.8525590741730008,7.369794654141005,3.0442,4.04121180963557e-14,1.0266738066552756e-11,1.2575149810345465e-09,2.3463314437042326,9.921708209010224e-07,1.3862643449565457,0.002564344956545783,fail
3.0444,3.044,0.009326763538787225,3.044399999996077,25,150,1.5395744027739855,6.684832056844645,0.8495048659061675,7.3962911330440795,3.0443999999999996,3.375077994860476e-14,1.6800917928664586e-11,7.652900535504159e-10,2.3329762779945784,1.0062195607736782e-06,1.3808066490979574,-0.0028933509020425685,fail
3.044293971706119,3.044,0.009373748223277387,3.0442939717059523,25,150,1.5410457738069188,6.6912207498696405,0.8511207273744672,7.3822491981389335,3.0442939717061193,3.6415315207705135e-14,1.994777522724045e-11,7.200746665603219e-10,2.340064589976249,9.995639762656813e-07,1.3837016108445193,1.6108445193285803e-06,pass
