schema_version,model,halo_epsilon,vertical_epsilon,training_loss,validation_loss,halo_validation_loss,vertical_validation_loss,relative_validation_improvement_over_H0,neither_family_worse_than_H0,model_admissible,selected_model,decision_rule,refinement_status,holdout_red_mask_read,paper_projection_acceptance,paper_3d_equivalence,fit_lock_sha256,evidence_npz_sha256
chapter4_projection_fit_lock_v1,H0_global,4.90728479699366e-07,4.90728479699366e-07,0.293396755332879,0.390931656828251,0.474426129250712,0.307437184405789,0,true,true,true,baseline_parsimony_model,five_point_log2_refinement_run,false,not_run,false,D2767E61A3EBF428ED8242CA00EDE441FF2C0666189E062397AA928277E43374,D304295179BAB23E8B7A942217B55BE102D38127A5C38DC577F75ED7C6FE9B67
chapter4_projection_fit_lock_v1,H1_family,1.27279220613579e-06,4.5e-07,0.280009137641309,0.368371554647383,0.415403746385607,0.321339362909158,0.057708557971245,false,false,false,validation_improvement_ge_0.10_and_neither_family_worse,halo:not_run_coarse_optimum_at_grid_boundary;vertical:five_point_log2_refinement_run,false,not_run,false,D2767E61A3EBF428ED8242CA00EDE441FF2C0666189E062397AA928277E43374,D304295179BAB23E8B7A942217B55BE102D38127A5C38DC577F75ED7C6FE9B67
