time_index,curve_index,time_nd,time_days,phase_rad,x,y,z,xdot,ydot,zdot,jacobi,terminal_closure_norm,rotation_angle_rad,orbit_period_nd,mapping_time_days
0,0,0,0,0,0.8379215965854322,6.571133489282723e-08,-3.432994692949212e-09,4.159563356955937e-08,-0.008364549985065783,-2.275509377028838e-05,3.188282637564031,,0.1760866711275833,2.691785117761035,11.68773098131841
0,1,0,0,0.4188790204786391,0.8379215966024836,6.571138573847661e-08,4.049547431621505e-06,4.140561539637398e-08,-0.008364550010203206,-2.079100153020365e-05,3.188282637564034,,0.1760866711275833,2.691785117761035,11.68773098131841
0,2,0,0,0.8377580409572781,0.8379215966424969,6.571155627112965e-08,7.402324320390644e-06,4.134129924355794e-08,-0.008364550069382075,-1.523195614954015e-05,3.188282637564037,,0.1760866711275833,2.691785117761035,11.68773098131841
0,3,0,0,1.256637061435917,0.8379215966789778,6.571178909408301e-08,9.47517205224164e-06,4.144528975428449e-08,-0.008364550123329224,-7.039167188936163e-06,3.188282637564039,,0.1760866711275833,2.691785117761035,11.68773098131841
0,4,0,0,1.675516081914556,0.8379215966878031,6.571192121174829e-08,9.909676433697237e-06,4.164871962666848e-08,-0.008364550136390812,2.370757621708985e-06,3.188282637564039,,0.1760866711275833,2.691785117761035,11.68773098131841
0,5,0,0,2.094395102393195,0.8379215966631448,6.571181055349384e-08,8.630707752685145e-06,4.181694011609073e-08,-0.008364550100028442,1.137075685284871e-05,3.188282637564035,,0.1760866711275833,2.691785117761035,11.68773098131841
0,6,0,0,2.513274122871834,0.8379215966212997,6.571155176549724e-08,5.859411329092878e-06,4.183869309116764e-08,-0.008364550038234416,1.840464899946724e-05,3.188282637564032,,0.1760866711275833,2.691785117761035,11.68773098131841
0,7,0,0,2.932153143350473,0.8379215965899506,6.571136514753792e-08,2.074969457982058e-06,4.169960263616304e-08,-0.008364549991811686,2.225621022876138e-05,3.18828263756403,,0.1760866711275833,2.691785117761035,11.68773098131841
0,8,0,0,3.351032163829113,0.8379215965898646,6.571134335850855e-08,-2.068253516834707e-06,4.149164660182675e-08,-0.00836454999156786,2.225947050190032e-05,3.188282637564033,,0.1760866711275833,2.691785117761035,11.68773098131841
0,9,0,0,3.769911184307752,0.8379215966211015,6.571145752086575e-08,-5.853856692423495e-06,4.135243405174067e-08,-0.008364550037738949,1.841386599857187e-05,3.188282637564035,,0.1760866711275833,2.691785117761035,11.68773098131841
