experiment_id,method,source_member,target,curve_samples,step_size,max_iterations,converged,accepted,rho,max_abs_z_km,mean_jacobi,map_residual_norm,curve_jacobi_span,phase_return_error,failure_reason,interpretation
A_palc_N41_small_step_1,fixed-mapping PALC smaller trust region,7->8,bounded PALC step near 10-11 Mm,41,0.003740477244835401,3,True,True,1.443872724217783,10161.69305030281,2.922288499365069,5.285409860268169e-13,2.993387759886446e-10,7.183210268722789e-14,,"accepted only as very small local step; did not approach 10,500 km"
A_palc_N61_lifted_small_step_1,fixed-mapping PALC smaller trust region,8->9,bounded PALC step near 10-11 Mm,61,0.0004809261533545332,1,True,True,1.443877875293695,10164.02309965055,2.922288411389487,7.890795489455144e-10,1.794120407794253e-11,2.124646163197596e-10,,"accepted only as very small local step; did not approach 10,500 km"
B_fixed_rotation_rho_1.4445,fixed-rotation correction,9->10,rho=1.4445,61,0.0006221247063049606,3,True,False,1.4445,10405.93030301209,2.922258938285956,0.00104971292772575,1.976794371261192e-05,N/A,failed residual/Jacobi quick audit; failed one-map or ten-return audit,reaches higher amplitude but fails residual/Jacobi audit
B_fixed_rotation_rho_1.4455,fixed-rotation correction,9->10,rho=1.4455,61,0.001622124706305073,3,True,False,1.4455,10791.80339570805,2.921686050762427,0.03211856946612298,0.0006977286507572344,N/A,failed residual/Jacobi quick audit; failed one-map or ten-return audit,reaches higher amplitude but fails residual/Jacobi audit
B_fixed_rotation_rho_1.4465,fixed-rotation correction,9->10,rho=1.4465,61,0.002622124706304962,3,True,False,1.4465,11188.08244701441,2.920809775510337,0.07841846983611994,0.001814140488463512,N/A,failed residual/Jacobi quick audit; failed one-map or ten-return audit,reaches higher amplitude but fails residual/Jacobi audit
C_fixed_mean_jacobi_free_rho,fixed-mean-Jacobi free-rho/free-time local correction,accepted_palc_10164km,2 percent local amplitude increase with fixed mean Jacobi,61,0.0002,2,True,False,1.444161238126532,10210.30431232785,2.922287627885556,7.300106125062243e-05,1.957537848262803e-06,3.710031255475017e-05,"residual=7.300e-05, jacobi_span=1.958e-06, phase_error=3.710e-05",tests whether freeing rho/time improves the local Newton basin
