case_id,member_id,variant,jacobian_shape,rank_estimate,unknown_size,rank_deficiency,condition_estimate,min_singular_value,near_null_count,state_component_norm,rho_component_norm,low_mode_component_norm,high_mode_component_norm,phase_residual_sensitivity,jacobi_residual_sensitivity,map_residual_sensitivity,dominant_phase_gauge_signature,dominant_spectral_tail_signature,classification,diagnosis
member_8_native_N,8,native_N_one_phase_baseline,248x247,246,247,1,2262940739692226,2.157153264655699e-14,1,1,1.175231786887387e-14,0.999975663786443,0.006976520254590179,6.915176981384108e-18,4.545051740024487e-17,1.717815698989978e-14,phase_alignment=6.91518e-18; second_phase_alignment=0.00163708,low_mode_norm=0.999976; high_mode_norm=0.00697652; rho_fraction=1.17523e-14,rank_deficient,phase gauge / missing second phase row; original rank-deficient classification is reproduced
member_9_native_N,9,native_N_one_phase_baseline,248x247,246,247,1,87409853369010.22,5.583533125345539e-13,1,1,4.765918562577021e-13,0.9999657171320033,0.008280372013275486,1.321998202097677e-16,2.128530268979013e-17,5.586103653552928e-13,phase_alignment=1.322e-16; second_phase_alignment=0.00159415,low_mode_norm=0.999966; high_mode_norm=0.00828037; rho_fraction=4.76592e-13,rank_deficient,phase gauge / missing second phase row; original rank-deficient classification is reproduced
member_8_lifted_to_N61,8,lifted_to_N61_one_phase_baseline,368x367,366,367,1,1547756872998516,3.154036542452976e-14,1,0.9999999999999998,3.189636055278555e-14,0.9999999912836719,0.0001320327846036618,1.837341517536666e-16,1.182309763601234e-17,3.628872646675374e-14,phase_alignment=1.83734e-16; second_phase_alignment=0.00163708,low_mode_norm=1; high_mode_norm=0.000132033; rho_fraction=3.18964e-14,rank_deficient,phase gauge / missing second phase row; N61 lift preserves residual but one-phase null direction remains
member_9_lifted_to_N61,9,lifted_to_N61_one_phase_baseline,368x367,366,367,1,83343407099931.48,5.855859074651005e-13,1,0.9999999999999997,4.237546728444452e-13,0.9999999874263149,0.0001585792234365988,2.237903398293224e-17,8.234801373647105e-18,5.860513329646625e-13,phase_alignment=2.2379e-17; second_phase_alignment=0.00159415,low_mode_norm=1; high_mode_norm=0.000158579; rho_fraction=4.23755e-13,rank_deficient,phase gauge / missing second phase row; N61 lift preserves residual but one-phase null direction remains
member_10_N61,10,N61_two_phase_overdetermined,369x367,367,367,0,76139639.25047329,6.409722655832058e-07,0,0.9999999998586557,1.681333149931754e-05,0.999999986701393,0.0001630865226130598,5.003381267783789e-17,3.068669994791455e-07,5.627415251772031e-07,phase_alignment=5.00338e-17; second_phase_alignment=2.58359e-10,low_mode_norm=1; high_mode_norm=0.000163087; rho_fraction=1.68133e-05,full_column_rank_moderate,scaled local branch geometry; best convention stays full rank at the endpoint
failed_8_to_9_PALC_candidate,N/A,palc_failed_full_secant_N61,369x367,367,367,0,306448.7650125342,0.000158860486524663,0,0.9999997022889471,0.0007716359359107127,0.9998022332571413,0.01988704035377411,9.722529643815825e-08,2.654278004945469e-05,0.000156627344065379,phase_alignment=9.72253e-08; second_phase_alignment=0.256446,low_mode_norm=0.999802; high_mode_norm=0.019887; rho_fraction=0.000771636,full_column_rank_moderate,branch geometry / oversized PALC predictor; failure is consistent with an oversized full 7_to_8 predictor
accepted_9_to_10_PALC_candidate,N/A,palc_accepted_unified_N61,369x367,367,367,0,287403.2720276284,0.0001698136005635251,0,0.9999999999999998,1.912235407346141e-09,0.002786393628150764,0.9999961179977397,2.875468485823325e-15,3.698124392494776e-11,0.0001698136005634144,phase_alignment=2.87547e-15; second_phase_alignment=5.21701e-06,low_mode_norm=0.00278639; high_mode_norm=0.999996; rho_fraction=1.91224e-09,full_column_rank_moderate,high Fourier modes; local N61 PALC confirmation remains full-rank and accepted
