branch,time_index,curve_index,time_nd,time_days,base_x,base_y,base_z,manifold_x,manifold_y,manifold_z,state_separation_norm,position_separation_norm,eigenvalue_real,eigenvalue_imag,eigenvalue_abs,perturbation_scale,mean_state_growth,expected_growth,mapping_time_days,base_family,base_orbit_amplitude_nd,mode_amplitude_nd
unstable,0,0,0,0,0.8369051799981074,3.325894288931978e-08,9.993310991491424e-05,0.8369051506716964,4.674956832686072e-08,9.993311639793124e-05,9.999999999030324e-08,3.228057315789753e-08,3360.637129803173,0,3360.637129803173,1e-07,3359.34338482201,3360.637129803173,12.02451447328446,vertical,0.0001,1e-05
unstable,0,1,0,0,0.8369075183227936,2.300250820897741e-05,9.993210847398323e-05,0.8369074889977457,2.301600069864115e-05,9.993211495663352e-05,1.000000000000074e-07,3.228011394585176e-08,3360.637129803173,0,3360.637129803173,1e-07,3359.34338482201,3360.637129803173,12.02451447328446,vertical,0.0001,1e-05
unstable,0,2,0,0,0.8369134266072136,3.520878902007836e-05,9.992958276782718e-05,0.8369133972837165,3.522228364463683e-05,9.992958925058444e-05,9.99999999963208e-08,3.227959749912758e-08,3360.637129803173,0,3360.637129803173,1e-07,3359.34338482201,3360.637129803173,12.02451447328446,vertical,0.0001,1e-05
unstable,0,3,0,0,0.8369201393857263,3.094052163099469e-05,9.992672740584182e-05,0.8369201100632425,3.095401766210962e-05,9.99267338891311e-05,1.000000000036252e-07,3.227926505651135e-08,3360.637129803173,0,3360.637129803173,1e-07,3359.34338482201,3360.637129803173,12.02451447328446,vertical,0.0001,1e-05
unstable,0,4,0,0,0.8369245160291019,1.219458553617969e-05,9.992487334461868e-05,0.8369244867066196,1.220808158715047e-05,9.992487982861727e-05,9.999999999025635e-08,3.227927204735022e-08,3360.637129803173,0,3360.637129803173,1e-07,3359.34338482201,3360.637129803173,12.02451447328446,vertical,0.0001,1e-05
unstable,0,5,0,0,0.8369245096476426,-1.225757126663787e-05,9.992487352799968e-05,0.8369244803241486,-1.224407659179956e-05,9.992488001255194e-05,9.999999999683125e-08,3.227961579613502e-08,3360.637129803173,0,3360.637129803173,1e-07,3359.34338482201,3360.637129803173,12.02451447328446,vertical,0.0001,1e-05
unstable,0,6,0,0,0.8369201232509397,-3.097417385443118e-05,9.992672789294037e-05,0.8369200939258942,-3.096068130759841e-05,9.992673437763011e-05,1.00000000012243e-07,3.228013562300418e-08,3360.637129803173,0,3360.637129803173,1e-07,3359.34338482201,3360.637129803173,12.02451447328446,vertical,0.0001,1e-05
unstable,0,7,0,0,0.8369134082805242,-3.519748558930386e-05,9.992958339560301e-05,0.8369133789541141,-3.518399492655377e-05,9.992958987995017e-05,1.000000000157935e-07,3.228058784400443e-08,3360.637129803173,0,3360.637129803173,1e-07,3359.34338482201,3360.637129803173,12.02451447328446,vertical,0.0001,1e-05
unstable,0,8,0,0,0.8369075063772214,-2.295160457625278e-05,9.993210891997041e-05,0.8369074770502722,-2.293811467226501e-05,9.99321154036569e-05,1.000000000129875e-07,3.228076054183784e-08,3360.637129803173,0,3360.637129803173,1e-07,3359.34338482201,3360.637129803173,12.02451447328446,vertical,0.0001,1e-05
unstable,1,0,0.1204064894286791,0.5228049770993245,0.836905572918061,9.945726576452067e-06,9.621587047532786e-05,0.8369055311759913,9.964929852199287e-06,9.621588320995018e-05,1.423384220458487e-07,4.594743021726382e-08,3360.637129803173,0,3360.637129803173,1e-07,3359.34338482201,3360.637129803173,12.02451447328446,vertical,0.0001,1e-05
unstable,1,1,0.1204064894286791,0.5228049770993245,0.8369095962725709,2.968802153769179e-05,9.621544211007624e-05,0.8369095545323588,2.970722794311324e-05,9.621545484451217e-05,1.423395049140876e-07,4.594705077115904e-08,3360.637129803173,0,3360.637129803173,1e-07,3359.34338482201,3360.637129803173,12.02451447328446,vertical,0.0001,1e-05
unstable,1,2,0.1204064894286791,0.5228049770993245,0.8369162164507395,3.553828840373743e-05,9.621308331118268e-05,0.8369161747123497,3.555749767617484e-05,9.621309604623819e-05,1.42340157409095e-07,4.594659397040246e-08,3360.637129803173,0,3360.637129803173,1e-07,3359.34338482201,3360.637129803173,12.02451447328446,vertical,0.0001,1e-05
unstable,1,3,0.1204064894286791,0.5228049770993245,0.8369223352870758,2.475886986257097e-05,9.620990857007806e-05,0.8369222935496204,2.477808039760615e-05,9.620992130627156e-05,1.423400733897552e-07,4.594627297405278e-08,3360.637129803173,0,3360.637129803173,1e-07,3359.34338482201,3360.637129803173,12.02451447328446,vertical,0.0001,1e-05
unstable,1,4,0.1204064894286791,0.5228049770993245,0.8369250904983128,2.393435948951682e-06,9.620739494271072e-05,0.8369250487604665,2.412645550930082e-06,9.620740768002915e-05,1.423392916431645e-07,4.594623796739018e-08,3360.637129803173,0,3360.637129803173,1e-07,3359.34338482201,3360.637129803173,12.02451447328446,vertical,0.0001,1e-05
unstable,1,5,0.1204064894286791,0.5228049770993245,0.8369231936386164,-2.109276335215103e-05,9.620670483026606e-05,0.8369231518992369,-2.107355644219662e-05,9.620671756816775e-05,1.423381759639257e-07,4.594650535115991e-08,3360.637129803173,0,3360.637129803173,1e-07,3359.34338482201,3360.637129803173,12.02451447328446,vertical,0.0001,1e-05
unstable,1,6,0.1204064894286791,0.5228049770993245,0.8369175317684675,-3.471002631601807e-05,9.620816480480182e-05,0.836917490027129,-3.469082259694187e-05,9.620817754247056e-05,1.423372514551654e-07,4.594695123844591e-08,3360.637129803173,0,3360.637129803173,1e-07,3359.34338482201,3360.637129803173,12.02451447328446,vertical,0.0001,1e-05
