figure_id,branch,requested_snapshot_days,actual_snapshot_days,snapshot_time_error_days,curve_samples,source_mapping_time_days,source_curve_residual,jacobi_drift_max,source_curve_energy_span,unstable_multiplier,measured_growth,expected_growth,growth_ratio,snapshot_x_min,snapshot_x_max,uses_proxy_background,acceptance
4.5,plus_x,8.05,8.05,0.0,33,12.664796510496439,4.982185846358393e-10,2.220446049250313e-15,8.26488984362328e-07,1803.1214050013284,112.81555821763797,117.38027313534258,0.9611117371277423,0.8256504438940828,0.8766547685806358,false,pass
4.5,plus_x,10.08,10.08,0.0,33,12.664796510496439,4.982185846358393e-10,2.220446049250313e-15,8.26488984362328e-07,1803.1214050013284,454.90726304719306,390.38490323421456,1.1652788293769336,0.8209415052310906,0.8822281578192454,false,pass
4.5,plus_x,11.77,11.77,0.0,33,12.664796510496439,4.982185846358393e-10,2.220446049250313e-15,8.26488984362328e-07,1803.1214050013284,1198.5988583601081,1061.6453026895526,1.129001235463106,0.848023980929016,0.8942289039851359,false,pass
4.5,plus_x,13.46,13.46,0.0,33,12.664796510496439,4.982185846358393e-10,2.220446049250313e-15,8.26488984362328e-07,1803.1214050013284,3220.5911850574553,2887.126882687332,1.1155003974261553,0.8892999628758744,0.9169874376230192,false,pass
4.6,minus_x,8.05,8.05,0.0,33,12.664796510496439,4.982185846358393e-10,1.7763568394002505e-15,8.26488984362328e-07,1803.1214050013284,111.50309879562863,117.38027313534258,0.9499304765381027,0.8216882749748543,0.873877087801912,false,pass
4.6,minus_x,10.08,10.08,0.0,33,12.664796510496439,4.982185846358393e-10,1.7763568394002505e-15,8.26488984362328e-07,1803.1214050013284,431.9595163508468,390.38490323421456,1.1064964673894913,0.8082811936718077,0.869530394683224,false,pass
4.6,minus_x,11.77,11.77,0.0,33,12.664796510496439,4.982185846358393e-10,1.7763568394002505e-15,8.26488984362328e-07,1803.1214050013284,1090.966598116186,1061.6453026895526,1.0276187304294113,0.812661804973763,0.8564533100717243,false,pass
4.6,minus_x,13.46,13.46,0.0,33,12.664796510496439,4.982185846358393e-10,1.7763568394002505e-15,8.26488984362328e-07,1803.1214050013284,2498.85279114779,2887.126882687332,0.8655154043045946,0.7843778742212868,0.8377161632961884,false,pass
