sample_index,curve_samples,eigen_index,mode_amplitude_nd,mapping_time_days,rotation_angle_rad,eigenvalue_real,eigenvalue_imag,eigenvalue_magnitude,stability_index,determinant,curve_residual_norm,real_unstable_index,real_stable_index
0,15,0,0.025332424902528,12.17014878859061,0.4974033667883291,-549.1672303831044,1233.655171167916,1350.366516274745,675.183628407217,0.999999998247632,1.317407534478492e-12,4,83
0,15,1,0.025332424902528,12.17014878859061,0.4974033667883291,-549.1672303831044,-1233.655171167916,1350.366516274745,675.183628407217,0.999999998247632,1.317407534478492e-12,4,83
0,15,2,0.025332424902528,12.17014878859061,0.4974033667883291,735.4973477068254,1132.489884585839,1350.366501055554,675.183628407217,0.999999998247632,1.317407534478492e-12,4,83
0,15,3,0.025332424902528,12.17014878859061,0.4974033667883291,735.4973477068254,-1132.489884585839,1350.366501055554,675.183628407217,0.999999998247632,1.317407534478492e-12,4,83
0,15,4,0.025332424902528,12.17014878859061,0.4974033667883291,1350.366501055327,0,1350.366501055327,675.183628407217,0.999999998247632,1.317407534478492e-12,4,83
0,15,5,0.025332424902528,12.17014878859061,0.4974033667883291,1186.73515729774,-644.3208467882207,1350.366501055318,675.183628407217,0.999999998247632,1.317407534478492e-12,4,83
0,15,6,0.025332424902528,12.17014878859061,0.4974033667883291,1186.73515729774,644.3208467882207,1350.366501055318,675.183628407217,0.999999998247632,1.317407534478492e-12,4,83
0,15,7,0.025332424902528,12.17014878859061,0.4974033667883291,106.0110117190175,1346.198853218228,1350.366500995845,675.183628407217,0.999999998247632,1.317407534478492e-12,4,83
0,15,8,0.025332424902528,12.17014878859061,0.4974033667883291,106.0110117190175,-1346.198853218228,1350.366500995845,675.183628407217,0.999999998247632,1.317407534478492e-12,4,83
0,15,9,0.025332424902528,12.17014878859061,0.4974033667883291,-1071.257137868999,-822.1273520471362,1350.364853815189,675.183628407217,0.999999998247632,1.317407534478492e-12,4,83
0,15,10,0.025332424902528,12.17014878859061,0.4974033667883291,-1071.257137868999,822.1273520471362,1350.364853815189,675.183628407217,0.999999998247632,1.317407534478492e-12,4,83
0,15,11,0.025332424902528,12.17014878859061,0.4974033667883291,-1333.378757091634,-211.0736901101306,1349.981856366943,675.183628407217,0.999999998247632,1.317407534478492e-12,4,83
0,15,12,0.025332424902528,12.17014878859061,0.4974033667883291,-1333.378757091634,211.0736901101306,1349.981856366943,675.183628407217,0.999999998247632,1.317407534478492e-12,4,83
0,15,13,0.025332424902528,12.17014878859061,0.4974033667883291,-1263.842354638174,-404.0582806631062,1326.861180210571,675.183628407217,0.999999998247632,1.317407534478492e-12,4,83
0,15,14,0.025332424902528,12.17014878859061,0.4974033667883291,-1263.842354638174,404.0582806631062,1326.861180210571,675.183628407217,0.999999998247632,1.317407534478492e-12,4,83
0,15,15,0.025332424902528,12.17014878859061,0.4974033667883291,-1.172332789719554,-0.3123262202452509,1.213223737694048,675.183628407217,0.999999998247632,1.317407534478492e-12,4,83
0,15,16,0.025332424902528,12.17014878859061,0.4974033667883291,-1.172332789719554,0.3123262202452509,1.213223737694048,675.183628407217,0.999999998247632,1.317407534478492e-12,4,83
0,15,17,0.025332424902528,12.17014878859061,0.4974033667883291,-1.008177375335349,-0.1557165518845257,1.020131983945646,675.183628407217,0.999999998247632,1.317407534478492e-12,4,83
0,15,18,0.025332424902528,12.17014878859061,0.4974033667883291,-1.008177375335349,0.1557165518845257,1.020131983945646,675.183628407217,0.999999998247632,1.317407534478492e-12,4,83
0,15,19,0.025332424902528,12.17014878859061,0.4974033667883291,-0.7989766698166517,-0.6128604670910666,1.006956638110295,675.183628407217,0.999999998247632,1.317407534478492e-12,4,83
0,15,20,0.025332424902528,12.17014878859061,0.4974033667883291,-0.7989766698166517,0.6128604670910666,1.006956638110295,675.183628407217,0.999999998247632,1.317407534478492e-12,4,83
0,15,21,0.025332424902528,12.17014878859061,0.4974033667883291,-0.7940954378660147,0.6096190707432644,1.001110870909661,675.183628407217,0.999999998247632,1.317407534478492e-12,4,83
0,15,22,0.025332424902528,12.17014878859061,0.4974033667883291,-0.7940954378660147,-0.6096190707432644,1.001110870909661,675.183628407217,0.999999998247632,1.317407534478492e-12,4,83
0,15,23,0.025332424902528,12.17014878859061,0.4974033667883291,-0.4062778746449139,-0.9138452293483927,1.000087403494717,675.183628407217,0.999999998247632,1.317407534478492e-12,4,83
0,15,24,0.025332424902528,12.17014878859061,0.4974033667883291,-0.4062778746449139,0.9138452293483927,1.000087403494717,675.183628407217,0.999999998247632,1.317407534478492e-12,4,83
0,15,25,0.025332424902528,12.17014878859061,0.4974033667883291,-0.4071543902974324,-0.9134545230509549,1.000086927832137,675.183628407217,0.999999998247632,1.317407534478492e-12,4,83
0,15,26,0.025332424902528,12.17014878859061,0.4974033667883291,-0.4071543902974324,0.9134545230509549,1.000086927832137,675.183628407217,0.999999998247632,1.317407534478492e-12,4,83
0,15,27,0.025332424902528,12.17014878859061,0.4974033667883291,0.07846526577273161,-0.996925415139699,1.000008540605652,675.183628407217,0.999999998247632,1.317407534478492e-12,4,83
