schema_version,campaign,family,spectral_samples,source_selection,source_selection_red_mask_read,projection_red_mask_read,target_jacobi,baseline_period_days,mapping_time_days,rotation_angle_rad,period_change_from_baseline_days,source_ay_km,source_az_km,curve_residual,source_jacobi_span,bundle_dimension,selected_unstable_eigenvalue_real,selected_unstable_eigenvalue_imag,selected_unstable_multiplier,selected_relative_imaginary,eigenpair_residual,dg_determinant,dg_determinant_error,unstable_ring_count,unstable_ring_relative_dispersion,phase_shift_to_baseline_deg,direction_sign_to_baseline,base_state_rms_to_baseline,principal_angle_mean_to_baseline_deg,principal_angle_max_to_baseline_deg,principal_angle_mean_to_previous_deg,principal_angle_max_to_previous_deg,multiplier_relative_change_to_baseline,multiplier_relative_change_to_previous,sheet_hd95_raw_mean_to_baseline,sheet_hd95_raw_max_to_baseline,sheet_hd95_normalized_mean_to_baseline,sheet_hd95_normalized_max_to_baseline,sheet_hd95_raw_mean_to_previous,sheet_hd95_raw_max_to_previous,sheet_hd95_normalized_mean_to_previous,sheet_hd95_normalized_max_to_previous,manifold_jacobi_drift_max,positive_x_chamfer_fraction,positive_x_f1,positive_x_hd95_fraction,positive_x_area_ratio,positive_x_posthoc_projection_gate,negative_x_chamfer_fraction,negative_x_f1,negative_x_hd95_fraction,negative_x_area_ratio,negative_x_posthoc_projection_gate,posthoc_projection_pass_count,source_gate,cross_resolution_gate,posthoc_projection_status,overall_status,failure_reason,correction_runtime_seconds,dg_runtime_seconds,manifold_runtime_seconds,projection_runtime_seconds,total_runtime_seconds,correction_cache_hit,frozen_holdout_status,paper_projection_acceptance,paper_3d_equivalence,source_git_commit,generator_sha256,quasi_torus_sha256,torus_stability_sha256,projection_core_sha256,fit_lock_sha256,holdout_csv_sha256,npz_sha256
chapter4_source_resolution_audit_v1,C4-HALO-12P40-SOURCE-FALSIFICATION,halo,21,predeclared_n21_nearest_12p40_before_mask,false,true,3.1389,12.3979834017152,12.3979834017152,0.242486537831404,0,41820.6981459709,35772.4896423513,7.4898195619619e-11,6.57205840415287e-07,1,1532.08486311907,0,1532.08486311907,0,4.61888638239639e-15,1.00000000366648,3.66648311711515e-09,21,0.0122462754403629,0,1,0,3.99617649520569e-07,1.4787793334711e-06,3.99617649520569e-07,1.4787793334711e-06,0,0,0,0,0,0,0,0,0,0,2.58708610090252e-11,0.015216646143461,0.667673605179213,0.0970783683151224,1.10712101354303,fail:f1;hd95,0.0328748407820804,0.401947471509893,0.119204644684899,0.91082172587159,fail:chamfer;f1;hd95,0,pass,baseline,boundary_0_of_2,state_space_pass_projection_boundary,none,0,3.99999407818541e-07,3.31199050000032,0.0906048999986524,3.40971389999868,true,fail_0_of_4,fail,false,95a606ef75888fcef7f4d8cb2eedb120efc13b22,E95D3B80447E8F85BC517D76A06A1FA49325B131740275CDB8FD1B395971B199,6C6D7AA01FEDCFB30B92CA53B50EC1FE9075A815AC2B6C6D743284CBE72F8766,C235868458715F1BD7690B5EC92A5BE93399E3A46A8E3AAEEF59429B4CFCFE25,07FF9AEF6D48FDBCC3FEA9D242AF0BE73FAF4D278259D22D3FB1F9D24BA44A82,D2767E61A3EBF428ED8242CA00EDE441FF2C0666189E062397AA928277E43374,6C5390F938E6E0D882152E59BBDD05BAA4EA04EAC2FA092052DF9AB624688FB1,6F932E00BB4A9A31EBC63B106514E20DD09B271B2EFE76C47BCCF3CFF578F8C2
chapter4_source_resolution_audit_v1,C4-HALO-12P40-SOURCE-FALSIFICATION,halo,33,direct_spectral_lift_of_predeclared_n21_member,false,true,3.1389,12.3979834017152,12.3979820036569,0.242488328837884,-1.39805824872496e-06,41821.3352171457,35773.6442408021,4.96482557879218e-11,1.33374289390531e-09,1,1532.0837475911,0,1532.0837475911,0,3.06345793858441e-15,1.00000000273081,2.73081290913524e-09,33,0.0833612076511407,0,1,6.08031714971494e-05,0.0170950881763637,0.0331570337662059,0.0170950881763637,0.0331570337662059,7.28111079021619e-07,7.28111079021619e-07,0.0064049253110689,0.00703465301699776,0.0182971038920861,0.0214488994745755,0.0064049253110689,0.00703465301699776,0.0182971038920861,0.0214488994745755,2.08717487737431e-11,0.0151969628720583,0.669271223046879,0.0976757792972655,1.11821756225426,fail:f1;hd95,0.0328652093760155,0.401920886696097,0.118760599327337,0.917332893760818,fail:chamfer;f1;hd95,0,fail,fail,boundary_0_of_2,fail_source_gate,unstable_ring_dispersion;sheet_hd95,0,0.584380599999349,3.69942129999981,0.0884504000005109,4.38525860000118,true,fail_0_of_4,fail,false,95a606ef75888fcef7f4d8cb2eedb120efc13b22,E95D3B80447E8F85BC517D76A06A1FA49325B131740275CDB8FD1B395971B199,6C6D7AA01FEDCFB30B92CA53B50EC1FE9075A815AC2B6C6D743284CBE72F8766,C235868458715F1BD7690B5EC92A5BE93399E3A46A8E3AAEEF59429B4CFCFE25,07FF9AEF6D48FDBCC3FEA9D242AF0BE73FAF4D278259D22D3FB1F9D24BA44A82,D2767E61A3EBF428ED8242CA00EDE441FF2C0666189E062397AA928277E43374,6C5390F938E6E0D882152E59BBDD05BAA4EA04EAC2FA092052DF9AB624688FB1,6F932E00BB4A9A31EBC63B106514E20DD09B271B2EFE76C47BCCF3CFF578F8C2
chapter4_source_resolution_audit_v1,C4-HALO-12P40-SOURCE-FALSIFICATION,halo,45,direct_spectral_lift_of_predeclared_n21_member,false,true,3.1389,12.3979834017152,12.3979820102438,0.242488320387973,-1.39147135769235e-06,41824.0061024236,35773.6371688667,4.99523590690692e-11,1.50945922428036e-11,1,1532.08375284385,0,1532.08375284385,0,4.07756122794266e-15,1.00000000317712,3.17711545960719e-09,45,0.0339668144320807,0,1,6.04801449955264e-05,0.0170119624938029,0.0329665342586599,8.38379494748629e-05,0.000190877133652141,7.24682583444108e-07,3.42849807383846e-09,0.00621084681769645,0.00720192097304205,0.0177684050965317,0.0209735277830629,0.00401939473174885,0.00443447323612263,0.0114582217485826,0.0134659917475226,7.49968975810589e-11,0.0151922784186414,0.668724966048199,0.0975096555966142,1.11961555264308,fail:f1;hd95,0.0329069128441821,0.401866536850366,0.118967597436267,0.916591115140526,fail:chamfer;f1;hd95,0,pass,fail,boundary_0_of_2,boundary_cross_resolution,sheet_hd95,0,0.610745800000586,4.0557921999989,0.108905799999775,4.7987933000004,true,fail_0_of_4,fail,false,95a606ef75888fcef7f4d8cb2eedb120efc13b22,E95D3B80447E8F85BC517D76A06A1FA49325B131740275CDB8FD1B395971B199,6C6D7AA01FEDCFB30B92CA53B50EC1FE9075A815AC2B6C6D743284CBE72F8766,C235868458715F1BD7690B5EC92A5BE93399E3A46A8E3AAEEF59429B4CFCFE25,07FF9AEF6D48FDBCC3FEA9D242AF0BE73FAF4D278259D22D3FB1F9D24BA44A82,D2767E61A3EBF428ED8242CA00EDE441FF2C0666189E062397AA928277E43374,6C5390F938E6E0D882152E59BBDD05BAA4EA04EAC2FA092052DF9AB624688FB1,6F932E00BB4A9A31EBC63B106514E20DD09B271B2EFE76C47BCCF3CFF578F8C2
