member,time_index,curve_index,time_nd,time_days,phase_rad,x,y,z,xdot,ydot,zdot,jacobi,base_vertical_amplitude_nd,base_vertical_amplitude_km,planar_mode_amplitude_nd,rotation_angle_rad,mapping_time_days,terminal_closure_norm
0,0,0,0,0,0,0.836905179994046,3.326613070930024e-08,9.993310985782183e-05,2.163295458607023e-08,8.342950408344719e-05,-1.001217369785871e-07,3.18834106050532,0.0001,38.44,1e-05,0.1815444093369128,12.02451447328446,
0,0,1,0,0,0.5711986642890533,0.8369067676094656,1.935368004535355e-05,9.993243007557721e-05,1.259977155189211e-05,7.014156678190706e-05,-9.537955106791323e-08,3.188341060505334,0.0001,38.44,1e-05,0.1815444093369128,12.02451447328446,
0,0,2,0,0,1.142397328578107,0.8369110160488267,3.252955025265416e-05,9.993061181537633e-05,2.117516867252181e-05,3.457980247039795e-05,-9.213298897928078e-08,3.188341060505394,0.0001,38.44,1e-05,0.1815444093369128,12.02451447328446,
0,0,3,0,0,1.71359599286716,0.8369165758409722,3.537759372892174e-05,9.992824123600822e-05,2.302564983486773e-05,-1.19662661073813e-05,-9.141303402522217e-08,3.188341060505456,0.0001,38.44,1e-05,0.1815444093369128,12.02451447328446,
0,0,4,0,0,2.284794657156213,0.8369216816034456,2.699344326051951e-05,9.992607346115539e-05,1.756637982176679e-05,-5.471872636391544e-05,-9.346561503545608e-08,3.188341060505469,0.0001,38.44,1e-05,0.1815444093369128,12.02451447328446,
0,0,5,0,0,2.855993321445267,0.8369247127696741,1.003884404337952e-05,9.992478997876403e-05,6.532377183491877e-06,-8.010314581648033e-05,-9.765301004433638e-08,3.188341060505468,0.0001,38.44,1e-05,0.1815444093369128,12.02451447328446,
0,0,6,0,0,3.42719198573432,0.8369247075114652,-1.010316648496052e-05,9.992479013017845e-05,-6.574286578776075e-06,-8.005909460002582e-05,-1.026403281901084e-07,3.188341060505463,0.0001,38.44,1e-05,0.1815444093369128,12.02451447328446,
0,0,7,0,0,3.998390650023373,0.8369216675143857,-2.703743053587425e-05,9.992607387801078e-05,-1.759511656466643e-05,-5.460067148646205e-05,-1.068254731896848e-07,3.188341060505428,0.0001,38.44,1e-05,0.1815444093369128,12.02451447328446,
0,0,8,0,0,4.569589314312426,0.8369165574082257,-3.538739175347114e-05,9.992824183175302e-05,-2.303221399361205e-05,-1.18118986882715e-05,-1.088695354985228e-07,3.188341060505358,0.0001,38.44,1e-05,0.1815444093369128,12.02451447328446,
0,0,9,0,0,5.140787978601479,0.8369109991247389,-3.25020799577875e-05,9.993061242114028e-05,-2.115744599473285e-05,3.47214092824996e-05,-1.081340524670031e-07,3.188341060505323,0.0001,38.44,1e-05,0.1815444093369128,12.02451447328446,
