member,vertical_amplitude_nd,vertical_amplitude_km,curve_samples,time_samples,mapping_time_days,rotation_angle_rad,orbit_jacobi,jacobi_min,jacobi_max,jacobi_span,closure_max,curve_newton_residual,x_span,y_span,z_span
0,1e-05,3.844,11,24,11.68773098131841,0.1760866711275833,3.18828263796405,3.188282637564036,3.188282637564046,9.325873406851315e-15,6.296703564024113e-11,6.131389481323084e-11,0.001985176727366644,0.007136228784455719,2.005494016657227e-05
1,1.5e-05,5.766,11,24,11.68773098131841,0.1760866711275833,3.18828263796405,3.188282637054854,3.188282637054899,4.485301019485632e-14,2.611612307270577e-10,2.611902002141484e-10,0.001985177805645333,0.007136220737483819,3.008215646006351e-05
2,2e-05,7.688000000000001,11,24,11.68773098131841,0.1760866711275833,3.18828263796405,3.188282636324701,3.188282636324841,1.398881011027697e-13,7.746149009218556e-10,7.745708572303399e-10,0.001985179602059794,0.007136210526420448,4.010907363859455e-05
3,3e-05,11.532,11,24,11.68773098131841,0.1760866711275833,3.18828263796405,3.18828263412775,3.188282634128455,7.047695760320494e-13,3.73677112207101e-09,3.734971342674615e-09,0.001985186570379494,0.007136188108294736,6.016161376230817e-05
