member,curve_index,phase_rad,x,y,z,xdot,ydot,zdot,jacobi,target_vertical_amplitude_nd,target_vertical_amplitude_km,max_abs_z_km,rotation_angle_rad,mapping_time_days,map_residual_norm,amplitude_residual,phase_residual,curve_jacobi_span
17,0,0,0.7945280397266111,-0.02247042624643302,-0.0003951251788318134,-0.027626611618591,0.5289836992718807,-0.04502978006972423,2.922254840894875,0.02807212975808277,10790.92667900702,10969.67553863909,1.445863346020272,14.74932760227518,6.349847815210779e-10,0,4.007418752578502e-18,1.998756715693162e-11
17,1,0.1396263401595464,0.7945136002657118,-0.02219174678029102,0.003358303632188593,-0.02766981025257935,0.5290237741840268,-0.04457310857598772,2.922254840891725,0.02807212975808277,10790.92667900702,10969.67553863909,1.445863346020272,14.74932760227518,6.349847815210779e-10,0,4.007418752578502e-18,1.998756715693162e-11
17,2,0.2792526803190927,0.7946501474195224,-0.02182819727010438,0.007044845502208763,-0.02767527991893276,0.5289463436055272,-0.04316857131893223,2.922254840879481,0.02807212975808277,10790.92667900702,10969.67553863909,1.445863346020272,14.74932760227518,6.349847815210779e-10,0,4.007418752578502e-18,1.998756715693162e-11
17,3,0.4188790204786391,0.7949432006835959,-0.02123752039566628,0.0106040795896707,-0.02751532069325173,0.5287667980797924,-0.04086122665203754,2.922254840877963,0.02807212975808277,10790.92667900702,10969.67553863909,1.445863346020272,14.74932760227518,6.349847815210779e-10,0,4.007418752578502e-18,1.998756715693162e-11
17,4,0.5585053606381855,0.7954020643482114,-0.02044211190728331,0.01399191476901483,-0.0271788353081117,0.5284721151775955,-0.03772508631200422,2.922254840890881,0.02807212975808277,10790.92667900702,10969.67553863909,1.445863346020272,14.74932760227518,6.349847815210779e-10,0,4.007418752578502e-18,1.998756715693162e-11
17,5,0.6981317007977318,0.7960197669366582,-0.01963356940124482,0.01717371511692389,-0.02677859217913041,0.5280388725884915,-0.03384974059455811,2.922254840894673,0.02807212975808277,10790.92667900702,10969.67553863909,1.445863346020272,14.74932760227518,6.349847815210779e-10,0,4.007418752578502e-18,1.998756715693162e-11
17,6,0.8377580409572782,0.7967567373255616,-0.0190717467951377,0.02010688964921765,-0.0264898898073073,0.52746385355549,-0.02933159596140299,2.922254840891623,0.02807212975808277,10790.92667900702,10969.67553863909,1.445863346020272,14.74932760227518,6.349847815210779e-10,0,4.007418752578502e-18,1.998756715693162e-11
17,7,0.9773843811168246,0.7975398402698247,-0.0189446436297782,0.02272759527561046,-0.02645605881160816,0.5267838223361508,-0.02427217255724877,2.92225484089165,0.02807212975808277,10790.92667900702,10969.67553863909,1.445863346020272,14.74932760227518,6.349847815210779e-10,0,4.007418752578502e-18,1.998756715693162e-11
17,8,1.117010721276371,0.7982795323956592,-0.01927621889981219,0.02495268023912389,-0.02671473400978089,0.5260714770141143,-0.01878076126806347,2.92225484089564,0.02807212975808277,10790.92667900702,10969.67553863909,1.445863346020272,14.74932760227518,6.349847815210779e-10,0,4.007418752578502e-18,1.998756715693162e-11
17,9,1.256637061435917,0.7988965204258861,-0.01993279195289647,0.02669552590937006,-0.02718794872831103,0.5254133611228774,-0.01297536870150317,2.922254840887442,0.02807212975808277,10790.92667900702,10969.67553863909,1.445863346020272,14.74932760227518,6.349847815210779e-10,0,4.007418752578502e-18,1.998756715693162e-11
17,10,1.396263401595464,0.7993426363177339,-0.02071656302544934,0.02788470928728625,-0.02774095430319376,0.5248833742048765,-0.006977011830206264,2.922254840878754,0.02807212975808277,10790.92667900702,10969.67553863909,1.445863346020272,14.74932760227518,6.349847815210779e-10,0,4.007418752578502e-18,1.998756715693162e-11
17,11,1.53588974175501,0.799603918616647,-0.02148349754541565,0.02847443261185705,-0.02826792315160533,0.5245240086453641,-0.0008991712998818163,2.922254840885889,0.02807212975808277,10790.92667900702,10969.67553863909,1.445863346020272,14.74932760227518,6.349847815210779e-10,0,4.007418752578502e-18,1.998756715693162e-11
17,12,1.675516081914556,0.7996858682996287,-0.02220776933598295,0.02844369443885454,-0.02874146997345551,0.5243443300524485,0.005159147430361312,2.922254840894786,0.02807212975808277,10790.92667900702,10969.67553863909,1.445863346020272,14.74932760227518,6.349847815210779e-10,0,4.007418752578502e-18,1.998756715693162e-11
17,13,1.815142422074103,0.7995933251333199,-0.02294950953664753,0.02779031115440827,-0.02919011124611346,0.5243355118816521,0.0111100537604906,2.922254840893509,0.02807212975808277,10790.92667900702,10969.67553863909,1.445863346020272,14.74932760227518,6.349847815210779e-10,0,4.007418752578502e-18,1.998756715693162e-11
17,14,1.954768762233649,0.7993209343265698,-0.02375294386342561,0.02652877548666644,-0.02962642545739727,0.5244915133584093,0.01686620205366544,2.922254840891683,0.02807212975808277,10790.92667900702,10969.67553863909,1.445863346020272,14.74932760227518,6.349847815210779e-10,0,4.007418752578502e-18,1.998756715693162e-11
17,15,2.094395102393195,0.7988619411986424,-0.02455694294871882,0.02469490998074114,-0.02999073059107012,0.5248175550860974,0.02233344563983116,2.922254840894917,0.02807212975808277,10790.92667900702,10969.67553863909,1.445863346020272,14.74932760227518,6.349847815210779e-10,0,4.007418752578502e-18,1.998756715693162e-11
17,16,2.234021442552742,0.7982288980997926,-0.02518996904593639,0.02235124099989179,-0.0301625473396307,0.5253188016033357,0.0274134559745246,2.922254840891551,0.02807212975808277,10790.92667900702,10969.67553863909,1.445863346020272,14.74932760227518,6.349847815210779e-10,0,4.007418752578502e-18,1.998756715693162e-11
17,17,2.373647782712288,0.7974700928444558,-0.0254559328095039,0.01958415982495445,-0.03003498006678828,0.5259767740896341,0.03201221269251441,2.922254840880119,0.02807212975808277,10790.92667900702,10969.67553863909,1.445863346020272,14.74932760227518,6.349847815210779e-10,0,4.007418752578502e-18,1.998756715693162e-11
