case_id,case_type,status,curve_samples,source_member,initial_mapping_time_days,corrected_mapping_time_days,mapping_time_delta_days,initial_rho,corrected_rho,rho_delta,target_mean_jacobi,mean_jacobi,max_abs_z_km,map_residual_norm,curve_jacobi_span,one_map_phase_return_error,ten_return_jacobi_span,newton_iterations,condition_estimate,max_correction_norm,mean_correction_norm,accepted,failure_reason,next_action
route_b_correction_only,correction_only,accepted,61,10,14.74932760227518,14.74932758029392,-2.198125770291881e-08,1.443877875293695,1.44387788665864,1.136494476305927e-08,2.922288411389487,2.922288411389455,10164.02702725186,1.690056425583955e-12,7.061018436615996e-14,1.367700919397098e-12,3.108624468950438e-15,1,280743414137.5632,1.738065358938254e-07,1.432609349509827e-07,True,,run small-step fixed-Jacobi continuation
route_b_small_step_01,small_step,accepted,61,10,14.74932758029392,14.74965223918749,0.0003246588935681416,1.44387788665864,1.443872094510468,-5.79214817197915e-06,2.922285911389455,2.922285911389453,10167.67421168112,9.411704072823564e-14,3.68594044175552e-14,4.651294049322582e-14,2.664535259100376e-15,2,305739622641188.3,1.789310917275712e-05,7.157221461095376e-06,True,,continue small fixed-Jacobi steps
route_b_small_step_02,small_step,accepted,61,route_b_small_step_01,14.74965223918749,14.7499770351882,0.0003247960007133344,1.443872094510468,1.443866233512865,-5.860997602580298e-06,2.922283411389453,2.922283411389437,10171.29540313727,7.184584203408918e-13,3.819167204710538e-14,5.855781456185446e-13,3.108624468950438e-15,2,583930889308680.2,1.783514201775054e-05,7.167150978325384e-06,True,,continue small fixed-Jacobi steps
route_b_small_step_03,small_step,accepted,61,route_b_small_step_02,14.7499770351882,14.75030196424604,0.0003249290578395403,1.443866233512865,1.443860305571047,-5.927941817862603e-06,2.922280911389437,2.922280911389435,10174.89143032671,1.596974766463303e-13,4.39648317751562e-14,1.083077698523194e-13,2.664535259100376e-15,2,307798390984006.8,1.777559552488202e-05,7.110982506450311e-06,True,,continue small fixed-Jacobi steps
route_b_small_step_04,small_step,accepted,61,route_b_small_step_03,14.75030196424604,14.75062703239496,0.0003250681489177509,1.443860305571047,1.443854307859537,-5.997711510330461e-06,2.922278411389435,2.922278411389433,10178.4612281318,1.137724022778937e-13,5.10702591327572e-14,4.649826842758454e-14,3.108624468950438e-15,2,401928994962444,1.771447372283646e-05,7.081120806920095e-06,True,,continue small fixed-Jacobi steps
route_b_small_step_05,small_step,accepted,61,route_b_small_step_04,14.75062703239496,14.750952246246,0.0003252138510418945,1.443854307859537,1.443848237284507,-6.070575029548664e-06,2.922275911389433,2.922275911389427,10182.00362922461,3.743504795829123e-13,5.195843755245733e-14,2.463580016652687e-13,3.552713678800501e-15,2,394313749370271.5,1.765171216663879e-05,7.068666978450659e-06,True,,continue small fixed-Jacobi steps
route_b_small_step_06,small_step,accepted,61,route_b_small_step_05,14.750952246246,14.75127760686812,0.0003253606221189642,1.443848237284507,1.443842093350468,-6.143934039748444e-06,2.922273411389428,2.922273411389423,10185.51850193943,2.89403383468496e-13,5.639932965095795e-14,2.243368507008615e-13,5.773159728050814e-15,2,304459269937828.5,1.75872297569469e-05,7.036155931452036e-06,True,,continue small fixed-Jacobi steps
route_b_small_step_07,small_step,accepted,61,route_b_small_step_06,14.75127760686812,14.7516031174897,0.0003255106215807047,1.443842093350468,1.443835874549138,-6.218801329227475e-06,2.922270911389423,2.922270911389421,10189.00531056282,1.695638779599246e-13,4.884981308350689e-14,1.082415601254694e-13,3.108624468950438e-15,2,302089546625670.8,1.752099991274355e-05,7.000569874840408e-06,True,,continue small fixed-Jacobi steps
route_b_small_step_08,small_step,accepted,61,route_b_small_step_07,14.7516031174897,14.75192878817926,0.0003256706895538031,1.443835874549138,1.443829576165341,-6.298383797398444e-06,2.922268411389421,2.922268411389398,10192.46225169902,1.053997593239567e-12,7.283063041541027e-14,8.838479250763565e-13,2.664535259100376e-15,2,423579128839272.7,1.745297216446809e-05,7.012236595734452e-06,True,,"stop; finite Route B small-step budget did not reach 10,500 km; try phase-condition/scaling refinement or a smaller-family sanity check"
