stage,curve_samples,member_index,target_jacobi,mode_amplitude_nd,mapping_time_nd,mapping_time_days,rotation_angle_rad,frequency_ratio,curve_residual,curve_jacobi_span,continuation_step,newton_iterations
N9-to-N15,15,0,3.1389,0.01650455667647727,2.784153498107456,12.08879448878258,0.5762373957305688,10.90381386861156,1.246127362287123e-11,8.906786419515811e-11,nan,6
N9-to-N15,15,1,3.1389,0.0175390342403017,2.78604623104662,12.09701273520442,0.568437155016655,11.05343880449808,1.703002498756507e-11,1.342614908139694e-10,nan,6
N9-to-N15,15,2,3.1389,0.01855149700376043,2.787988136317548,12.10544448789079,0.5603999321198917,11.21196657432029,8.040930186071489e-11,1.960822615387769e-10,0.0112158989101428,6
N9-to-N15,15,3,3.1389,0.01973929563811207,2.790372996559302,12.11579955106049,0.5504798197092367,11.41401570451459,1.156791051469883e-12,2.93674418117007e-10,0.01345907869217136,7
N9-to-N15,15,4,3.1389,0.0209003380739199,2.792808107719528,12.12637280371819,0.5402916528146791,11.62924741562633,8.792230043591756e-13,4.190003899395833e-10,0.01345907869217136,8
N9-to-N15,15,5,3.1389,0.02203744467068458,2.795284614639917,12.13712579676652,0.5298659324222601,11.85806620640105,1.687489840587563e-12,5.731020102928142e-10,0.01345907869217136,8
N9-to-N15,15,6,3.1389,0.02315342076314988,2.797794915762046,12.1480255242388,0.519228097153652,12.10101175499415,1.372519397405905e-12,7.55284723652494e-10,0.01345907869217136,8
N9-to-N15,15,7,3.1389,0.02425091437490005,2.800332164592139,12.15904225865907,0.5084005502505243,12.35873034378783,1.656066025518682e-12,9.775882325868679e-10,0.01345907869217136,8
N9-to-N15,15,8,3.1389,0.025332424902528,2.802890094101937,12.17014878859061,0.4974033667883291,12.63197180941762,1.317407534478492e-12,1.229148782755374e-09,0.01345907869217136,8
N9-to-N15,15,9,3.1389,0.02640031317884315,2.805462871500625,12.18131978805571,0.4862548956871149,12.92158775759156,1.455175731501574e-12,1.497927559768186e-09,0.01345907869217136,8
N9-to-N15,15,10,3.1389,0.02745681095689628,2.808044979162268,12.19253129952257,0.474972275329385,13.228530660705,1.643703060364369e-11,1.76205228186177e-09,0.01345907869217136,8
N9-to-N15,15,11,3.1389,0.02850402865610419,2.81063111899145,12.20376031866087,0.4635718755919491,13.55385354030892,1.493166104713108e-12,2.021928846573928e-09,0.01345907869217136,9
N9-to-N15,15,12,3.1389,0.02954396069387149,2.813216138728837,12.21498447436061,0.4520696736367444,13.89871002987998,1.263300486010195e-12,2.164339374388646e-09,0.01345907869217136,9
