system,point,mapping_time_days,y_amplitude_km,z_amplitude_km,y_amplitude_nd,z_amplitude_nd
earth_moon,L1,12.64,42000,35800,0.109261186264308,0.0931321540062435
earth_moon,L1,12.65566666666667,41733.13528060784,36427.08222813791,0.1085669492211442,0.09476348134271048
earth_moon,L1,12.67133333333333,41037.95219277323,36997.64430255808,0.1067584604390563,0.09624777394005744
earth_moon,L1,12.687,39963.11981512567,37526.90562599029,0.1039623304243644,0.09762462441724841
earth_moon,L1,12.70266666666667,38531.81587473237,38008.81777920658,0.1002388550331227,0.09887829807285792
earth_moon,L1,12.71833333333333,36759.34379697171,38435.39906405505,0.09562784546558717,0.09998803086382686
earth_moon,L1,12.734,34657.04316439695,38798.77964351674,0.09015880115607948,0.100933349749003
earth_moon,L1,12.74966666666667,32233.86921101918,39091.92890197085,0.08385501875915499,0.1016959648854601
earth_moon,L1,12.76533333333333,29497.18981073205,39309.03218939569,0.07673566548057245,0.1022607497122677
earth_moon,L1,12.781,26453.24321257874,39445.72258477748,0.06881696985582399,0.1026163438729903
earth_moon,L1,12.79666666666667,23107.42469054573,39499.229098187,0.06011296745719492,0.1027555387569901
earth_moon,L1,12.81233333333333,19464.47761891675,39468.46303838972,0.05063599796804565,0.1026755021810346
earth_moon,L1,12.828,15528.62701992556,39354.05066189369,0.04039705260126317,0.1023778633243853
earth_moon,L1,12.84366666666667,11303.67644913135,39158.31447280883,0.02940602614238124,0.1018686640811884
earth_moon,L1,12.85933333333333,6793.080434052128,38885.20185931427,0.01767190539555704,0.1011581734113274
earth_moon,L1,12.875,2000,38540.15493881156,0.005202913631633715,0.1002605487482091
