eigen_index,classification,real,imag,magnitude,angle_rad,target_jacobi,mean_jacobi,curve_jacobi_span,curve_residual_norm,spectral_samples,dg_dimension,mapping_time_days,rotation_angle_rad,determinant,max_multiplier,stability_index,paper_stability_index,stability_index_error,paper_implied_unstable_radius
0,unstable,187.32958668214403,103.22957531019566,213.88950246617122,0.5036555740435898,3.044,3.043999999999825,1.058200194137271e-09,1.1903675474996596e-09,93,558,14.535033977337037,0.6655211628675557,0.999999999968546,213.88950246617122,106.9470888887173,1.3837,105.5633888887173,2.3400606485003443
1,unstable,187.32958668214403,-103.22957531019566,213.88950246617122,-0.5036555740435898,3.044,3.043999999999825,1.058200194137271e-09,1.1903675474996596e-09,93,558,14.535033977337037,0.6655211628675557,0.999999999968546,213.88950246617122,106.9470888887173,1.3837,105.5633888887173,2.3400606485003443
2,unstable,140.95137105072203,-160.08963796164244,213.29786961844712,-0.8488863446593294,3.044,3.043999999999825,1.058200194137271e-09,1.1903675474996596e-09,93,558,14.535033977337037,0.6655211628675557,0.999999999968546,213.88950246617122,106.9470888887173,1.3837,105.5633888887173,2.3400606485003443
3,unstable,140.95137105072203,160.08963796164244,213.29786961844712,0.8488863446593294,3.044,3.043999999999825,1.058200194137271e-09,1.1903675474996596e-09,93,558,14.535033977337037,0.6655211628675557,0.999999999968546,213.88950246617122,106.9470888887173,1.3837,105.5633888887173,2.3400606485003443
4,unstable,71.67432290794738,198.61577796676897,211.15263631235482,1.2244714567850252,3.044,3.043999999999825,1.058200194137271e-09,1.1903675474996596e-09,93,558,14.535033977337037,0.6655211628675557,0.999999999968546,213.88950246617122,106.9470888887173,1.3837,105.5633888887173,2.3400606485003443
5,unstable,71.67432290794738,-198.61577796676897,211.15263631235482,-1.2244714567850252,3.044,3.043999999999825,1.058200194137271e-09,1.1903675474996596e-09,93,558,14.535033977337037,0.6655211628675557,0.999999999968546,213.88950246617122,106.9470888887173,1.3837,105.5633888887173,2.3400606485003443
6,unstable,205.16785463239177,-26.467811067367304,206.86805842651518,-0.12829704867487948,3.044,3.043999999999825,1.058200194137271e-09,1.1903675474996596e-09,93,558,14.535033977337037,0.6655211628675557,0.999999999968546,213.88950246617122,106.9470888887173,1.3837,105.5633888887173,2.3400606485003443
7,unstable,205.16785463239177,26.467811067367304,206.86805842651518,0.12829704867487948,3.044,3.043999999999825,1.058200194137271e-09,1.1903675474996596e-09,93,558,14.535033977337037,0.6655211628675557,0.999999999968546,213.88950246617122,106.9470888887173,1.3837,105.5633888887173,2.3400606485003443
8,unstable,92.63889391290124,182.2215576987407,204.4178582109725,1.1004624240433,3.044,3.043999999999825,1.058200194137271e-09,1.1903675474996596e-09,93,558,14.535033977337037,0.6655211628675557,0.999999999968546,213.88950246617122,106.9470888887173,1.3837,105.5633888887173,2.3400606485003443
9,unstable,92.63889391290124,-182.2215576987407,204.4178582109725,-1.1004624240433,3.044,3.043999999999825,1.058200194137271e-09,1.1903675474996596e-09,93,558,14.535033977337037,0.6655211628675557,0.999999999968546,213.88950246617122,106.9470888887173,1.3837,105.5633888887173,2.3400606485003443
