member_id,variant,native_N,target_N,max_abs_z_km,rho,mean_jacobi,map_residual_max_norm,map_residual_rms_norm,curve_jacobi_span,fourier_tail_energy_state,fourier_tail_energy_z,jacobian_shape,rank_estimate,unknown_size,rank_deficiency,condition_estimate,min_singular_value,max_singular_value,classification,diagnosis
7,native_N,41,41,9619.395383033627,1.442581566053174,2.922310285806469,8.43840288729695e-11,3.392974285232193e-11,2.931876963430113e-12,8.988057892355572e-22,9.753225588725726e-19,249x247,247,247,0,17255904.16117318,2.831729988088757e-06,48.86406128477967,full_column_rank_moderate,native representation; two_phase_overdetermined remains full rank; one_phase=full_column_rank_ill_conditioned cond=8.58543e+11
7,lifted_to_N61,41,61,9620.240451880763,1.442581566053174,2.922310285806469,1.030174069203121e-10,3.494829064814169e-11,3.180122831736298e-12,1.361024551501621e-31,4.224582101062416e-31,369x367,367,367,0,20908500.99271288,2.337014152139565e-06,48.86346271999415,full_column_rank_moderate,trigonometric interpolation to N=61; two_phase_overdetermined remains full rank; one_phase=full_column_rank_ill_conditioned cond=8.58247e+11
8,native_N,41,41,10134.48630541837,1.443804463949337,2.922289662015089,3.467176206092227e-14,1.724881388550564e-14,1.615654277031808e-10,9.893203144219947e-18,8.638099366979638e-16,249x247,247,247,0,53758379.4885699,9.080463609059984e-07,48.81510086279956,full_column_rank_moderate,native representation; two_phase_overdetermined full rank; one_phase=rank_deficient cond=2.26294e+15; N lift preserves audit residual but does not by itself remove the one-phase null direction
8,lifted_to_N61,41,61,10134.87464105118,1.443804463949337,2.92228966201509,3.188391455563252e-09,1.481053033519289e-09,1.837796581583007e-10,1.325678318017266e-31,3.881331839504306e-31,369x367,367,367,0,56215606.45084722,8.683855075604419e-07,48.81681794063702,full_column_rank_moderate,trigonometric interpolation to N=61; two_phase_overdetermined full rank; one_phase=rank_deficient cond=1.54776e+15; N lift preserves audit residual but does not by itself remove the one-phase null direction
9,native_N,41,41,10161.69305030281,1.443872724217783,2.922288499365069,5.360662207451406e-13,2.762637161609655e-13,2.993387759886446e-10,2.989690643276465e-17,1.899936236664392e-15,249x247,247,247,0,71511567.33745992,6.824851384411986e-07,48.80558193445343,full_column_rank_moderate,native representation; two_phase_overdetermined full rank; one_phase=rank_deficient cond=8.74099e+13; N lift preserves audit residual but does not by itself remove the one-phase null direction
9,lifted_to_N61,41,61,10162.00097719095,1.443872724217783,2.922288499365068,5.642461803652922e-09,2.637230451766827e-09,3.390754343968183e-10,1.405042321828493e-31,3.594757615414719e-31,369x367,367,367,0,74376989.46163088,6.561804337450285e-07,48.80472520558236,full_column_rank_moderate,trigonometric interpolation to N=61; two_phase_overdetermined full rank; one_phase=rank_deficient cond=8.33434e+13; N lift preserves audit residual but does not by itself remove the one-phase null direction
10,native_N,61,61,10164.02309965055,1.443877875293695,2.922288411389487,7.890972080147777e-10,4.409267131129014e-10,1.794120407794253e-11,5.400271324493003e-23,4.085802292417093e-22,369x367,367,367,0,76139639.25047329,6.409722655832058e-07,48.80339707106384,full_column_rank_moderate,native representation; two_phase_overdetermined remains full rank; one_phase=full_column_rank_ill_conditioned cond=4.82372e+10
10,lifted_to_N61,61,61,10164.02309965055,1.443877875293695,2.922288411389487,7.890972080147777e-10,4.409267131129014e-10,1.794120407794253e-11,5.400271324493003e-23,4.085802292417093e-22,369x367,367,367,0,76139639.25047329,6.409722655832058e-07,48.80339707106384,full_column_rank_moderate,already N=61; no interpolation applied; two_phase_overdetermined remains full rank; one_phase=full_column_rank_ill_conditioned cond=4.82372e+10
