system,point,branch_method,continuation_index,z0,x0,ydot0,period,jacobi,perilune_radius_km,z_amplitude_km,stability_index,periodicity_error,final_residual_norm
earth_moon,L2,pseudo-arclength,217,0.004551873407716962,0.9876283006329235,2.285837113996092,1.364970670214761,3.05890456512764,1751.803325744411,66604.90438247225,1.000012085472485,6.614356978501943e-10,3.711629399253278e-14
earth_moon,L2,pseudo-arclength,216,0.004591109432731078,0.9876257860471357,2.275876392838341,1.366739888217646,3.058736734444849,1766.914804993347,66651.87167875595,1.000015092267552,8.385801081154932e-10,5.349118248480776e-14
earth_moon,L2,pseudo-arclength,212,0.004753198039137718,0.9876153691363774,2.236039593293838,1.373951779001342,3.058057368325786,1829.342951748976,66841.73842196325,1.000007271336124,4.275916795176374e-10,1.397257045753878e-13
earth_moon,L2,pseudo-arclength,208,0.004923953429348527,0.9876043514099153,2.196213215544081,1.381389562379863,3.057364684259471,1895.110449493301,67034.8949653181,1.01813571271331,9.483452505734217e-10,1.584467159075476e-13
earth_moon,L2,pseudo-arclength,204,0.005103998169066625,0.9875926951466787,2.156398263669546,1.389067277724606,3.056658054770915,1964.457088212359,67231.47199786894,1.037704445501995,4.81539281692941e-10,6.468613348690013e-14
earth_moon,L2,pseudo-arclength,200,0.005294010905537971,0.9875803607287803,2.116595866021661,1.39700015302228,3.055936814319941,2037.644224323093,67431.60763043989,1.057751956075353,7.311979643002472e-10,1.010322724615542e-13
earth_moon,L2,pseudo-arclength,196,0.005494732399943928,0.9875673067472268,2.07680729364921,1.405204726776535,3.05520025711573,2114.957092919078,67635.44781136813,1.078296385845638,7.720693117166223e-10,1.603498136186884e-13
earth_moon,L2,pseudo-arclength,192,0.005706972301799816,0.9875534901862169,2.037033981869622,1.413698984116698,3.054447634935034,2196.707402710864,67843.14674299663,1.099354975074943,4.509565316644961e-10,4.851028926464992e-14
earth_moon,L2,pseudo-arclength,188,0.005931616764620613,0.9875388667119637,1.997277555584674,1.422502508868855,3.053678154989228,2283.236251283246,68054.86728520012,1.120943886590131,4.53831557756794e-10,1.644443453405259e-14
earth_moon,L2,pseudo-arclength,184,0.006169637015378,0.9875233910996879,1.957539859064274,1.431636653544504,3.052890977907257,2374.917403115367,68270.78133319668,1.143079898656542,3.631675031528748e-10,8.008923504037569e-14
earth_moon,L2,pseudo-arclength,180,0.006422099004910807,0.9875070178424258,1.917822991073078,1.441124729411983,3.052085215924766,2472.160978051676,68491.07015368924,1.165778337860781,2.650039981459604e-10,1.48899902606417e-13
earth_moon,L2,pseudo-arclength,176,0.006690174282365722,0.9874897019982595,1.878129346398425,1.450992219026132,3.051259931397182,2575.417604037807,68715.92464893351,1.18905286304622,4.971865587039895e-10,9.808984339635441e-14
earth_moon,L2,pseudo-arclength,172,0.006975152253668313,0.9874714003494203,1.838461665061551,1.461267013795542,3.050414135795508,2685.183093983268,68945.54552067572,1.212915815804168,5.226532279699981e-10,1.391692781905849e-13
