case_id,case_type,source,curve_samples,rho,max_abs_z_km,mean_jacobi,map_residual_norm,curve_jacobi_span,one_map_jacobi_drift,phase_return_error,amplitude_residual,phase_residual,arclength_residual,newton_iterations,condition_estimate,min_singular_value,max_singular_value,singular_value_ratio,max_correction_norm,mean_correction_norm,fourier_tail_energy_z,fourier_tail_energy_state,max_pointwise_residual,residual_peak_phase,max_pointwise_jacobi_error,jacobi_peak_phase,classification,diagnosis
accepted_amplitude_10000km,accepted,amplitude_stepping_N41,41,1.443804463949337,10134.48630541837,2.922289662015089,4.147166287852223e-14,1.615654277031808e-10,1.615654277031808e-10,1.915669612095056e-14,-3.469446951953614e-18,-1.81603863891322e-18,N/A,0,2204171988525394,2.214667916500639e-14,48.81508985436604,2204171988525394,N/A,N/A,4.389233423569807e-15,2.501018355914203e-12,4.147166287852223e-14,2.605223176147633,8.146994190383339e-11,0.3064968442526628,accepted_audited,accepted; residual and Jacobi errors stay below audit thresholds
accepted_palc_10164km,accepted,fixed_mapping_PALC_N61,61,1.443877875293695,10164.02309965055,2.922288411389487,7.890714644108212e-10,1.794120407794253e-11,1.794120407794253e-11,2.124591170902436e-10,0,1.04591628326961e-17,N/A,0,48204681412.96655,1.012420169669017e-09,48.80339173495651,48204681412.96655,N/A,N/A,4.226738031650197e-17,1.80077333522803e-17,7.890714644108212e-10,4.532133664195111,9.084732965902731e-12,5.871173155889121,accepted_audited,accepted; residual and Jacobi errors stay below audit thresholds
rejected_amplitude_11000km,rejected,amplitude_stepping_N41,41,1.446397667296895,11186.93296063565,2.92224414315515,0.0004227040797634044,0.000195390551757324,0.0001953905517599885,5.224247144813373e-06,N/A,N/A,N/A,32,2438751.000486135,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0004227040797634044,N/A,9.7695275878662e-05,N/A,log_only_residual_and_jacobi_failure,"rejected amplitude-stepping candidate; full states are not persisted in the CSV, so this bounded diagnostic uses continuation-log metrics instead of rerunning the slow full branch"
rejected_amplitude_12000km,rejected,amplitude_stepping_N41,41,1.449068412975873,12666.11236900283,2.922035789532619,0.01025722315499319,0.0008085234362318339,0.0008085234362336102,0.009187829339960306,N/A,N/A,N/A,32,857082.9699129266,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.01025722315499319,N/A,0.0004042617181159169,N/A,log_only_residual_and_jacobi_failure,"rejected amplitude-stepping candidate; full states are not persisted in the CSV, so this bounded diagnostic uses continuation-log metrics instead of rerunning the slow full branch"
rejected_amplitude_14000km,rejected,amplitude_stepping_N41,41,1.452280715430533,14817.07492165114,2.92159430906631,0.02368746795354498,0.001547418108960308,0.001547418108961196,0.02135618316365676,N/A,N/A,N/A,32,121121.4594050727,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.02368746795354498,N/A,0.000773709054480154,N/A,log_only_residual_and_jacobi_failure,"rejected amplitude-stepping candidate; full states are not persisted in the CSV, so this bounded diagnostic uses continuation-log metrics instead of rerunning the slow full branch"
rejected_fixed_rotation_rho_1.4445,rejected,fixed_rotation_fallback_N61,61,1.4445,10405.93030301344,2.922258938285712,0.001049712941042683,1.976794393554471e-05,1.976794393554471e-05,0.0008604586338738838,0,4.76462840535985e-11,N/A,3,885571.7052372072,0.0006508786850871579,48.52514033125576,74553.27919481316,0.001,0.0005166235900338128,4.422966485917895e-12,7.792559254417358e-10,0.001049712941042683,2.987088096855869,1.090652372859324e-05,2.987088096855869,global_consistency_loss,rejected; map residual and Jacobi error rise across the curve
rejected_fixed_rotation_rho_1.4455,rejected,fixed_rotation_fallback_N61,61,1.4455,10791.80344944578,2.921686050763094,0.03211856951176142,0.0006977286158873497,0.0006977286158873497,0.0257517530627826,0,-1.139965264766978e-08,N/A,3,1789615.460185441,0.0001255687658880813,48.1041093688392,383089.7678146659,0.001,0.0003239256138463729,3.309884975847264e-07,8.458224227861638e-05,0.03211856951176142,2.987088096855869,0.000375395909101961,6.077179231534354,global_consistency_loss,rejected; map residual and Jacobi error rise across the curve
rejected_fixed_rotation_rho_1.4465,rejected,fixed_rotation_fallback_N61,61,1.4465,11188.08244697768,2.920809775510452,0.07841846983001098,0.001814140488309413,0.001814140488309413,0.06346064209372716,0,-1.960031910187669e-06,N/A,3,22256.4136851963,0.002825011932636881,47.47517119636566,16805.2993503826,0.001,0.0004855911620750114,2.768660960088958e-07,3.820262808370383e-06,0.07841846983001098,2.987088096855869,0.001022957356080489,6.077179231534354,global_consistency_loss,rejected; map residual and Jacobi error rise across the curve
rejected_fixed_rotation_rho_1.4480,rejected,fixed_rotation_fallback_N61,61,1.448,11764.18491704963,2.918671877404707,0.1875176288190327,0.004188152183771887,0.004188152183771887,0.1529755874231067,0,-1.143875740633807e-05,N/A,3,1938.814346738882,0.02375431687226006,46.58692122312706,1961.198104481404,0.001,0.0006489741043537794,3.57737077834325e-08,1.221519576278591e-06,0.1875176288190327,2.987088096855869,0.002348287077440059,2.987088096855869,global_consistency_loss,rejected; map residual and Jacobi error rise across the curve
rejected_fixed_rotation_rho_1.4500,rejected,fixed_rotation_fallback_N61,61,1.45,12508.77229257674,2.914454625141718,0.3870249377119804,0.008922896027496741,0.008922896027496741,0.3194888981401311,0,-2.344993105004927e-05,N/A,3,3042.754005097841,0.02361877765313621,45.12943801149723,1910.744013693899,0.001,0.0007762592466050844,2.873652725807723e-09,1.409199780849905e-07,0.3870249377119804,2.987088096855869,0.004869740247880561,2.987088096855869,global_consistency_loss,rejected; map residual and Jacobi error rise across the curve
