kind,sample,phase,time_days,x_nd,y_nd,z_nd,xdot_nd,ydot_nd,zdot_nd,jacobi,departure_phase,arrival_phase,time_of_flight_days,departure_delta_v_m_s,arrival_delta_v_m_s,total_delta_v_m_s,endpoint_position_error_km,maximum_continuity_error,minimum_moon_radius_km,jacobi_span,boundary_jacobi_difference,halo_stability_index,halo_periodicity_error,lyapunov_periodicity_error
summary,,,,,,,,,,,0.25,0.3560972421240776,186.9,87.64872501461822,204.1273250566774,291.7760500712956,1.037583766794847e-08,1.411865628080983e-13,38208.75269766415,2.951416888663516e-12,0,183.2829961442394,1.163127264480456e-12,3.117207787501045e-11
halo_orbit,0,0,,1.071616100976025,0,-0.07000000000000001,0,0.3115821078206473,0,3.093090539868627,,,,,,,,,,,,,,
halo_orbit,1,0.00558659217877095,,1.071628907221789,0.005690970354492663,-0.0698818874996191,0.001403682580854519,0.3110831297985389,0.01291832371580469,3.093090539868627,,,,,,,,,,,,,,
halo_orbit,2,0.0111731843575419,,1.07166755966681,0.01136375000067507,-0.06952844088175993,0.002832848004610711,0.3095938093093434,0.02573938689201645,3.093090539868627,,,,,,,,,,,,,,
halo_orbit,3,0.01675977653631285,,1.071732749139793,0.01700042427476446,-0.06894230671131894,0.004311859622842395,0.3071366230966004,0.03836876743301267,3.093090539868635,,,,,,,,,,,,,,
halo_orbit,4,0.0223463687150838,,1.071825593481784,0.02258361750800814,-0.06812781075046792,0.005862925696430901,0.3037478532981175,0.05071752833628448,3.093090539868631,,,,,,,,,,,,,,
halo_orbit,5,0.02793296089385475,,1.071947589850311,0.02809673100668226,-0.06709083617400431,0.007505221066773712,0.2994759332381425,0.06270450364138143,3.093090539868623,,,,,,,,,,,,,,
halo_orbit,6,0.0335195530726257,,1.072100552840744,0.03352414643656693,-0.06583866431376777,0.00925422043543221,0.2943793427849759,0.07425809635232673,3.093090539868626,,,,,,,,,,,,,,
halo_orbit,7,0.03910614525139665,,1.072286542606677,0.0388513879450325,-0.06437978761523842,0.01112127346803966,0.2885242272887822,0.0853175139626749,3.093090539868632,,,,,,,,,,,,,,
halo_orbit,8,0.0446927374301676,,1.072507787481985,0.04406523961741133,-0.0627237053372649,0.01311342677939292,0.2819819195600122,0.09583342291745088,3.093090539868619,,,,,,,,,,,,,,
