case_id,source_members,target_member,N_strategy,solve_variant,substep_index,substep_count,step_size,palc_constraint_residual,converged,accepted,max_abs_z_km,target_max_abs_z_km,amplitude_error_km,rho,target_rho,rho_error,mean_jacobi,target_mean_jacobi,mean_jacobi_error,map_residual_max_norm,map_residual_rms_norm,curve_jacobi_span,phase_residual,one_map_phase_return_error,ten_return_jacobi_span,fourier_tail_energy_state,fourier_tail_energy_z,condition_estimate,rank_estimate,failure_reason,classification,diagnosis
8_to_9_native_retry,"7,8",9,native_N41_full_7_to_8_secant,two_phase_rank_audit_plus_scaled_PALC,1,1,0.02493651511346489,2.458157022446077e-10,False,False,10631.31431761802,10161.69305030281,469.6212673152058,1.445023451971358,1.443872724217783,0.001150727753574721,2.922260426630054,2.922288499365069,-2.807273501526097e-05,0.0003936381921134426,0.0002944661255448712,8.675529697299567e-06,-6.859526443787851e-07,0.0003558574759739858,1.77635683940025e-15,2.801054302485378e-13,8.541323637765723e-13,364978.3031480522,247,maximum iterations reached; amplitude_error>50 km; rho_error>0.0001; mean_jacobi_error>2e-06,full_column_rank_moderate,full native 7_to_8 secant overshoots the small 8_to_9 neighbor gap
8_to_9_N61_retry,"7,8",9,lifted_to_N61_full_7_to_8_secant,two_phase_rank_audit_plus_scaled_PALC,1,1,0.03040447149438145,3.477805827367112e-10,False,False,10633.63703482792,10162.00097719095,471.6360576369734,1.445025992541997,1.443872724217783,0.001153268324214585,2.922257343107374,2.922288499365068,-3.115625769423147e-05,0.0005544245990031921,0.0003998044535466296,1.173471385262914e-05,-1.181302342687617e-06,0.0004758782551051009,3.552713678800501e-15,2.776092740715327e-16,4.243443728524961e-16,306448.7650125342,367,maximum iterations reached; amplitude_error>50 km; rho_error>0.0001; mean_jacobi_error>2e-06,full_column_rank_moderate,N61 lift alone does not fix the oversized predictor
8_to_9_substepped_retry,"7,8",9,lifted_to_N61_rho_matched_substep,two_phase_rank_audit_plus_scaled_PALC,1,18,0.001697130555766687,6.67436154401277e-18,True,True,10162.06993898134,10162.00097719095,0.06896179038812988,1.443872052810172,1.443872724217783,-6.714076112857015e-07,2.922288510826954,2.922288499365068,1.146188521872205e-08,1.056489793274609e-12,5.264644593510916e-13,1.052491427344648e-13,-5.285485590866834e-18,5.114925043586677e-14,3.108624468950438e-15,8.51175384138906e-24,3.195230512445755e-22,281058.2892859517,367,,full_column_rank_moderate,"bounded rho-matched substep mitigates the 8_to_9 predictor overshoot; this is local stabilization, not high-amplitude continuation"
9_to_10_N61_confirmation,"8,9",10,unified_N61_full_9_to_10_secant,two_phase_rank_audit_plus_scaled_PALC,1,1,0.004809261563145346,-1.143657598810101e-17,True,True,10188.64240097785,10164.02309965055,24.61930132729867,1.443940588268885,1.443877875293695,6.271297519000463e-05,2.922287336715046,2.922288411389487,-1.074674440992851e-06,7.464142224911165e-14,3.607605900434991e-14,6.705747068735946e-14,-5.299038118022903e-18,9.286997299794265e-15,3.996802888650564e-15,5.121560406203751e-23,2.070011995014961e-21,287403.2720276284,367,,full_column_rank_moderate,9_to_10 remains accepted under unified N61 and strict local target gates
