index,classification,real,imag,magnitude,angle_rad,mapping_time_days,rotation_angle_rad,curve_residual_norm,determinant,stability_index
0,unstable,2674.048441868268,0,2674.048441868268,0,11.68773098131841,0.1760866711275833,6.123769645778951e-11,1.000000001430575,1337.024407916536
1,unstable,2509.929415649656,-922.3824575059177,2674.048441868262,-0.3521733422551666,11.68773098131841,0.1760866711275833,6.123769645778951e-11,1.000000001430575,1337.024407916536
2,unstable,2509.929415649656,922.3824575059177,2674.048441868262,0.3521733422551666,11.68773098131841,0.1760866711275833,6.123769645778951e-11,1.000000001430575,1337.024407916536
3,unstable,2632.698987025989,-468.434748039043,2674.048441868261,-0.1760866711275841,11.68773098131841,0.1760866711275833,6.123769645778951e-11,1.000000001430575,1337.024407916536
4,unstable,2309.536558617968,1347.804122958951,2674.04844186826,0.5282600133827507,11.68773098131841,0.1760866711275833,6.123769645778951e-11,1.000000001430575,1337.024407916536
5,unstable,2632.698987025989,468.434748039043,2674.048441868261,0.1760866711275841,11.68773098131841,0.1760866711275833,6.123769645778951e-11,1.000000001430575,1337.024407916536
6,unstable,2309.536558617968,-1347.804122958951,2674.04844186826,-0.5282600133827507,11.68773098131841,0.1760866711275833,6.123769645778951e-11,1.000000001430575,1337.024407916536
7,unstable,1702.879721446109,-2061.731244305545,2674.04844186826,-0.8804333556379174,11.68773098131841,0.1760866711275833,6.123769645778951e-11,1.000000001430575,1337.024407916536
8,unstable,1702.879721446109,2061.731244305545,2674.04844186826,0.8804333556379174,11.68773098131841,0.1760866711275833,6.123769645778951e-11,1.000000001430575,1337.024407916536
9,unstable,1315.377502761435,-2328.157446283897,2674.048441868259,-1.056520026765501,11.68773098131841,0.1760866711275833,6.123769645778951e-11,1.000000001430575,1337.024407916536
10,unstable,2037.717861917927,-1731.542949129099,2674.048441868259,-0.7043466845103339,11.68773098131841,0.1760866711275833,6.123769645778951e-11,1.000000001430575,1337.024407916536
11,unstable,2037.717861917927,1731.542949129099,2674.048441868259,0.7043466845103339,11.68773098131841,0.1760866711275833,6.123769645778951e-11,1.000000001430575,1337.024407916536
12,unstable,1315.377502761435,2328.157446283897,2674.048441868259,1.056520026765501,11.68773098131841,0.1760866711275833,6.123769645778951e-11,1.000000001430575,1337.024407916536
13,unstable,887.1952835498616,-2522.581929681305,2674.048440680867,-1.232606698733461,11.68773098131841,0.1760866711275833,6.123769645778951e-11,1.000000001430575,1337.024407916536
14,unstable,887.1952835498616,2522.581929681305,2674.048440680867,1.232606698733461,11.68773098131841,0.1760866711275833,6.123769645778951e-11,1.000000001430575,1337.024407916536
15,unit,0.491905216408162,-0.8706487570476852,1.00000000003912,-1.056519651073421,11.68773098131841,0.1760866711275833,6.123769645778951e-11,1.000000001430575,1337.024407916536
16,unit,0.491905216408162,0.8706487570476852,1.00000000003912,1.056519651073421,11.68773098131841,0.1760866711275833,6.123769645778951e-11,1.000000001430575,1337.024407916536
17,unit,0.3317801652094048,-0.9433567310521838,1.000000000023921,-1.232606322192261,11.68773098131841,0.1760866711275833,6.123769645778951e-11,1.000000001430575,1337.024407916536
18,unit,0.3317801652094048,0.9433567310521838,1.000000000023921,1.232606322192261,11.68773098131841,0.1760866711275833,6.123769645778951e-11,1.000000001430575,1337.024407916536
19,unit,0.6368173699234221,0.7710146804097189,1.000000000021743,0.8804329800723056,11.68773098131841,0.1760866711275833,6.123769645778951e-11,1.000000001430575,1337.024407916536
20,unit,0.6368173699234221,-0.7710146804097189,1.000000000021743,-0.8804329800723056,11.68773098131841,0.1760866711275833,6.123769645778951e-11,1.000000001430575,1337.024407916536
21,unit,0.7620350030118408,0.647535832386989,1.000000000020183,0.70434630883731,11.68773098131841,0.1760866711275833,6.123769645778951e-11,1.000000001430575,1337.024407916536
22,unit,0.7620350030118408,-0.647535832386989,1.000000000020183,-0.70434630883731,11.68773098131841,0.1760866711275833,6.123769645778951e-11,1.000000001430575,1337.024407916536
23,unit,0.9845366934552029,-0.1751784783348079,1.000000000015701,-0.1760870467852972,11.68773098131841,0.1760866711275833,6.123769645778951e-11,1.000000001430575,1337.024407916536
24,unit,0.9845366934552029,0.1751784783348079,1.000000000015701,0.1760870467852972,11.68773098131841,0.1760866711275833,6.123769645778951e-11,1.000000001430575,1337.024407916536
25,unit,0.9386251310401901,0.3449389270442882,1.000000000005339,0.3521737179197991,11.68773098131841,0.1760866711275833,6.123769645778951e-11,1.000000001430575,1337.024407916536
26,unit,0.9386251310401901,-0.3449389270442882,1.000000000005339,-0.3521737179197991,11.68773098131841,0.1760866711275833,6.123769645778951e-11,1.000000001430575,1337.024407916536
27,unit,0.8636855745616874,-0.5040309795015145,1.000000000001604,-0.52825963773524,11.68773098131841,0.1760866711275833,6.123769645778951e-11,1.000000001430575,1337.024407916536
28,unit,0.8636855745616874,0.5040309795015145,1.000000000001604,0.52825963773524,11.68773098131841,0.1760866711275833,6.123769645778951e-11,1.000000001430575,1337.024407916536
29,unit,0.3317798037722433,-0.9433568581448191,1.000000000000006,-1.232606705323256,11.68773098131841,0.1760866711275833,6.123769645778951e-11,1.000000001430575,1337.024407916536
30,unit,0.3317798037722433,0.9433568581448191,1.000000000000006,1.232606705323256,11.68773098131841,0.1760866711275833,6.123769645778951e-11,1.000000001430575,1337.024407916536
31,unit,0.6368170753621742,0.7710149236734498,1.000000000000004,0.8804333620979213,11.68773098131841,0.1760866711275833,6.123769645778951e-11,1.000000001430575,1337.024407916536
32,unit,0.6368170753621742,-0.7710149236734498,1.000000000000004,-0.8804333620979213,11.68773098131841,0.1760866711275833,6.123769645778951e-11,1.000000001430575,1337.024407916536
33,unit,0.7620347555515766,-0.64753612357262,1.000000000000003,-0.7043466909703413,11.68773098131841,0.1760866711275833,6.123769645778951e-11,1.000000001430575,1337.024407916536
34,unit,0.7620347555515766,0.64753612357262,1.000000000000003,0.7043466909703413,11.68773098131841,0.1760866711275833,6.123769645778951e-11,1.000000001430575,1337.024407916536
35,unit,0.1613939409554396,-0.9868900626832141,1.000000000000003,-1.408693378274272,11.68773098131841,0.1760866711275833,6.123769645778951e-11,1.000000001430575,1337.024407916536
36,unit,0.1613939409554396,0.9868900626832141,1.000000000000003,1.408693378274272,11.68773098131841,0.1760866711275833,6.123769645778951e-11,1.000000001430575,1337.024407916536
37,unit,0.8636853819662134,0.5040313095214235,1.000000000000002,0.5282600198427601,11.68773098131841,0.1760866711275833,6.123769645778951e-11,1.000000001430575,1337.024407916536
38,unit,0.8636853819662134,-0.5040313095214235,1.000000000000002,-0.5282600198427601,11.68773098131841,0.1760866711275833,6.123769645778951e-11,1.000000001430575,1337.024407916536
39,unit,0.4919048836743246,-0.870648944992958,1.000000000000001,-1.056520033218983,11.68773098131841,0.1760866711275833,6.123769645778951e-11,1.000000001430575,1337.024407916536
40,unit,0.4919048836743246,0.870648944992958,1.000000000000001,1.056520033218983,11.68773098131841,0.1760866711275833,6.123769645778951e-11,1.000000001430575,1337.024407916536
41,unit,0.9386252583881594,0.3449385804976905,1,0.3521733487151815,11.68773098131841,0.1760866711275833,6.123769645778951e-11,1.000000001430575,1337.024407916536
42,unit,0.9386252583881594,-0.3449385804976905,1,-0.3521733487151815,11.68773098131841,0.1760866711275833,6.123769645778951e-11,1.000000001430575,1337.024407916536
43,unit,0.63681708532369,-0.7710149154457654,1,-0.8804333491779142,11.68773098131841,0.1760866711275833,6.123769645778951e-11,1.000000001430575,1337.024407916536
44,unit,0.63681708532369,0.7710149154457654,1,0.8804333491779142,11.68773098131841,0.1760866711275833,6.123769645778951e-11,1.000000001430575,1337.024407916536
45,unit,0.4919048948367224,-0.8706489386863531,0.9999999999999999,-1.056520020398203,11.68773098131841,0.1760866711275833,6.123769645778951e-11,1.000000001430575,1337.024407916536
46,unit,0.4919048948367224,0.8706489386863531,0.9999999999999999,1.056520020398203,11.68773098131841,0.1760866711275833,6.123769645778951e-11,1.000000001430575,1337.024407916536
47,unit,0.7620347639177452,-0.6475361137271209,0.9999999999999982,-0.7043466780503325,11.68773098131841,0.1760866711275833,6.123769645778951e-11,1.000000001430575,1337.024407916536
48,unit,0.7620347639177452,0.6475361137271209,0.9999999999999982,0.7043466780503325,11.68773098131841,0.1760866711275833,6.123769645778951e-11,1.000000001430575,1337.024407916536
49,unit,0.8636853884782971,-0.504031298362596,0.9999999999999957,-0.5282600069227497,11.68773098131841,0.1760866711275833,6.123769645778951e-11,1.000000001430575,1337.024407916536
50,unit,0.8636853884782971,0.504031298362596,0.9999999999999957,0.5282600069227497,11.68773098131841,0.1760866711275833,6.123769645778951e-11,1.000000001430575,1337.024407916536
51,unit,0.9386252628447647,-0.3449385683706341,0.999999999999993,-0.3521733357951649,11.68773098131841,0.1760866711275833,6.123769645778951e-11,1.000000001430575,1337.024407916536
52,unit,0.9386252628447647,0.3449385683706341,0.999999999999993,0.3521733357951649,11.68773098131841,0.1760866711275833,6.123769645778951e-11,1.000000001430575,1337.024407916536
53,unit,0.999999999999992,-6.460010094610213e-09,0.999999999999992,-6.460010094610264e-09,11.68773098131841,0.1760866711275833,6.123769645778951e-11,1.000000001430575,1337.024407916536
54,unit,0.999999999999992,6.460010094610213e-09,0.999999999999992,6.460010094610264e-09,11.68773098131841,0.1760866711275833,6.123769645778951e-11,1.000000001430575,1337.024407916536
55,unit,0.9845367581151597,0.1751781148433605,0.999999999999991,0.1760866775875967,11.68773098131841,0.1760866711275833,6.123769645778951e-11,1.000000001430575,1337.024407916536
56,unit,0.9845367581151597,-0.1751781148433605,0.999999999999991,-0.1760866775875967,11.68773098131841,0.1760866711275833,6.123769645778951e-11,1.000000001430575,1337.024407916536
57,unit,0.984536760378464,-0.1751781021231257,0.9999999999999907,-0.1760866646675766,11.68773098131841,0.1760866711275833,6.123769645778951e-11,1.000000001430575,1337.024407916536
58,unit,0.984536760378464,0.1751781021231257,0.9999999999999907,0.1760866646675766,11.68773098131841,0.1760866711275833,6.123769645778951e-11,1.000000001430575,1337.024407916536
59,unit,0.999999999999897,3.757330630597512e-07,0.9999999999999676,3.757330630597722e-07,11.68773098131841,0.1760866711275833,6.123769645778951e-11,1.000000001430575,1337.024407916536
60,unit,0.999999999999897,-3.757330630597512e-07,0.9999999999999676,-3.757330630597722e-07,11.68773098131841,0.1760866711275833,6.123769645778951e-11,1.000000001430575,1337.024407916536
61,unit,0.863685195882845,-0.5040316283823847,0.9999999999984933,-0.5282603890301549,11.68773098131841,0.1760866711275833,6.123769645778951e-11,1.000000001430575,1337.024407916536
62,unit,0.863685195882845,0.5040316283823847,0.9999999999984933,0.5282603890301549,11.68773098131841,0.1760866711275833,6.123769645778951e-11,1.000000001430575,1337.024407916536
63,unit,0.9386253901926361,-0.3449382218239315,0.999999999994667,-0.3521729665904827,11.68773098131841,0.1760866711275833,6.123769645778951e-11,1.000000001430575,1337.024407916536
64,unit,0.9386253901926361,0.3449382218239315,0.999999999994667,0.3521729665904827,11.68773098131841,0.1760866711275833,6.123769645778951e-11,1.000000001430575,1337.024407916536
65,unit,0.984536825038425,0.1751777386317022,0.9999999999844296,0.1760862954698988,11.68773098131841,0.1760866711275833,6.123769645778951e-11,1.000000001430575,1337.024407916536
66,unit,0.984536825038425,-0.1751777386317022,0.9999999999844296,-0.1760862954698988,11.68773098131841,0.1760866711275833,6.123769645778951e-11,1.000000001430575,1337.024407916536
67,unit,0.7620345164572859,-0.6475364049126385,0.999999999979737,-0.7043470601834038,11.68773098131841,0.1760866711275833,6.123769645778951e-11,1.000000001430575,1337.024407916536
68,unit,0.7620345164572859,0.6475364049126385,0.999999999979737,0.7043470601834038,11.68773098131841,0.1760866711275833,6.123769645778951e-11,1.000000001430575,1337.024407916536
69,unit,0.6368167907624531,-0.7710151587094459,0.9999999999783711,-0.8804337312034892,11.68773098131841,0.1760866711275833,6.123769645778951e-11,1.000000001430575,1337.024407916536
70,unit,0.6368167907624531,0.7710151587094459,0.9999999999783711,0.8804337312034892,11.68773098131841,0.1760866711275833,6.123769645778951e-11,1.000000001430575,1337.024407916536
