vertical_amplitude_nd,vertical_amplitude_km,orbit_period_nd,mapping_time_days,rotation_angle_rad,curve_residual_norm,stability_index,max_multiplier,min_multiplier,determinant,unit_multiplier_count
1e-05,3.844,2.691785117761035,11.68773098131841,0.1760866711275833,6.166349475820295e-11,1337.024407913538,2674.048441862272,0.0003739648034675901,1.000000001823925,36
1.5e-05,5.766,2.691785117761035,11.68773098131841,0.1760866711275833,2.614993810784407e-10,1337.024395301074,2674.048416637342,0.0003739648069134646,0.9999999980909012,36
2e-05,7.688000000000001,2.691785117761035,11.68773098131841,0.1760866711275833,7.739451194639481e-10,1337.024376491032,2674.048379017251,0.0003739648120793221,0.9999999981867747,36
3e-05,11.532,2.691785117761035,11.68773098131841,0.1760866711275833,3.736336468951889e-09,1337.024315434139,2674.048256903448,0.000373964829337956,1.000000001197982,36
