family,orbit_index,target_jacobi,target_mode_amplitude_nd,base_z0,base_jacobi,mapping_time_nd,mapping_time_days,rotation_angle_rad,frequency_ratio,jacobi,y_amplitude_km,z_amplitude_km,closure_error,jacobi_span,curve_residual,energy_residual,amplitude_residual,phase_residual,max_jacobian_condition
quasi_halo,0,3.1389,0.00025,0.05373378427885053,3.138900000006876,2.768881173038055,12.02248205333123,0.6381001436786238,9.846707244034228,3.1389,31980.99677381553,23285.78405904,1.018619598818213e-12,1.77635683940025e-15,1.339998362597837e-12,4.440892098500626e-16,-1.626303258728257e-19,6.030874584450618e-19,28038558165071.93
quasi_halo,1,3.1389,0.0005,0.05373378427885053,3.138900000006876,2.768892050369604,12.02252928270482,0.6380567006369553,9.847377671776265,3.1389,32069.84111932283,23389.23733044304,1.000916702874664e-12,3.552713678800501e-15,1.598583059508151e-12,4.440892098500626e-16,1.301042606982605e-18,1.219727444046192e-17,1241215162113.64
quasi_halo,2,3.1389,0.00075,0.05373378427885053,3.138900000006876,2.768910166157958,12.02260794145785,0.6379843460838601,9.848494474429769,3.1389,32188.78654844613,23498.93796151455,1.507488581088363e-12,1.643130076445232e-14,1.389696271862855e-12,4.440892098500626e-16,-1.084202172485504e-19,-1.680513367352532e-18,427835242879.5597
quasi_halo,3,3.1389,0.001,0.05373378427885053,3.138900000006876,2.768934921499718,12.02271542915178,0.6378854694962985,9.850021058076548,3.138899999999996,32364.47177799597,23612.86527046,6.418201661705909e-12,6.52811138479592e-14,6.598221200700891e-12,-4.440892098500626e-15,5.507747036226363e-17,-4.119968255444917e-18,12828085023.4651
quasi_vertical,0,3.1389,2.5e-05,0.1012452686057316,3.138900000000381,2.964565020924244,12.87214132085307,0.3862712977376372,16.26624950903612,3.1389,1503.412910395206,38754.95300842177,2.289621698666721e-12,1.77635683940025e-15,1.899857529318506e-12,4.440892098500626e-16,-1.034396635186952e-17,4.067875729188777e-18,23654202737739.41
quasi_vertical,1,3.1389,5e-05,0.1012452686057316,3.138900000000381,2.964564767206442,12.87214021921037,0.3862702141447742,16.26629514028396,3.138899999999996,1556.012577642292,38760.90714168997,4.081911011727135e-12,1.332267629550188e-15,3.589718117093704e-12,-3.108624468950438e-15,1.216251220830661e-15,2.235319947804099e-18,46219739344.70165
quasi_vertical,2,3.1389,7.499999999999999e-05,0.1012452686057316,3.138900000000381,2.964564344356032,12.87213838319389,0.3862684082095436,16.266371190706,3.1389,1608.587601701896,38768.0745424585,8.782613261788868e-13,1.77635683940025e-15,1.179612268442177e-12,4.440892098500626e-16,2.034234326125928e-17,2.094712478559885e-18,3966226155521.696
quasi_vertical,3,3.1389,0.0001,0.1012452686057316,3.138900000000381,2.964563752433574,12.87213581306658,0.3862658801891138,16.26647765032565,3.138899999999997,1661.119942611466,38776.50399556754,3.636896532732986e-12,6.661338147750939e-15,3.461291721906003e-12,-2.220446049250313e-15,5.714287550084851e-16,-1.863472483959461e-19,49639140956.33606
