index,classification,real,imag,magnitude,angle_rad,mapping_time_days,rotation_angle_rad,base_vertical_amplitude_nd,planar_mode_amplitude_nd,curve_residual_norm,determinant,stability_index
0,unstable,2512.80879841037,2231.518300340585,3360.637139312054,0.7261776290626762,12.02451447328446,0.1815444093369128,0.0001,1e-05,2.025472152207718e-10,0.9999999977062175,1680.318718437338
1,unstable,2512.80879841037,-2231.518300340585,3360.637139312054,-0.7261776290626762,12.02451447328446,0.1815444093369128,0.0001,1e-05,2.025472152207718e-10,0.9999999977062175,1680.318718437338
2,unstable,2874.411326490326,1741.160947286563,3360.637129803174,0.5446332280107382,12.02451447328446,0.1815444093369128,0.0001,1e-05,2.025472152207718e-10,0.9999999977062175,1680.318718437338
3,unstable,2874.411326490326,-1741.160947286563,3360.637129803174,-0.5446332280107382,12.02451447328446,0.1815444093369128,0.0001,1e-05,2.025472152207718e-10,0.9999999977062175,1680.318718437338
4,unstable,3360.637129803173,0,3360.637129803173,0,12.02451447328446,0.1815444093369128,0.0001,1e-05,2.025472152207718e-10,0.9999999977062175,1680.318718437338
5,unstable,3305.408501955584,-606.7590571317779,3360.637129803172,-0.1815444093369127,12.02451447328446,0.1815444093369128,0.0001,1e-05,2.025472152207718e-10,0.9999999977062175,1680.318718437338
6,unstable,3305.408501955584,606.7590571317779,3360.637129803172,0.1815444093369127,12.02451447328446,0.1815444093369128,0.0001,1e-05,2.025472152207718e-10,0.9999999977062175,1680.318718437338
7,unstable,3141.5378702333,1193.575187452265,3360.63712980317,0.3630888186738255,12.02451447328446,0.1815444093369128,0.0001,1e-05,2.025472152207718e-10,0.9999999977062175,1680.318718437338
8,unstable,3141.5378702333,-1193.575187452265,3360.63712980317,-0.3630888186738255,12.02451447328446,0.1815444093369128,0.0001,1e-05,2.025472152207718e-10,0.9999999977062175,1680.318718437338
9,unit,0.9835660389938481,-0.1805487384008355,1.000000000000091,-0.1815443297331775,12.02451447328446,0.1815444093369128,0.0001,1e-05,2.025472152207718e-10,0.9999999977062175,1680.318718437338
10,unit,0.9835660389938481,0.1805487384008355,1.000000000000091,0.1815443297331775,12.02451447328446,0.1815444093369128,0.0001,1e-05,2.025472152207718e-10,0.9999999977062175,1680.318718437338
