attempt_id,source_member,target_max_abs_z_km,target_amplitude_km,curve_samples,initial_step,final_step,converged,rotation_angle_rad,mapping_time_days,max_abs_z_km,mean_jacobi,map_residual_norm,curve_jacobi_span,one_map_jacobi_drift,phase_return_error,newton_iterations,condition_estimate,failure_reason,next_action
stage1_target_8500km_N41,4,8500,8500,41,812,812,True,1.44031951125422,14.74932760227518,8586.159713586843,2.922348143495091,7.682349942487058e-12,2.353672812205332e-14,2.531308496145357e-14,7.554385620528003e-12,5,38834967056.60814,,accepted into extended corrected family
stage1_target_9000km_N41,5,9000,9000,41,499.9999999998454,499.9999999998454,True,1.441419287721976,14.74932760227518,9102.136194902288,2.922329777313712,6.108828854478494e-12,2.002842336423782e-13,2.007283228522283e-13,6.878405200011531e-14,4,273732710.3114282,,accepted into extended corrected family
stage1_target_9500km_N41,6,9500,9500,41,499.9999999994379,499.9999999994379,True,1.442581566053174,14.74932760227518,9619.395383033627,2.922310285806469,8.436464871220041e-11,2.931876963430113e-12,2.932765141849814e-12,3.229087280263127e-12,4,116670034.1394803,,accepted into extended corrected family
stage1_target_10000km_N41,7,10000,10000,41,499.9999999896881,499.9999999896881,True,1.443804463949337,14.74932760227518,10134.48630541837,2.922289662015089,5.214132199755764e-14,1.615654277031808e-10,1.615676481492301e-10,2.939629506337654e-14,6,178698018023.5294,,accepted into extended corrected family
stage1_target_11000km_N41,8,11000,11000,41,1000.000000000002,1000.000000000002,False,1.446397667296895,14.74932760227518,11186.93296063565,2.92224414315515,0.0004227040797634044,0.000195390551757324,0.0001953905517599885,5.224247144813373e-06,32,2438751.000486135,failed residual/Jacobi audit thresholds,increase curve samples or switch to pseudo-arclength/rotation continuation
stage1_target_12000km_N41,8,12000,12000,41,2000.000000000002,2000.000000000002,False,1.449068412975873,14.74932760227518,12666.11236900283,2.922035789532619,0.01025722315499319,0.0008085234362318339,0.0008085234362336102,0.009187829339960306,32,857082.9699129266,failed residual/Jacobi audit thresholds,increase curve samples or switch to pseudo-arclength/rotation continuation
stage2_target_14000km_N41,8,14000,14000,41,4000.000000000002,4000.000000000002,False,1.452280715430533,14.74932760227518,14817.07492165114,2.92159430906631,0.02368746795354498,0.001547418108960308,0.001547418108961196,0.02135618316365676,32,121121.4594050727,failed residual/Jacobi audit thresholds,increase curve samples or switch to pseudo-arclength/rotation continuation
stage3_skipped_after_stage2_failure,8,20000,20000,41,10000,0,False,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,skipped because Stage 2 lower-bound correction failed,"resolve the 11,000-14,000 km bottleneck before Stage 3/4"
stage4_skipped_after_stage2_failure,8,31000,31000,41,21000,0,False,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,skipped because Stage 2 lower-bound correction failed,"resolve the 11,000-14,000 km bottleneck before Stage 3/4"
