family,orbit_index,correction_type,spectral_samples,target_frequency_ratio,rotation_angle_rad,target_jacobi,base_z0,base_jacobi,mapping_time_nd,mapping_time_days,jacobi,y_amplitude_km,z_amplitude_km,closure_error,jacobi_span,curve_residual,curve_jacobi_span,max_jacobian_condition
quasi_halo,0,FixedFrequencyEnergyCurveCorrection,15,9.441000000000001,0.6655211637728615,3.1182,0.05637375473976135,3.120095912460103,3.352624751324764,14.55709667025212,3.1182,47619.13768594489,33646.02769781894,1.113426998178205e-10,1.866511389891912e-10,1.113356562859535e-10,1.866493626323518e-10,102065.5243963911
quasi_halo,1,FixedFrequencyEnergyCurveCorrection,21,9.441000000000001,0.6655211637728615,3.114,0.05637375473976135,3.120095912460103,3.364347612953455,14.6079973354439,3.113999999999999,52197.45749716514,38584.14461655643,2.905881659702578e-11,1.978106567435134e-11,2.907254056611462e-11,1.978062158514149e-11,54299.04309816762
quasi_halo,2,FixedFrequencyEnergyCurveCorrection,21,9.441000000000001,0.6655211637728615,3.1098,0.05637375473976135,3.120095912460103,3.376746338810151,14.66183260311367,3.109799999999987,55517.63138473235,42073.27749955058,3.865767582025703e-10,3.482276689226182e-10,3.865698150961807e-10,3.482267807441985e-10,64707.53570455496
quasi_halo,3,FixedFrequencyEnergyCurveCorrection,21,9.441000000000001,0.6655211637728615,3.1056,0.05637375473976135,3.120095912460103,3.389863521803737,14.71878741167183,3.105599999999995,58345.41055891314,44973.93712231563,2.291523692222076e-09,2.280060140691376e-09,2.291522966749223e-09,2.280057920245326e-09,72919.72838922412
quasi_halo,4,FixedFrequencyEnergyCurveCorrection,27,9.441000000000001,0.6655211637728615,3.1014,0.05637375473976135,3.120095912460103,3.40374426424198,14.77905759533867,3.101399999999999,60928.51940941183,47513.26640058202,3.961484430679196e-10,6.360818538553303e-10,3.961485734947243e-10,6.360809656769106e-10,147750.0794431773
quasi_halo,5,FixedFrequencyEnergyCurveCorrection,27,9.441000000000001,0.6655211637728615,3.0972,0.05637375473976135,3.120095912460103,3.418436275397801,14.84285030777725,3.097199999999991,63294.00198438457,49828.9195879824,2.278289842527904e-09,3.434868833807059e-09,2.278286995298571e-09,3.4348661692718e-09,182534.7220587698
quasi_halo,6,FixedFrequencyEnergyCurveCorrection,33,9.441000000000001,0.6655211637728615,3.093,0.05637375473976135,3.120095912460103,3.433989953967349,14.91038438012623,3.093,65539.5605375515,51959.22358326914,7.396060723431819e-10,2.61239341270425e-09,7.39604064610397e-10,2.612391636347411e-09,221300.2798928196
quasi_halo,7,FixedFrequencyEnergyCurveCorrection,39,9.441000000000001,0.6655211637728615,3.0876,0.05637375473976135,3.120095912460103,3.455339508989786,15.00308414803365,3.087599999999976,68277.41467616499,54583.64838898067,2.238366514739847e-09,1.585136466530912e-10,2.238098422416939e-09,1.585118702962518e-10,277297.9670595406
quasi_halo,8,FixedFrequencyEnergyCurveCorrection,39,9.441000000000001,0.6655211637728615,3.0846,0.05637375473976135,3.120095912460103,3.467897651854912,15.05761160435402,3.084599999999999,69749.30082216577,55937.73572088959,4.238033451235739e-10,5.38084687917717e-10,4.238035166639673e-10,5.38084687917717e-10,311988.6148715306
quasi_halo,9,FixedFrequencyEnergyCurveCorrection,39,9.441000000000001,0.6655211637728615,3.0804,0.05637375473976135,3.120095912460103,3.486366193158873,15.13780201069583,3.0804,71765.87439859842,57759.53387135524,1.922537809468639e-09,2.676139754242968e-09,1.922538081393524e-09,2.676139310153758e-09,364303.0535759412
quasi_halo,10,FixedFrequencyEnergyCurveCorrection,45,9.441000000000001,0.6655211637728615,3.0762,0.05637375473976135,3.120095912460103,3.505925254907794,15.22272745680964,3.0762,73737.8700172689,59513.73889333032,1.025476873484451e-09,1.95569826999531e-09,1.025476324165805e-09,1.955694717281631e-09,1105647.737781782
quasi_halo,11,FixedFrequencyEnergyCurveCorrection,51,9.441000000000001,0.6655211637728615,3.072,0.05637375473976135,3.120095912460103,3.52663831513989,15.3126635643374,3.07199999999983,75682.01916097167,61206.84563584301,1.184346055292384e-09,2.602931647999185e-09,1.184287134284225e-09,2.602928983463926e-09,3894736.527132761
quasi_halo,12,FixedFrequencyEnergyCurveCorrection,57,9.441000000000001,0.6655211637728615,3.0678,0.05637375473976135,3.120095912460103,3.548570670902135,15.40789385305707,3.0678,77616.0320375685,62797.15213889201,1.629429456897389e-10,1.850244402135104e-10,1.62940495381814e-10,1.850213315890414e-10,4871574.231528889
quasi_halo,13,FixedFrequencyEnergyCurveCorrection,57,9.441000000000001,0.6655211637728615,3.0636,0.05637375473976135,3.120095912460103,3.571788689972584,15.50870649186096,3.0636,79540.88197952119,64381.143208127,6.704383505896286e-10,8.278373542225381e-10,6.704383075632783e-10,8.278364660441184e-10,5338721.610050786
quasi_halo,14,FixedFrequencyEnergyCurveCorrection,57,9.441000000000001,0.6655211637728615,3.0594,0.05637375473976135,3.120095912460103,3.596358673386506,15.61538935984421,3.05939999999999,81466.19453603844,65927.52538680659,2.481966967022907e-09,3.37400019034817e-09,2.481966464123616e-09,3.373996637634491e-09,5811929.131908444
quasi_halo,15,FixedFrequencyEnergyCurveCorrection,75,9.441000000000001,0.6655211637728615,3.0552,0.05637375473976135,3.120095912460103,3.622345170982528,15.72822273240614,3.055199999999836,83415.77677473998,67506.05403001339,9.752615704669908e-10,1.891136136578098e-10,9.748089062365964e-10,1.891091727657113e-10,6269643.094533812
quasi_halo,16,FixedFrequencyEnergyCurveCorrection,75,9.441000000000001,0.6655211637728615,3.051,0.05637375473976135,3.120095912460103,3.649808531220635,15.84746864256,3.051000000000001,85366.99672399666,69000.05093834663,5.194188539079245e-10,8.389551275911344e-10,5.194190796510796e-10,8.389511307882458e-10,6692981.589636412
quasi_halo,17,FixedFrequencyEnergyCurveCorrection,75,9.441000000000001,0.6655211637728615,3.046800000000001,0.05637375473976135,3.120095912460103,3.678801384860003,15.97335561306213,3.046799999999998,87341.56640337914,70472.98698099465,2.160706300546319e-09,3.386981362041297e-09,2.160705920264779e-09,3.386978253416828e-09,7048916.983198006
quasi_halo,18,FixedFrequencyEnergyCurveCorrection,93,9.441000000000001,0.6655211637728615,3.0426,0.05637375473976135,3.120095912460103,3.709363658120089,16.10605700355742,3.042599999999863,89339.01090992398,71924.86615835367,9.380938107217058e-10,1.851645947681391e-09,9.38503104156572e-10,1.851626851845367e-09,7360133.208941462
quasi_halo,19,FixedFrequencyEnergyCurveCorrection,105,9.441000000000001,0.6655211637728615,3.0384,0.05637375473976135,3.120095912460103,3.7415155923959,16.245660702183,3.0384,91404.22111395701,73375.06900062565,3.903193940470595e-10,1.722609166421307e-09,3.902687582829591e-10,1.722200604348245e-09,7759976.433258279
quasi_halo,20,FixedFrequencyEnergyCurveCorrection,105,9.441000000000001,0.6655211637728615,3.0364,0.05637375473976135,3.120095912460103,3.757383566513671,16.31455944580236,3.036399999999973,92398.62444250446,74060.25260368186,7.807627313167468e-10,3.502673706634596e-09,7.806522209640626e-10,3.501722023457887e-09,8074364.636200504
quasi_halo,21,FixedFrequencyEnergyCurveCorrection,117,9.441000000000001,0.6655211637728615,3.0342,0.05637375473976135,3.120095912460103,3.775248147732928,16.39212745745638,3.034199999999971,93505.62560736708,74805.84994053,1.756918080133127e-09,2.913742580545886e-09,1.756922412852229e-09,2.913704388873839e-09,7942947.379877123
quasi_halo,22,FixedFrequencyEnergyCurveCorrection,123,9.441000000000001,0.6655211637728615,3.03,0.05637375473976135,3.120095912460103,3.810510180049718,16.54523520177587,3.03,95655.95960826775,76241.75387921465,6.193281247482106e-10,1.634010260431751e-09,6.193311631058549e-10,1.633904123110597e-09,8801362.627080142
quasi_halo,23,FixedFrequencyEnergyCurveCorrection,141,9.441000000000001,0.6655211637728615,3.0258,0.05637375473976135,3.120095912460103,3.847192127687715,16.70450821842006,3.0258,97884.47550990271,77677.55396479461,3.681553690525304e-10,1.091088552840347e-09,3.682217075760417e-10,1.090861623254114e-09,8913804.431562357
quasi_halo,24,FixedFrequencyEnergyCurveCorrection,153,9.441000000000001,0.6655211637728615,3.0216,0.05637375473976135,3.120095912460103,3.885107057489472,16.86913484361929,3.021599999999732,100173.7468094831,79120.58899139534,1.555874896281453e-09,1.780956715435877e-09,1.555573058439909e-09,1.780955383168248e-09,8722329.139038691
quasi_halo,25,FixedFrequencyEnergyCurveCorrection,159,9.441000000000001,0.6655211637728615,3.0174,0.05637375473976135,3.120095912460103,3.92397247269403,17.03788847643748,3.017399999999921,102549.8615557451,80561.29386649096,4.448745086815314e-09,4.397242125975254e-09,4.448663334404164e-09,4.396973007914085e-09,8236757.671730489
quasi_halo,26,FixedFrequencyEnergyCurveCorrection,183,9.441000000000001,0.6655211637728615,3.0132,0.05637375473976135,3.120095912460103,3.963400760666029,17.2090861028119,3.013200000000002,105010.7856813095,82009.01206562779,4.660344164853755e-09,3.599203601822865e-09,4.660398082091189e-09,3.598405573512764e-09,9709117.99058708
quasi_halo,27,FixedFrequencyEnergyCurveCorrection,189,9.441000000000001,0.6655211637728615,3.009,0.05637375473976135,3.120095912460103,4.002911345454732,17.38064106196444,3.008999999999834,107561.3318931609,83457.96296691101,4.012455258850202e-09,2.085511763283421e-09,4.0121649821558e-09,2.083842431943594e-09,14143147.95106724
quasi_halo,28,FixedFrequencyEnergyCurveCorrection,213,9.441000000000001,0.6655211637728615,3.0048,0.05637375473976135,3.120095912460103,4.041978096983473,17.55026889710224,3.004799999999987,110208.0527023116,84913.91279766925,1.624724377374181e-08,1.492182732931724e-08,1.624723876625518e-08,1.492177981177178e-08,15195215.27153075
quasi_halo,29,FixedFrequencyEnergyCurveCorrection,213,9.441000000000001,0.6655211637728615,3.0011,0.05637375473976135,3.120095912460103,4.075634862993815,17.69640657511914,3.001099999999731,112627.1652055265,86196.90258598344,6.981063712786814e-08,4.624201288550012e-08,6.981063359853784e-08,4.624201155323249e-08,15538539.02278257
quasi_vertical,0,FreeMappingTimeCurveCorrection,9,9.441000000000001,0.6655211637728615,,0.1957155227661133,3.043770929373923,3.89086147455841,16.89412052253261,3.043768969700532,10845.96286509736,74831.211264072,5.853407504949532e-13,2.664535259100376e-15,8.766329159809882e-13,8.881784197001252e-16,6822262871801.495
quasi_vertical,1,FreeMappingTimeCurveCorrection,9,9.441000000000001,0.6655211637728615,,0.1957155227661133,3.043770929373923,3.890891210979998,16.89424963807515,3.043763146203658,10979.28950566144,74862.92832267002,3.590397465779178e-12,7.993605777301127e-15,3.432705984400277e-12,5.773159728050814e-15,81196111940.23625
quasi_vertical,2,FixedFrequencyPseudoArclengthCorrection,9,9.441000000000001,0.6655211637728615,,0.1957155227661133,3.043770929373923,3.89094064684297,16.89446428859218,3.043753465628644,11112.92346434041,74888.59758296364,2.223823115406464e-09,4.597211500367848e-12,2.223816175605985e-09,4.596767411157998e-12,10669595.14266713
quasi_vertical,3,FixedFrequencyPseudoArclengthCorrection,9,9.441000000000001,0.6655211637728615,,0.1957155227661133,3.043770929373923,3.891026111208867,16.8948353748689,3.043736732492078,11273.55921755388,74920.82725196038,2.683719368736641e-10,5.666578317686799e-13,2.681493561232979e-10,5.653255641391297e-13,7660700.170303108
quasi_vertical,4,FixedFrequencyPseudoArclengthCorrection,9,9.441000000000001,0.6655211637728615,,0.1957155227661133,3.043770929373923,3.891166244639322,16.89544383422394,3.043709302343454,11466.65293266806,74961.53956656325,2.57297330572574e-09,1.66378022470326e-11,2.572919708467901e-09,1.663646997940305e-11,5712593.21241148
quasi_vertical,5,FixedFrequencyPseudoArclengthCorrection,9,9.441000000000001,0.6655211637728615,,0.1957155227661133,3.043770929373923,3.891388948149579,16.89641081286547,3.043665727108277,11698.73204575626,75013.32491446503,8.188244073418371e-12,1.239452984691525e-12,7.522013221564418e-12,1.237232538642274e-12,4414501.43690907
