gate_id,route_h_member,phase_index,time_of_flight,time_of_flight_days,uncorrected_position_defect,corrected_position_defect,velocity_delta_norm,delta_v_m_s,objective,rank,nfev,optimizer_success,integration_success,optimization_acceptance,threshold,evidence_artifact,notes
C5-OPTIMIZED-TRANSFER,54,20,0.06,0.26052,1.617979757292655e-05,1.348688528310543e-12,0.0002686507125195392,0.2752756609977451,0.2752756609977451,17,6,true,true,true,corrected_position_defect <= 1e-09; delta_v_m_s <= 1.0,data/computed/chapter3_fixed_mapping_cache_accepted_family.csv;src/qp_orbits/bcr4bp.py,Grid-searched Route H/BCR4BP short transfer source-layer optimization.
C5-OPTIMIZED-TRANSFER,54,20,0.07000000000000001,0.30394,2.203154782954282e-05,3.396073053871028e-12,0.000313118119796149,0.320839638163949,0.320839638163949,22,6,true,true,true,corrected_position_defect <= 1e-09; delta_v_m_s <= 1.0,data/computed/chapter3_fixed_mapping_cache_accepted_family.csv;src/qp_orbits/bcr4bp.py,Grid-searched Route H/BCR4BP short transfer source-layer optimization.
C5-OPTIMIZED-TRANSFER,54,30,0.03,0.13026,4.047841942802491e-06,1.848626822932156e-14,0.0001348023541072055,0.1381265911521237,0.1381265911521237,3,6,true,true,true,corrected_position_defect <= 1e-09; delta_v_m_s <= 1.0,data/computed/chapter3_fixed_mapping_cache_accepted_family.csv;src/qp_orbits/bcr4bp.py,Grid-searched Route H/BCR4BP short transfer source-layer optimization.
C5-OPTIMIZED-TRANSFER,54,30,0.04,0.17368,7.196913493064812e-06,1.217860229255524e-13,0.0001796226373289455,0.1840521462130404,0.1840521462130404,8,6,true,true,true,corrected_position_defect <= 1e-09; delta_v_m_s <= 1.0,data/computed/chapter3_fixed_mapping_cache_accepted_family.csv;src/qp_orbits/bcr4bp.py,Grid-searched Route H/BCR4BP short transfer source-layer optimization.
C5-OPTIMIZED-TRANSFER,54,30,0.05,0.2171,1.124746205163484e-05,4.813710641685912e-13,0.0002243588180628179,0.2298915248118806,0.2298915248118806,13,6,true,true,true,corrected_position_defect <= 1e-09; delta_v_m_s <= 1.0,data/computed/chapter3_fixed_mapping_cache_accepted_family.csv;src/qp_orbits/bcr4bp.py,Grid-searched Route H/BCR4BP short transfer source-layer optimization.
C5-OPTIMIZED-TRANSFER,54,30,0.06,0.26052,1.620127398560717e-05,1.437965072502955e-12,0.000268994340258586,0.2756277626248584,0.2756277626248584,18,6,true,true,true,corrected_position_defect <= 1e-09; delta_v_m_s <= 1.0,data/computed/chapter3_fixed_mapping_cache_accepted_family.csv;src/qp_orbits/bcr4bp.py,Grid-searched Route H/BCR4BP short transfer source-layer optimization.
C5-OPTIMIZED-TRANSFER,54,30,0.07000000000000001,0.30394,2.20607150977401e-05,3.605880029505462e-12,0.000313512578200912,0.3212438239451401,0.3212438239451401,23,6,true,true,true,corrected_position_defect <= 1e-09; delta_v_m_s <= 1.0,data/computed/chapter3_fixed_mapping_cache_accepted_family.csv;src/qp_orbits/bcr4bp.py,Grid-searched Route H/BCR4BP short transfer source-layer optimization.
C5-OPTIMIZED-TRANSFER,54,40,0.03,0.13026,4.061533206641043e-06,2.398035252591194e-14,0.0001352613244182549,0.1385968797084709,0.1385968797084709,4,6,true,true,true,corrected_position_defect <= 1e-09; delta_v_m_s <= 1.0,data/computed/chapter3_fixed_mapping_cache_accepted_family.csv;src/qp_orbits/bcr4bp.py,Grid-searched Route H/BCR4BP short transfer source-layer optimization.
C5-OPTIMIZED-TRANSFER,54,40,0.04,0.17368,7.221204584678363e-06,1.10565737910326e-13,0.0001802359601154767,0.1846805935895016,0.1846805935895016,9,6,true,true,true,corrected_position_defect <= 1e-09; delta_v_m_s <= 1.0,data/computed/chapter3_fixed_mapping_cache_accepted_family.csv;src/qp_orbits/bcr4bp.py,Grid-searched Route H/BCR4BP short transfer source-layer optimization.
C5-OPTIMIZED-TRANSFER,54,40,0.05,0.2171,1.128532270508679e-05,4.526782802127163e-13,0.0002251276118380474,0.2306792771042995,0.2306792771042995,14,6,true,true,true,corrected_position_defect <= 1e-09; delta_v_m_s <= 1.0,data/computed/chapter3_fixed_mapping_cache_accepted_family.csv;src/qp_orbits/bcr4bp.py,Grid-searched Route H/BCR4BP short transfer source-layer optimization.
C5-OPTIMIZED-TRANSFER,54,40,0.06,0.26052,1.625563566368964e-05,1.406924483694059e-12,0.0002699199522024413,0.2765762002347294,0.2765762002347294,19,6,true,true,true,corrected_position_defect <= 1e-09; delta_v_m_s <= 1.0,data/computed/chapter3_fixed_mapping_cache_accepted_family.csv;src/qp_orbits/bcr4bp.py,Grid-searched Route H/BCR4BP short transfer source-layer optimization.
C5-OPTIMIZED-TRANSFER,54,40,0.07000000000000001,0.30394,2.213446812333895e-05,3.581541823660921e-12,0.0003145965569622366,0.3223545337111134,0.3223545337111134,24,6,true,true,true,corrected_position_defect <= 1e-09; delta_v_m_s <= 1.0,data/computed/chapter3_fixed_mapping_cache_accepted_family.csv;src/qp_orbits/bcr4bp.py,Grid-searched Route H/BCR4BP short transfer source-layer optimization.
