target_jacobi,curve_samples,mapping_time_days,rotation_angle_rad,mean_initial_jacobi,target_jacobi_error,initial_jacobi_span,max_endpoint_map_residual,max_endpoint_jacobi_drift,mean_endpoint_jacobi_drift,status
2.9225,21,14.749327602275182,1.4312317226704832,2.922496961073729,3.0389262710706078e-06,1.8207657603852567e-14,6.869099677629938e-13,2.220446049250313e-15,5.921189464667501e-16,pass
2.9221,57,14.749327602275182,1.4548474691039088,2.922099999989426,1.0573764086529991e-11,8.813838547894193e-12,4.5760539717225063e-10,2.220446049250313e-15,8.258501095457305e-16,pass
2.9215,81,14.749327602275182,1.4882206982789679,2.9214999999999085,9.14823772291129e-14,1.4452528063202408e-10,7.522312592470572e-11,2.220446049250313e-15,6.304970263303359e-16,pass
2.9212,105,14.749327602275182,1.504987559546691,2.9211999999914755,8.524292383071952e-12,3.9581182775805246e-10,8.439372758550573e-10,2.220446049250313e-15,6.555602621596163e-16,pass
