curve_index,time_index,time_nd,time_days,x,y,z,xdot,ydot,zdot,jacobi,curve_jacobi_span,moon_distance_nd,perturbation_sign,perturbation_scale,duration_periods,eigenvalue_abs
5,2,0.05793617692174936,0.2515588801942357,0.8369239285040283,-1.665810997335166e-05,9.905679372930824e-05,-1.095870999031756e-05,-7.378046541960124e-05,-2.982065349721852e-05,3.188341060505466,1.820765760385257e-14,0.1509255193125773,-1,1e-07,2.5,3360.637129803173
6,2,0.05793617692174936,0.2515588801942357,0.8369188785307434,-3.308212416805492e-05,9.905841503470006e-05,-2.164923791025461e-05,-3.149199446522924e-05,-2.982402853440088e-05,3.18834106050541,1.820765760385257e-14,0.1509305719921327,-1,1e-07,2.5,3360.637129803173
7,2,0.05793617692174936,0.2515588801942357,0.836912065878602,-3.401948659177316e-05,9.906126021018365e-05,-2.226338159455575e-05,2.554602568290827e-05,-2.982336723999139e-05,3.188341060505336,2.087219286295294e-14,0.1509373848528703,-1,1e-07,2.5,3360.637129803173
8,2,0.05793617692174936,0.2515588801942357,0.8369066781561736,-1.903183556678807e-05,9.906400131378792e-05,-1.250915794881336e-05,7.064499733948241e-05,-2.981900833086007e-05,3.188341060505325,1.687538997430238e-14,0.1509427699419721,-1,1e-07,2.5,3360.637129803173
0,3,0.08690426538262404,0.3773383202913536,0.8369053480138139,7.25075767301096e-06,9.798847970899033e-05,4.588724257522734e-06,8.175490135528122e-05,-4.45084127705081e-05,3.188341060505325,1.820765760385257e-14,0.1509440983563373,-1,1e-07,2.5,3360.637129803173
1,3,0.08690426538262404,0.3773383202913536,0.8369089289635727,2.805979290289023e-05,9.798791781335358e-05,1.813473309583884e-05,5.178206305498322e-05,-4.450407896736182e-05,3.188341060505348,1.953992523340276e-14,0.1509405198409726,-1,1e-07,2.5,3360.637129803173
2,3,0.08690426538262404,0.3773383202913536,0.8369154015845163,3.574703982559059e-05,9.79855535733054e-05,2.313494279492249e-05,-2.403208289710088e-06,-4.450343290097346e-05,3.188341060505431,1.687538997430238e-14,0.1509340488448481,-1,1e-07,2.5,3360.637129803173
3,3,0.08690426538262404,0.3773383202913536,0.8369217366224374,2.671532306614768e-05,9.798250469564888e-05,1.725345462324054e-05,-5.544790779376975e-05,-4.450679570671737e-05,3.188341060505473,1.643130076445232e-14,0.1509277119375445,-1,1e-07,2.5,3360.637129803173
4,3,0.08690426538262404,0.3773383202913536,0.8369249705288719,5.19049081778006e-06,9.798019020031247e-05,3.245580218685455e-06,-8.253036619096474e-05,-4.451262041125707e-05,3.188341060505473,1.865174681370263e-14,0.1509244757551377,-1,1e-07,2.5,3360.637129803173
5,3,0.08690426538262404,0.3773383202913536,0.8369235909654829,-1.875558253117174e-05,9.797967894570457e-05,-1.233676916815456e-05,-7.097685024387794e-05,-4.451817210740098e-05,3.188341060505466,1.820765760385257e-14,0.1509258563940301,-1,1e-07,2.5,3360.637129803173
6,3,0.08690426538262404,0.3773383202913536,0.8369182430805242,-3.391797656297844e-05,9.798121282898088e-05,-2.220666731104949e-05,-2.619438445171811e-05,-4.45208232515888e-05,3.18834106050541,1.820765760385257e-14,0.1509312069245821,-1,1e-07,2.5,3360.637129803173
7,3,0.08690426538262404,0.3773383202913536,0.8369114282218079,-3.32021759722866e-05,9.798408922059874e-05,-2.174480213296307e-05,3.086093636195732e-05,-4.451933234918167e-05,3.188341060505336,2.087219286295294e-14,0.1509380216244041,-1,1e-07,2.5,3360.637129803173
8,3,0.08690426538262404,0.3773383202913536,0.8369063351645321,-1.694334491234295e-05,9.798696471719112e-05,-1.116265594204221e-05,7.349268641318772e-05,-4.451442671552908e-05,3.188341060505324,1.687538997430238e-14,0.1509431119816389,-1,1e-07,2.5,3360.637129803173
0,4,0.1158723538434987,0.5031177603884713,0.8369055029628268,9.600779840533969e-06,9.648855029215089e-05,6.104904673710559e-06,8.043243481555341e-05,-5.901167894176187e-05,3.188341060505325,1.820765760385257e-14,0.1509439425722778,-1,1e-07,2.5,3360.637129803173
1,4,0.1158723538434987,0.5031177603884713,0.8369094678261333,2.949466205494176e-05,9.648810527723046e-05,1.905475454827909e-05,4.724582011689795e-05,-5.90079558980084e-05,3.188341060505348,1.953992523340276e-14,0.1509399802858938,-1,1e-07,2.5,3360.637129803173
2,4,0.1158723538434987,0.5031177603884713,0.8369160703867069,3.559588943174021e-05,9.648574764293393e-05,2.302235886522146e-05,-8.028333433199669e-06,-5.900814695372022e-05,3.188341060505431,1.687538997430238e-14,0.150933379040876,-1,1e-07,2.5,3360.637129803173
3,4,0.1158723538434987,0.5031177603884713,0.8369222207038913,2.504938034857883e-05,9.648259143073005e-05,1.615531829965195e-05,-5.952729374738142e-05,-5.901218350958245e-05,3.188341060505473,1.643130076445232e-14,0.1509272266042133,-1,1e-07,2.5,3360.637129803173
4,4,0.1158723538434987,0.5031177603884713,0.8369250417513933,2.789816368707865e-06,9.648010513883607e-05,1.669654469989022e-06,-8.315247368184668e-05,-5.901820168612179e-05,3.188341060505473,1.865174681370263e-14,0.1509244035027612,-1,1e-07,2.5,3360.637129803173
5,4,0.1158723538434987,0.5031177603884713,0.8369232142917042,-2.07670964399666e-05,9.647943832251189e-05,-1.365964704976226e-05,-6.784800738846575e-05,-5.902337349850049e-05,3.188341060505466,1.820765760385257e-14,0.1509262323646179,-1,1e-07,2.5,3360.637129803173
6,4,0.1158723538434987,0.5031177603884713,0.8369175929300757,-3.459856295531865e-05,9.648090652179365e-05,-2.266378766453321e-05,-2.077627689610289e-05,-5.902524992571424e-05,3.18834106050541,1.820765760385257e-14,0.1509318562628507,-1,1e-07,2.5,3360.637129803173
7,4,0.1158723538434987,0.5031177603884713,0.8369108070167477,-3.223287692460563e-05,9.648383782927657e-05,-2.112797310326713e-05,3.603554146058421e-05,-5.902295479229954e-05,3.188341060505336,2.087219286295294e-14,0.1509386416527578,-1,1e-07,2.5,3360.637129803173
8,4,0.1158723538434987,0.5031177603884713,0.8369060319163231,-1.477718702244152e-05,9.648686228194697e-05,-9.766269897029228e-06,7.600522278054457e-05,-5.901759192026758e-05,3.188341060505325,1.687538997430238e-14,0.150943414035817,-1,1e-07,2.5,3360.637129803173
0,5,0.1448404423043734,0.6288972004855893,0.8369057014268757,1.190716282084007e-05,9.457202888950655e-05,7.591907827563344e-06,7.874314199451699e-05,-7.326019255111844e-05,3.188341060505325,1.820765760385257e-14,0.150943743059647,-1,1e-07,2.5,3360.637129803173
1,5,0.1448404423043734,0.6288972004855893,0.8369100320695885,3.079495726274151e-05,9.457168200727262e-05,1.988638678550255e-05,4.249442498953653e-05,-7.325715121850563e-05,3.188341060505347,1.953992523340276e-14,0.150939415089344,-1,1e-07,2.5,3360.637129803173
2,5,0.1448404423043734,0.6288972004855893,0.8369167343836416,3.528227101452872e-05,9.456930670884892e-05,2.280329446291912e-05,-1.361596069691224e-05,-7.325817829277506e-05,3.188341060505432,1.687538997430238e-14,0.1509327137575142,-1,1e-07,2.5,3360.637129803173
3,5,0.1448404423043734,0.6288972004855893,0.8369226718749506,2.326917501132818e-05,9.456602467211666e-05,1.498212422477408e-05,-6.333375528216138e-05,-7.326281578190584e-05,3.188341060505473,1.643130076445232e-14,0.1509267739352599,-1,1e-07,2.5,3360.637129803173
4,5,0.1448404423043734,0.6288972004855893,0.8369250671765496,3.76633288372622e-07,9.456336257533096e-05,8.485236289674644e-08,-8.33936443679539e-05,-7.326891682000066e-05,3.188341060505472,1.865174681370263e-14,0.1509243768391675,-1,1e-07,2.5,3360.637129803173
5,5,0.1448404423043734,0.6288972004855893,0.8369228001683231,-2.268343354525735e-05,9.456255261830259e-05,-1.492137409537003e-05,-6.440819939325715e-05,-7.327361222199813e-05,3.188341060505467,1.820765760385257e-14,0.1509266455505683,-1,1e-07,2.5,3360.637129803173
6,5,0.1448404423043734,0.6288972004855893,0.836916931015548,-3.512074970279315e-05,9.456397814684479e-05,-2.301858016592743e-05,-1.52623976840365e-05,-7.327467684941425e-05,3.188341060505409,1.820765760385257e-14,0.150932517084642,-1,1e-07,2.5,3360.637129803173
7,5,0.1448404423043734,0.6288972004855893,0.8369102050687481,-3.111599747561863e-05,9.456698712654571e-05,-2.041578570770201e-05,4.10462316821123e-05,-7.327161714367424e-05,3.188341060505336,2.087219286295294e-14,0.1509392421531211,-1,1e-07,2.5,3360.637129803173
8,5,0.1448404423043734,0.6288972004855893,0.8369057697635477,-1.254324010416124e-05,9.457017238416284e-05,-8.326461463464042e-06,7.817116585389614e-05,-7.326589466338035e-05,3.188341060505324,1.687538997430238e-14,0.1509436747733426,-1,1e-07,2.5,3360.637129803173
0,6,0.1738085307652481,0.7546766405827071,0.836905942460624,1.415938880574877e-05,9.224718911586021e-05,9.042843411459497e-06,7.669478735996338e-05,-8.719244145433618e-05,3.188341060505325,1.820765760385257e-14,0.1509435007817164,-1,1e-07,2.5,3360.637129803173
1,6,0.1738085307652481,0.7546766405827071,0.8369106190761958,3.195475889966816e-05,9.224691973571643e-05,2.062574203425767e-05,3.754963835550329e-05,-8.719014066350504e-05,3.188341060505348,1.953992523340276e-14,0.1509388268852544,-1,1e-07,2.5,3360.637129803173
2,6,0.1738085307652481,0.7546766405827071,0.8369173905029448,3.480764195908449e-05,9.224450275099117e-05,2.247866762911803e-05,-1.914050371815958e-05,-8.71919877832513e-05,3.188341060505432,1.687538997430238e-14,0.1509320560894084,-1,1e-07,2.5,3360.637129803173
3,6,0.1738085307652481,0.7546766405827071,0.8369230880369563,2.138286895426908e-05,9.224107866703605e-05,1.37391460929502e-05,-6.684984589502206e-05,-8.719714271780418e-05,3.188341060505473,1.643130076445232e-14,0.1509263560554704,-1,1e-07,2.5,3360.637129803173
4,6,0.1738085307652481,0.7546766405827071,0.8369250466507493,-2.038002593813654e-06,9.223823998708375e-05,-1.501675879538563e-06,-8.32527315100827e-05,-8.720321455047251e-05,3.188341060505473,1.865174681370263e-14,0.1509243959393326,-1,1e-07,2.5,3360.637129803173
5,6,0.1738085307652481,0.7546766405827071,0.8369223504497336,-2.449580958076357e-05,9.223730198801522e-05,-1.61162728662124e-05,-6.067310847888342e-05,-8.720734547355704e-05,3.188341060505466,1.820765760385257e-14,0.1509270941133742,-1,1e-07,2.5,3360.637129803173
6,6,0.1738085307652481,0.7546766405827071,0.8369162603246335,-3.548212601057249e-05,9.223870872602308e-05,-2.326950667933692e-05,-9.677908268845968e-06,-8.720757561702408e-05,3.18834106050541,1.820765760385257e-14,0.1509331864209916,-1,1e-07,2.5,3360.637129803173
7,6,0.1738085307652481,0.7546766405827071,0.8369096250928383,-2.985661894323087e-05,9.224181678680288e-05,-1.961158088525896e-05,4.587014912000988e-05,-8.720380457526955e-05,3.188341060505336,2.087219286295294e-14,0.1509398204356807,-1,1e-07,2.5,3360.637129803173
8,6,0.1738085307652481,0.7546766405827071,0.8369055498678816,-1.025169092449822e-05,9.224517177287993e-05,-6.849904601063469e-06,7.998066099987848e-05,-8.71978265283003e-05,3.188341060505325,1.687538997430238e-14,0.1509438930571689,-1,1e-07,2.5,3360.637129803173
0,7,0.2027766192261228,0.8804560806798249,0.8369062249212443,1.634718880738696e-05,8.95240673489117e-05,1.045097161992158e-05,7.429677894434787e-05,-0.0001007482777922568,3.188341060505325,1.820765760385257e-14,0.1509432169025935,-1,1e-07,2.5,3360.637129803173
1,7,0.2027766192261228,0.8804560806798249,0.8369112261214584,3.296879079143858e-05,8.952385332450818e-05,2.126934014242396e-05,3.243410763467651e-05,-0.0001007467632071447,3.188341060505348,1.953992523340276e-14,0.150938218418546,-1,1e-07,2.5,3360.637129803173
2,7,0.2027766192261228,0.8804560806798249,0.8369180357056227,3.417419698321213e-05,8.952137130628657e-05,2.204986387010315e-05,-2.457666159888425e-05,-0.0001007493998128483,3.188341060505432,1.687538997430238e-14,0.1509314091023868,-1,1e-07,2.5,3360.637129803173
3,7,0.2027766192261228,0.8804560806798249,0.8369234672484763,1.939911046415447e-05,8.95177915077639e-05,1.243196102823815e-05,-7.005944390297918e-05,-0.0001007549795171761,3.188341060505473,1.643130076445232e-14,0.1509259749361917,-1,1e-07,2.5,3360.637129803173
4,7,0.2027766192261228,0.8804560806798249,0.8369249802275113,-4.443027493659191e-06,8.951477870981111e-05,-3.082786990377853e-06,-8.273033273016605e-05,-0.0001007609106114505,3.188341060505472,1.865174681370263e-14,0.1509244607743125,-1,1e-07,2.5,3360.637129803173
5,7,0.2027766192261228,0.8804560806798249,0.8369218671502298,-2.619591426077731e-05,8.951373017696651e-05,-1.723898551147718e-05,-5.665976415350707e-05,-0.0001007643990082471,3.188341060505466,1.820765760385257e-14,0.1509275760583876,-1,1e-07,2.5,3360.637129803173
6,7,0.2027766192261228,0.8804560806798249,0.836915583882512,-3.568101487744619e-05,8.95151424480463e-05,-2.341551841756325e-05,-4.048289975032213e-06,-0.0001007637867840461,3.18834106050541,1.820765760385257e-14,0.1509338612700019,-1,1e-07,2.5,3360.637129803173
7,7,0.2027766192261228,0.8804560806798249,0.8369090697009155,-2.846047263899784e-05,8.951836927107957e-05,-1.871913565578302e-05,5.048529236267959e-05,-0.0001007593702752632,3.188341060505336,2.087219286295294e-14,0.1509403739180147,-1,1e-07,2.5,3360.637129803173
8,7,0.2027766192261228,0.8804560806798249,0.8369053731949424,-7.912988189239289e-06,8.952189982455067e-05,-5.343456561494508e-06,8.142548521091561e-05,-0.0001007532452685041,3.188341060505324,1.687538997430238e-14,0.1509440679496703,-1,1e-07,2.5,3360.637129803173
0,8,0.2317447076869974,1.006235520776943,0.8369065474732048,1.846058967518638e-05,8.641441943433141e-05,1.180973245350745e-05,7.156012611633436e-05,-0.0001138691774952538,3.188341060505325,1.820765760385257e-14,0.1509428927820721,-1,1e-07,2.5,3360.637129803173
1,8,0.2317447076869974,1.006235520776943,0.836911850386145,3.383244442415788e-05,8.641423749732342e-05,2.181412285584901e-05,2.717126424549759e-05,-0.0001138684808010712,3.188341060505347,1.953992523340276e-14,0.1509375925327619,-1,1e-07,2.5,3360.637129803173
2,8,0.2317447076869974,1.006235520776943,0.8369186669994939,3.338485819941291e-05,8.641166818869434e-05,2.151872815414536e-05,-2.989953383535311e-05,-0.0001138718622889594,3.188341060505432,1.687538997430238e-14,0.1509307758195638,-1,1e-07,2.5,3360.637129803173
3,8,0.2317447076869974,1.006235520776943,0.8369238077337076,1.732699476453034e-05,8.640792180627368e-05,1.106642253474313e-05,-7.294782544393973e-05,-0.0001138777665461761,3.188341060505473,1.643130076445232e-14,0.1509256323864078,-1,1e-07,2.5,3360.637129803173
4,8,0.2317447076869974,1.006235520776943,0.8369248681667678,-6.827420172112832e-06,8.640474055469882e-05,-4.651378789440376e-06,-8.182878653535948e-05,-0.0001138834478841521,3.188341060505473,1.865174681370263e-14,0.1509245711115155,-1,1e-07,2.5,3360.637129803173
5,8,0.2317447076869974,1.006235520776943,0.8369213524343677,-2.777594918419624e-05,8.640360109512812e-05,-1.828449982392064e-05,-5.238646457770176e-05,-0.0001138862271133445,3.188341060505466,1.820765760385257e-14,0.1509280892441242,-1,1e-07,2.5,3360.637129803173
6,8,0.2317447076869974,1.006235520776943,0.8369149047375763,-3.571648066691755e-05,8.640504323489545e-05,-2.345606240803896e-05,1.600773236103216e-06,-0.0001138847795771067,3.18834106050541,1.820765760385257e-14,0.1509345386107155,-1,1e-07,2.5,3360.637129803173
7,8,0.2317447076869974,1.006235520776943,0.836908541389334,-2.693391358050078e-05,8.640840642414062e-05,-1.774264747708526e-05,5.487061776173667e-05,-0.0001138797949339349,3.188341060505337,2.087219286295294e-14,0.150940900136991,-1,1e-07,2.5,3360.637129803173
8,8,0.2317447076869974,1.006235520776943,0.836905240509411,-5.537794705116186e-06,8.64121151948703e-05,-3.814128040638003e-06,8.24990854055773e-05,-0.0001138736342124837,3.188341060505324,1.687538997430238e-14,0.1509441987170353,-1,1e-07,2.5,3360.637129803173
0,9,0.2607127961478721,1.132014960874061,0.8369069085938918,2.04899597843137e-05,8.293166997196852e-05,1.311277417556517e-05,6.849739011751073e-05,-0.0001264984928044877,3.188341060505325,1.820765760385257e-14,0.1509425299695947,-1,1e-07,2.5,3360.637129803173
1,9,0.2607127961478721,1.132014960874061,0.8369124889686943,3.454180012427565e-05,8.293149614573549e-05,2.225746614027268e-05,2.178521735880625e-05,-0.0001264986311437102,3.188341060505348,1.953992523340276e-14,0.1509369521572478,-1,1e-07,2.5,3360.637129803173
2,9,0.2607127961478721,1.132014960874061,0.8369192814523571,3.244326187393949e-05,8.292881877602704e-05,2.088755479936065e-05,-3.508473334347043e-05,-0.0001265026996574594,3.188341060505432,1.687538997430238e-14,0.1509301592076358,-1,1e-07,2.5,3360.637129803173
3,9,0.2607127961478721,1.132014960874061,0.8369241078900742,1.51760225439252e-05,8.292489793134233e-05,9.648632181222457e-06,-7.550173100571887e-05,-0.0001265088224901296,3.188341060505473,1.643130076445232e-14,0.1509253300445634,-1,1e-07,2.5,3360.637129803173
4,9,0.2607127961478721,1.132014960874061,0.8369247109331828,-9.180252217884633e-06,8.292155698868391e-05,-6.200424143795944e-06,-8.055216079728578e-05,-0.0001265141495052773,3.188341060505473,1.865174681370263e-14,0.1509247265159137,-1,1e-07,2.5,3360.637129803173
5,9,0.2607127961478721,1.132014960874061,0.8369208086065928,-2.922866337457623e-05,8.292034796017285e-05,-1.924817374457037e-05,-4.787269204946247e-05,-0.0001265161655137346,3.188341060505466,1.820765760385257e-14,0.1509286313922428,-1,1e-07,2.5,3360.637129803173
6,9,0.2607127961478721,1.132014960874061,0.836914225947003,-3.55883332664516e-05,8.292184388467838e-05,-2.339108571041434e-05,7.243513000953841e-06,-0.0001265139045341038,3.18834106050541,1.820765760385257e-14,0.1509352154170727,-1,1e-07,2.5,3360.637129803173
7,9,0.2607127961478721,1.132014960874061,0.8369080425269759,-2.528389133136175e-05,8.292535865421136e-05,-1.668671668238391e-05,5.900613640004598e-05,-0.0001265084391805362,3.188341060505337,2.087219286295294e-14,0.1509413967601184,-1,1e-07,2.5,3360.637129803173
8,9,0.2607127961478721,1.132014960874061,0.8369051523710272,-3.136938541402575e-06,8.292924505508873e-05,-2.26905263842181e-06,8.319660918164208e-05,-0.000126502354653873,3.188341060505325,1.687538997430238e-14,0.1509442848327351,-1,1e-07,2.5,3360.637129803173
0,10,0.2896808846087468,1.257794400971179,0.8369073065800433,2.242605318911168e-05,7.909085440130621e-05,1.435398079243101e-05,6.512262758763459e-05,-0.0001385816967229526,3.188341060505326,1.820765760385257e-14,0.1509421301973614,-1,1e-07,2.5,3360.637129803173
1,10,0.2896808846087468,1.257794400971179,0.8369131388979477,3.509364511580327e-05,7.909066442728987e-05,2.259719049474908e-05,1.630064462714774e-05,-0.0001385826723893783,3.188341060505348,1.953992523340276e-14,0.150936300293943,-1,1e-07,2.5,3360.637129803173
2,10,0.2896808846087468,1.257794400971179,0.836919876204837,3.135374194553676e-05,7.908786008164043e-05,2.015907530067322e-05,-4.010849706458349e-05,-0.0001385873578473308,3.188341060505431,1.687538997430238e-14,0.1509295621634371,-1,1e-07,2.5,3360.637129803173
3,10,0.2896808846087468,1.257794400971179,0.8369243662949903,1.295605665425159e-05,7.908376002709377e-05,8.184910150567439e-06,-7.770942518038256e-05,-0.0001385935894006525,3.188341060505473,1.643130076445232e-14,0.1509250693711783,-1,1e-07,2.5,3360.637129803173
4,10,0.2896808846087468,1.257794400971179,0.8369245091934892,-1.149073788042799e-05,7.9080271097972e-05,-7.723004600740537e-06,-7.890623324132618e-05,-0.0001385984638349531,3.188341060505473,1.865174681370263e-14,0.1509249263521954,-1,1e-07,2.5,3360.637129803173
5,10,0.2896808846087468,1.257794400971179,0.8369202381001839,-3.054738629144739e-05,7.907901522994291e-05,-2.01257582023461e-05,-4.313902299853151e-05,-0.0001385996761160892,3.188341060505466,1.820765760385257e-14,0.1509292000981564,-1,1e-07,2.5,3360.637129803173
6,10,0.2896808846087468,1.257794400971179,0.8369135505622328,-3.529712881375575e-05,7.908058801157787e-05,-2.32210373633545e-05,1.285419524558698e-05,-0.0001385966379854299,3.18834106050541,1.820765760385257e-14,0.1509358886718943,-1,1e-07,2.5,3360.637129803173
7,10,0.2896808846087468,1.257794400971179,0.8369075753438573,-2.351791809995343e-05,7.908426691533241e-05,-1.555632707820408e-05,6.287300631513015e-05,-0.0001385907878856232,3.188341060505336,2.087219286295294e-14,0.1509418615963077,-1,1e-07,2.5,3360.637129803173
8,10,0.2896808846087468,1.257794400971179,0.8369051091314789,-7.213634117265508e-07,7.908832713179869e-05,-7.154557637847618e-07,8.351492787968627e-05,-0.0001385848901420326,3.188341060505325,1.687538997430238e-14,0.1509443259800612,-1,1e-07,2.5,3360.637129803173
0,11,0.3186489730696215,1.383573841068296,0.8369077395549632,2.426005204206063e-05,7.490855413527762e-05,1.552749842853318e-05,6.145132733344302e-05,-0.0001500666183435763,3.188341060505325,1.820765760385257e-14,0.1509416953726209,-1,1e-07,2.5,3360.637129803173
1,11,0.3186489730696215,1.383573841068296,0.8369137971461521,3.548548837433931e-05,7.490832390437319e-05,2.283156921007416e-05,1.074268038610127e-05,-0.000150068418739926,3.188341060505347,1.953992523340276e-14,0.1509356400038498,-1,1e-07,2.5,3360.637129803173
2,11,0.3186489730696215,1.383573841068296,0.8369204484828481,3.012131038128465e-05,7.490537586034968e-05,1.933644415252388e-05,-4.494779364795532e-05,-0.0001500736400796311,3.188341060505432,1.687538997430238e-14,0.1509289875008257,-1,1e-07,2.5,3360.637129803173
