schema_version,figure_id,projection_type,elevation_deg,azimuth_deg,roll_deg,x_min,x_max,y_min,y_max,z_min,z_max,box_aspect_x,box_aspect_y,box_aspect_z,placement_00,placement_01,placement_10,placement_11,placement_20,placement_21,placement_scope,placement_fit_inputs,per_panel_transform,red_mask_read,protocol_sha256,raw_anchor_digest,matplotlib_version,camera_config_sha256,evidence_npz_sha256
chapter4_static_camera_calibration_v1,4.3,ortho,35.2643896827547,-45,0,0.8,1.18,-0.15,0.15,-0.1,0.1,0.38,0.3,0.2,4.49924724481541,0.0469835472199589,-0.0401249063494571,-5.55151950265692,0.555892932194122,0.46890538320259,shared_across_all_four_panels_within_figure,axis_corners_panels_a_b_only,forbidden,false,6D2FD58CFCA4E74CC533B757E852D7AC772D036E0E385C30A1057EB9861D01C1,73FF6C231F495398F396B3074A9ACBDD3161FD645A70B840B7DF9BE6B002A081,3.10.7,7FE3D12CF319A3CBD60B540FFDAD005B5C7B51C8B5F3A2D924B7CFECBC26DFA0,D0A16AF2EDC36B22EBEE15195CBDED051354E08A291B8ED2F66CB25359B5DF59
chapter4_static_camera_calibration_v1,4.4,ortho,35.2643896827547,-45,0,0.2,1,-0.15,0.35,-0.1,0.1,0.8,0.5,0.2,4.46150207591184,0.0149409319439705,0.00183059074823577,-6.57909038880036,0.544189118667991,0.455431185420825,shared_across_all_four_panels_within_figure,axis_corners_panels_a_b_only,forbidden,false,6D2FD58CFCA4E74CC533B757E852D7AC772D036E0E385C30A1057EB9861D01C1,73FF6C231F495398F396B3074A9ACBDD3161FD645A70B840B7DF9BE6B002A081,3.10.7,7FE3D12CF319A3CBD60B540FFDAD005B5C7B51C8B5F3A2D924B7CFECBC26DFA0,D0A16AF2EDC36B22EBEE15195CBDED051354E08A291B8ED2F66CB25359B5DF59
chapter4_static_camera_calibration_v1,4.5,ortho,35.2643896827547,-65,0,0.8,1.18,-0.15,0.15,-0.1,0.1,0.38,0.3,0.2,4.16968350440283,0.02663674516286,-0.00831917499117363,-5.45565925785394,0.516923640349765,0.481633670468696,shared_across_all_four_panels_within_figure,axis_corners_panels_a_b_only,forbidden,false,6D2FD58CFCA4E74CC533B757E852D7AC772D036E0E385C30A1057EB9861D01C1,73FF6C231F495398F396B3074A9ACBDD3161FD645A70B840B7DF9BE6B002A081,3.10.7,7FE3D12CF319A3CBD60B540FFDAD005B5C7B51C8B5F3A2D924B7CFECBC26DFA0,D0A16AF2EDC36B22EBEE15195CBDED051354E08A291B8ED2F66CB25359B5DF59
chapter4_static_camera_calibration_v1,4.6,ortho,35.2643896827547,110,0,0.1,1,-0.15,0.4,-0.15,0.15,0.9,0.55,0.3,4.20563322693875,0.00324007634948098,-0.0131698911755391,-6.69004620281282,0.512539112022378,0.45823757650134,shared_across_all_four_panels_within_figure,axis_corners_panels_a_b_only,forbidden,false,6D2FD58CFCA4E74CC533B757E852D7AC772D036E0E385C30A1057EB9861D01C1,73FF6C231F495398F396B3074A9ACBDD3161FD645A70B840B7DF9BE6B002A081,3.10.7,7FE3D12CF319A3CBD60B540FFDAD005B5C7B51C8B5F3A2D924B7CFECBC26DFA0,D0A16AF2EDC36B22EBEE15195CBDED051354E08A291B8ED2F66CB25359B5DF59
