variant,solve_convention,residual_scaling,column_scaling,phase_condition,active_residual_size,unknown_size,jacobian_shape,rank_estimate,condition_estimate,min_singular_value,max_singular_value,endpoint_total_residual_norm,endpoint_map_residual_max_norm,endpoint_jacobi_residual,endpoint_phase_residual,curve_jacobi_span,fourier_tail_energy_state,fourier_tail_energy_z,classification,interpretation
unscaled_overdetermined,least_squares_overdetermined,none,none,curve_tangent,368,367,368x367,367,48237180374.00161,1.011738168984026e-09,48.80339654854459,3.443747718188624e-09,7.890972080147777e-10,0,0,1.794120407794253e-11,5.400271324493003e-23,4.085802292417093e-22,full_column_rank_ill_conditioned,baseline overdetermined endpoint linearization
residual_scaled_overdetermined,least_squares_overdetermined,row_norm_equilibration,none,curve_tangent,368,367,368x367,367,11248582407.62681,2.302601244748352e-10,2.59009998534559,3.443747718188624e-09,7.890972080147777e-10,0,0,1.794120407794253e-11,5.400271324493003e-23,4.085802292417093e-22,full_column_rank_ill_conditioned,row scaling improves numerical balancing but changes the displayed spectrum
column_scaled_overdetermined,least_squares_overdetermined,none,state_and_rho_column_norm_equilibration,curve_tangent,368,367,368x367,367,16385382818.83459,1.404477431510205e-10,2.301290037570825,3.443747718188624e-09,7.890972080147777e-10,0,0,1.794120407794253e-11,5.400271324493003e-23,4.085802292417093e-22,full_column_rank_ill_conditioned,column scaling tests whether state/rho units dominate conditioning
residual_and_column_scaled,least_squares_overdetermined,row_norm_equilibration,state_and_rho_column_norm_equilibration,curve_tangent,368,367,368x367,367,4632253343.949804,5.29514736005565e-10,2.452846406532476,3.443747718188624e-09,7.890972080147777e-10,0,0,1.794120407794253e-11,5.400271324493003e-23,4.085802292417093e-22,full_column_rank_ill_conditioned,combined row/column equilibration for the diagnostic solve convention
two_phase_overdetermined,least_squares_overdetermined,none,none,curve_tangent_plus_second_phase,369,367,369x367,367,76139639.25047329,6.409722655832058e-07,48.80339707106384,3.443747718188624e-09,7.890972080147777e-10,0,0,1.794120407794253e-11,5.400271324493003e-23,4.085802292417093e-22,full_column_rank_moderate,adding the second phase as an active residual increases overdetermination
square_reduced_convention,square_map_plus_phase,none,none,curve_tangent_without_mean_jacobi,367,367,367x367,367,286771631095.5338,1.701820767573874e-10,48.8033917349413,3.443747718188624e-09,7.890972080147777e-10,0,0,1.794120407794253e-11,5.400271324493003e-23,4.085802292417093e-22,full_column_rank_ill_conditioned,"feasible square diagnostic drops the mean-Jacobi row, so Jacobi is diagnostic only"
