system,mu,label,x,y,z,jacobi
earth_moon,0.012150585609624,L1,0.8369151257723573,0,0,3.18834111774924
earth_moon,0.012150585609624,L2,1.155682165444886,0,0,3.172160460968527
earth_moon,0.012150585609624,L3,-1.005062645810278,0,0,3.012147150680504
earth_moon,0.012150585609624,L4,0.487849414390376,0.8660254037844386,0,2.987997051121033
earth_moon,0.012150585609624,L5,0.487849414390376,-0.8660254037844386,0,2.987997051121033
sun_earth,3.0035e-06,L1,0.9900265724507733,0,0,3.00089069764086
sun_earth,3.0035e-06,L2,1.01003413809074,0,0,3.000886692933673
sun_earth,3.0035e-06,L3,-1.000001251458333,0,0,3.000003003499812
sun_earth,3.0035e-06,L4,0.4999969965,0.8660254037844386,0,2.999996996509021
sun_earth,3.0035e-06,L5,0.4999969965,-0.8660254037844386,0,2.999996996509021
saturn_titan,0.0002366,L1,0.9574985190370511,0,0,3.015765451221773
saturn_titan,0.0002366,L2,1.043254018514279,0,0,3.015449945007042
saturn_titan,0.0002366,L3,-1.000098583332617,0,0,3.00023659883113
saturn_titan,0.0002366,L4,0.4997634,0.8660254037844386,0,2.99976345597956
saturn_titan,0.0002366,L5,0.4997634,-0.8660254037844386,0,2.99976345597956
jupiter_europa,2.528e-05,L1,0.9797641511538189,0,0,3.003642773521027
jupiter_europa,2.528e-05,L2,1.02046133849182,0,0,3.003609065587753
jupiter_europa,2.528e-05,L3,-1.000010533333332,0,0,3.000025279986683
jupiter_europa,2.528e-05,L4,0.49997472,0.8660254037844386,0,2.999974720639079
jupiter_europa,2.528e-05,L5,0.49997472,-0.8660254037844386,0,2.999974720639079
