target_jacobi,best_evidence_source,audit_status,phase_index,phase_rad,x,y,z,xdot,ydot,zdot,point_jacobi,mapping_time_days,rotation_angle_rad,curve_samples,max_map_residual,curve_jacobi_span
2.9225,cold_start_checkpoint_member_0,paper_reported_precision,0,0.0,0.7958592342252544,-2.9064180333959755e-05,-2.757136040227975e-08,-3.693863997670303e-05,0.531610436228823,-0.0015733071624247975,2.9224969610737324,14.749327602275182,1.4312317226704832,21,7.068741303454738e-13,1.8207657603852567e-14
2.9225,cold_start_checkpoint_member_0,paper_reported_precision,1,0.2991993003418851,0.7958598249314994,-2.651208964934366e-05,0.00029471166225964406,-3.551849494142834e-05,0.5316099150892256,-0.001503399222880752,2.9224969610737244,14.749327602275182,1.4312317226704832,21,7.068741303454738e-13,1.8207657603852567e-14
2.9225,cold_start_checkpoint_member_0,paper_reported_precision,2,0.5983986006837702,0.7958613928304107,-2.484601221188988e-05,0.0005632758667039326,-3.4591407532922876e-05,0.5316085309250428,-0.0012999012291556096,2.9224969610737253,14.749327602275182,1.4312317226704832,21,7.068741303454738e-13,1.8207657603852567e-14
2.9225,cold_start_checkpoint_member_0,paper_reported_precision,3,0.8975979010256552,0.7958633931071797,-2.4645076087794873e-05,0.0007818047540185566,-3.447972136603795e-05,0.5316067646759367,-0.0009809035972248503,2.922496961073718,14.749327602275182,1.4312317226704832,21,7.068741303454738e-13,1.8207657603852567e-14
2.9225,cold_start_checkpoint_member_0,paper_reported_precision,4,1.1967972013675403,0.7958651306308548,-2.5979687386744353e-05,0.000930873189214071,-3.5222963592311265e-05,0.5316052301393436,-0.0005747576653097874,2.9224969610737324,14.749327602275182,1.4312317226704832,21,7.068741303454738e-13,1.8207657603852567e-14
2.9225,cold_start_checkpoint_member_0,paper_reported_precision,5,1.4959965017094254,0.7958660015149622,-2.8386329891792346e-05,0.000997223135557543,-3.656320113064028e-05,0.5316044606796986,-0.0001175512849375094,2.922496961073733,14.749327602275182,1.4312317226704832,21,7.068741303454738e-13,1.8207657603852567e-14
2.9225,cold_start_checkpoint_member_0,paper_reported_precision,6,1.7951958020513104,0.7958657030552421,-3.102827897006944e-05,0.0009749512167657749,-3.8034222883055737e-05,0.531604723772582,0.0003500977422448289,2.9224969610737337,14.749327602275182,1.4312317226704832,21,7.068741303454738e-13,1.8207657603852567e-14
2.9225,cold_start_checkpoint_member_0,paper_reported_precision,7,2.0943951023931957,0.7958643389928267,-3.298684010248663e-05,0.0008660392013136723,-3.912412480322522e-05,0.5316059279607784,0.0007866454710903168,2.922496961073728,14.749327602275182,1.4312317226704832,21,7.068741303454738e-13,1.8207657603852567e-14
2.9225,cold_start_checkpoint_member_0,paper_reported_precision,8,2.3935944027350806,0.7958623834369256,-3.3581327239421706e-05,0.0006801757969309794,-3.94540891778066e-05,0.5316076546713285,0.0011533066094992876,2.922496961073722,14.749327602275182,1.4312317226704832,21,7.068741303454738e-13,1.8207657603852567e-14
2.9225,cold_start_checkpoint_member_0,paper_reported_precision,9,2.6927937030769655,0.795860516016201,-3.260566637484417e-05,0.00043388718376709897,-3.891009458596293e-05,0.5316093037939842,0.0014174978319565735,2.9224969610737332,14.749327602275182,1.4312317226704832,21,7.068741303454738e-13,1.8207657603852567e-14
