member,curve_samples,vertical_rms_amplitude_nd,rotation_angle_rad,curve_residual_norm,max_abs_y_km,max_abs_z_km,jacobi_span,closure_residual_norm
lifted,21,0.0008970400124857446,0.09141337561572892,2.770208953328991e-12,698000.5950549663,325639.8721273157,2.3384938430126567e-10,3.817752163944088e-12
continued_2pct,21,0.0009149808127354596,0.10865502268397294,1.0069604489283723e-11,722410.724749269,400296.6040384965,4.2893821827760803e-10,1.0894582675527297e-11
continued_half_percent_1,21,0.0009195557167991368,0.1127242534557385,2.768622781807941e-12,727797.2399833548,416547.7879668878,2.9881519481023133e-10,2.5716500092337964e-12
continued_half_percent_2,21,0.0009241534953831325,0.10679869885603113,2.6946691610285994e-12,719885.3102100557,392722.33646439516,2.8608759805592854e-10,1.86473256357462e-12
