kind,curve_index,x_min,x_max,y_min,y_max,z_min,z_max
lyapunov_orbit,0,0.8349653914161348,0.8389373381849462,-0.0071218949839927,0.007121894983992126,0,0
lyapunov_orbit,1,0.8331401504552113,0.8409710700138181,-0.01403678521450057,0.01403678521568617,0,0
lyapunov_orbit,2,0.8314695618686214,0.8429642801358814,-0.02059514692293848,0.02059514693216481,0,0
lyapunov_orbit,3,0.8299650906732509,0.8448774546354884,-0.02670331888923313,0.02670331888936733,0,0
lyapunov_orbit,4,0.828616554904924,0.8466956282066074,-0.03235223251307084,0.03235223251294712,0,0
lyapunov_orbit,5,0.8273984029272354,0.8484282187774859,-0.03760460521076191,0.03760460520756113,0,0
lyapunov_orbit,6,0.8262784745884066,0.8501015518179775,-0.04256506543499209,0.04256506536775787,0,0
lyapunov_orbit,7,0.8252253188343447,0.8517493944186544,-0.04734966610448413,0.04734966610446122,0,0
lyapunov_orbit,8,0.8242140274267161,0.8534028277590735,-0.05205730037124016,0.05205730037131286,0,0
lyapunov_orbit,9,0.8232323364391316,0.8550773227586105,-0.05673626185585358,0.05673626185589267,0,0
lyapunov_orbit,10,0.8214223803788637,0.85835196631161,-0.06565178035764747,0.06565178035674166,0,0
lyapunov_orbit,11,0.820280792284692,0.860546456281422,-0.07147241248588738,0.07147241248594285,0,0
central_halo_orbit,,0.8273312703346911,0.8923059136115199,-0.1012203680727106,0.1012203680728554,-0.09475164378537125,0.07000000000020408
central_vertical_orbit,,0.8279846861764154,0.8961223555000428,-0.1045237301590315,0.1045237301590302,-0.07258563026931106,0.1000000000000449
halo_z0_section_center,0,0.8444359329332053,0.8444359329332053,0.05590561476305068,0.05590561476305068,0,0
halo_z0_section_center,1,0.8444359329331109,0.8444359329331109,-0.05590561476307548,-0.05590561476307548,0,0
halo_z0_section_center,2,0.8447390746208788,0.8447390746208788,0.05670778655078087,0.05670778655078087,3.049318610115481e-20,3.049318610115481e-20
halo_z0_section_center,3,0.8447390746196225,0.8447390746196225,-0.05670778655158056,-0.05670778655158056,0,0
halo_z0_section_center,4,0.8459726157168693,0.8459726157168693,0.05983279056194149,0.05983279056194149,1.355252715606881e-20,1.355252715606881e-20
halo_z0_section_center,5,0.8459726157169367,0.8459726157169367,-0.05983279056180292,-0.05983279056180292,1.355252715606881e-20,1.355252715606881e-20
halo_z0_section_center,6,0.8481120048689339,0.8481120048689339,0.06481997948598139,0.06481997948598139,1.355252715606881e-20,1.355252715606881e-20
halo_z0_section_center,7,0.848112004876675,0.848112004876675,-0.06481997948044832,-0.06481997948044832,0,0
halo_z0_section_center,8,0.8512936074868087,0.8512936074868087,0.07141532010114668,0.07141532010114668,5.421010862427522e-20,5.421010862427522e-20
halo_z0_section_center,9,0.8512936074867651,0.8512936074867651,-0.07141532010112538,-0.07141532010112538,-2.710505431213761e-20,-2.710505431213761e-20
halo_z0_section_center,10,0.8557565993091435,0.8557565993091435,0.07942788675581859,0.07942788675581859,-2.710505431213761e-20,-2.710505431213761e-20
halo_z0_section_center,11,0.8557565993090894,0.8557565993090894,-0.07942788675579723,-0.07942788675579723,0,0
halo_z0_section_center,12,0.8619335808361206,0.8619335808361206,0.08874963052296572,0.08874963052296572,0,0
halo_z0_section_center,13,0.8619335808360814,0.8619335808360814,-0.08874963052297513,-0.08874963052297513,1.084202172485504e-19,1.084202172485504e-19
halo_z0_section_center,14,0.8707658929543854,0.8707658929543854,0.09949078523634579,0.09949078523634579,5.421010862427522e-20,5.421010862427522e-20
halo_z0_section_center,15,0.870765892954508,0.870765892954508,-0.09949078523619848,-0.09949078523619848,1.084202172485504e-19,1.084202172485504e-19
