attempt_id,pair_label,step_scale,previous_max_abs_z_km,current_max_abs_z_km,predicted_max_abs_z_km,solved_max_abs_z_km,delta_max_abs_z_km,previous_rho_rad,current_rho_rad,solved_rho_rad,delta_rho_rad,mean_jacobi,converged,turn_palc_acceptance,map_residual_max,jacobi_mean_span,jacobi_one_map_drift,jacobi_ten_return_span,phase_return_error,condition_number,raw_condition_number,gate_1_residual,gate_2_jacobi,gate_3_phase,turn_gate_4_amplitude_monotone,gate_5_amplitude,gate_6_mapping_time,gate_7_condition,failed_gates,failure_reason,newton_iterations,max_correction_norm
pair_1_scale_0.25,stage_10_step_2km->stage_11_step_1km,0.25,10292.24671170377,10293.24671170369,10293.49671170367,10293.40224234652,0.155530642830854,1.444149057268438,1.444148981855988,1.444148973570352,-8.285636399207874e-09,2.922282413359826,True,True,3.802463214100222e-14,5.832134775118902e-11,5.832223592960872e-11,3.108624468950438e-15,7.142164779173028e-15,98679.17418611467,480661.6673249307,True,True,True,True,True,True,True,,,4,0.0004012389668343368
pair_1_scale_0.5,stage_10_step_2km->stage_11_step_1km,0.5,10292.24671170377,10293.24671170369,10293.74671170365,10293.52256182771,0.2758501240205078,1.444149057268438,1.444148981855988,1.444148959843676,-2.20123117511406e-08,2.922282413038375,True,True,8.839165876588682e-12,5.692912807830908e-11,5.693134852435833e-11,3.108624468950438e-15,6.637655728454272e-12,99552.08169285428,481482.180703834,True,True,True,True,True,True,True,,,4,0.001156498922366555
pair_1_scale_1,stage_10_step_2km->stage_11_step_1km,1,10292.24671170377,10293.24671170369,10294.2467117036,10293.65733070361,0.4106189999201888,1.444149057268438,1.444148981855988,1.44414891597387,-6.58821179833069e-08,2.922282412013513,True,True,8.401781084444866e-14,5.383471446407384e-11,5.383515855328369e-11,2.664535259100376e-15,4.26595976930951e-14,101322.5703936647,483168.9726972431,True,True,True,True,True,True,True,,,6,0.007635362427188711
pair_2_scale_0.25,stage_9_step_2km->stage_10_step_2km,0.25,10290.24671170377,10292.24671170377,10292.74671170377,10292.60881415697,0.3621024532021693,1.444149173149763,1.444149057268438,1.444149043618109,-1.365032975542135e-08,2.922282415003595,True,True,7.810640017117101e-14,6.220446380211797e-11,6.220490789132782e-11,2.664535259100376e-15,3.076744101755143e-14,94329.85638868787,477747.0558768466,True,True,True,True,True,True,True,,,4,0.0007015621963267024
pair_2_scale_0.5,stage_9_step_2km->stage_10_step_2km,0.5,10290.24671170377,10292.24671170377,10293.24671170377,10292.9194694621,0.6727577583314996,1.444149173149763,1.444149057268438,1.444149022004344,-3.526409475540504e-08,2.92228241449564,True,True,3.166488096835689e-14,6.116307460501957e-11,6.116440687264912e-11,3.552713678800501e-15,2.402226989941524e-14,96000.87598758617,478699.3393314446,True,True,True,True,True,True,True,,,5,0.001916036209383116
pair_2_scale_1,stage_9_step_2km->stage_10_step_2km,1,10290.24671170377,10292.24671170377,10294.24671170377,10293.38599158573,1.139279881957918,1.444149173149763,1.444149057268438,1.444148954708224,-1.025602145432458e-07,2.9222824129184,True,True,1.237792540315858e-13,5.860778529154231e-11,5.860778529154231e-11,3.108624468950438e-15,7.744996943484209e-14,98476.44119044693,480670.899117526,True,True,True,True,True,True,True,,,6,0.005953273578493218
