kind,case,sample,phase,time_days,x_nd,y_nd,z_nd,xdot_nd,ydot_nd,zdot_nd,perilune_radius_km,stability_index,periodicity_error,time_of_flight_days,departure_delta_v_m_s,arrival_delta_v_m_s,total_delta_v_m_s,endpoint_position_error_km,minimum_moon_radius_km,jacobi_span,arrival_offset_hours,delta_v_difference_m_s
orbit_summary,departure_4800_km,,,,0.9871733219663729,0,-0.01246867619764294,0,1.363579370419696,0,4800.000000000002,1.541669858583182,1.335076753202042e-10,,,,,,,,,
orbit_summary,destination_12610_km,,,,0.9885108604269948,0,-0.03279770128521525,0,0.8205106907871422,0,12610,1.177409613795337,4.120213415542434e-11,,,,,,,,,
forward_transfer,1,0,0.82,0,1.011112321027015,-0.05086484602822477,0.1190812674690029,-0.06713099588433077,-0.03094987568796629,-0.302402534905807,,,,23,23.06942360476717,24.66501053833237,47.73443414309953,2.336264914251333e-05,5180.099722693883,2.237987573039391e-11,,
forward_transfer,1,1,0.82,0.06406685236768803,1.010111387387684,-0.05127676785057381,0.1145372698505029,-0.06853737228933163,-0.0248045188841944,-0.3135993682905246,,,,23,23.06942360476717,24.66501053833237,47.73443414309953,2.336264914251333e-05,5180.099722693883,2.237987573039391e-11,,
forward_transfer,1,2,0.82,0.1281337047353761,1.00908988631724,-0.05159430778142578,0.1098242871720203,-0.06991866011833195,-0.01814488602884534,-0.325319157091186,,,,23,23.06942360476717,24.66501053833237,47.73443414309953,2.336264914251333e-05,5180.099722693883,2.237987573039391e-11,,
forward_transfer,1,3,0.82,0.1922005571030641,1.008048194844629,-0.05180931014113946,0.1049340677748122,-0.07127397353623413,-0.01089117433079175,-0.3376366898334264,,,,23,23.06942360476717,24.66501053833237,47.73443414309953,2.336264914251333e-05,5180.099722693883,2.237987573039391e-11,,
forward_transfer,1,4,0.82,0.2562674094707521,1.006986700836441,-0.05191230110739022,0.09985715008328888,-0.07260275794727641,-0.002943580158027395,-0.3506417588518061,,,,23,23.06942360476717,24.66501053833237,47.73443414309953,2.336264914251333e-05,5180.099722693883,2.237987573039391e-11,,
forward_transfer,1,5,0.82,0.3203342618384401,1.00590579663416,-0.05189214677463122,0.0945826128022299,-0.07390500569141474,0.00582444080153093,-0.3644432067695011,,,,23,23.06942360476717,24.66501053833237,47.73443414309953,2.336264914251333e-05,5180.099722693883,2.237987573039391e-11,,
forward_transfer,1,6,0.82,0.3844011142061282,1.004805868686324,-0.05173559161507365,0.08909775572109215,-0.07518159275544256,0.01557585187476282,-0.3791743654846759,,,,23,23.06942360476717,24.66501053833237,47.73443414309953,2.336264914251333e-05,5180.099722693883,2.237987573039391e-11,,
forward_transfer,1,7,0.82,0.4484679665738162,1.003687280880347,-0.05142662304763405,0.08338768654269942,-0.07643481230897335,0.02652426960411522,-0.3950004728455523,,,,23,23.06942360476717,24.66501053833237,47.73443414309953,2.336264914251333e-05,5180.099722693883,2.237987573039391e-11,,
forward_transfer,1,8,0.82,0.5125348189415042,1.002550347790211,-0.05094557659120621,0.07743477856283487,-0.07766923665147744,0.03895547747254313,-0.4121289372539712,,,,23,23.06942360476717,24.66501053833237,47.73443414309953,2.336264914251333e-05,5180.099722693883,2.237987573039391e-11,,
forward_transfer,1,9,0.82,0.5766016713091923,1.00139529142538,-0.05026784242991524,0.07121794822027074,-0.07889314380764292,0.0532609801578951,-0.43082375154095,,,,23,23.06942360476717,24.66501053833237,47.73443414309953,2.336264914251333e-05,5180.099722693883,2.237987573039391e-11,,
forward_transfer,1,10,0.82,0.6406685236768802,1.000222170242779,-0.04936193825125697,0.06471167795457201,-0.08012094979417744,0.06999228665790962,-0.4514259877297245,,,,23,23.06942360476717,24.66501053833237,47.73443414309953,2.336264914251333e-05,5180.099722693883,2.237987573039391e-11,,
forward_transfer,1,11,0.82,0.7047353760445683,0.9990307599543182,-0.04818653328916983,0.05788467540380912,-0.08137750826744482,0.08995259350528489,-0.4743831254164977,,,,23,23.06942360476717,24.66501053833237,47.73443414309953,2.336264914251333e-05,5180.099722693883,2.237987573039391e-11,,
forward_transfer,1,12,0.82,0.7688022284122563,0.9978203470968473,-0.04668565199415645,0.05069801386120495,-0.08270605370456574,0.1143598078223412,-0.5002905973284496,,,,23,23.06942360476717,24.66501053833237,47.73443414309953,2.336264914251333e-05,5180.099722693883,2.237987573039391e-11,,
forward_transfer,1,13,0.82,0.8328690807799444,0.9965893567166763,-0.04478053134082779,0.0431025555896809,-0.08418368750727041,0.1451550729728181,-0.529947245337934,,,,23,23.06942360476717,24.66501053833237,47.73443414309953,2.336264914251333e-05,5180.099722693883,2.237987573039391e-11,,
forward_transfer,1,14,0.82,0.8969359331476323,0.9953346448843674,-0.04235487741582909,0.03503550982586639,-0.08595362911867116,0.1856333645395935,-0.5644121529740994,,,,23,23.06942360476717,24.66501053833237,47.73443414309953,2.336264914251333e-05,5180.099722693883,2.237987573039391e-11,,
forward_transfer,1,15,0.82,0.9610027855153205,0.9940500617389233,-0.0392259031134929,0.02641658147231817,-0.08829799965748913,0.2418631040352388,-0.604973016268611,,,,23,23.06942360476717,24.66501053833237,47.73443414309953,2.336264914251333e-05,5180.099722693883,2.237987573039391e-11,,
forward_transfer,1,16,0.82,1.025069637883008,0.9927232796487729,-0.0350811144848247,0.01714775013128953,-0.09181806865055332,0.3262982097657578,-0.6525127497731603,,,,23,23.06942360476717,24.66501053833237,47.73443414309953,2.336264914251333e-05,5180.099722693883,2.237987573039391e-11,,
forward_transfer,1,17,0.82,1.089136490250696,0.9913281120426948,-0.02932021417900314,0.00714221027521854,-0.09791501297899402,0.4684365618497324,-0.7030390049360774,,,,23,23.06942360476717,24.66501053833237,47.73443414309953,2.336264914251333e-05,5180.099722693883,2.237987573039391e-11,,
forward_transfer,1,18,0.82,1.153203342618385,0.9898058071739807,-0.02059653184169574,-0.0034338984881696,-0.1097220754020076,0.7491877802726037,-0.7132446832943639,,,,23,23.06942360476717,24.66501053833237,47.73443414309953,2.336264914251333e-05,5180.099722693883,2.237987573039391e-11,,
forward_transfer,1,19,0.82,1.217270194986073,0.9880825195461618,-0.005853309611713585,-0.01213597003350822,-0.118733437314625,1.267155337205639,-0.3266446978855858,,,,23,23.06942360476717,24.66501053833237,47.73443414309953,2.336264914251333e-05,5180.099722693883,2.237987573039391e-11,,
forward_transfer,1,20,0.82,1.28133704735376,0.9867658526561827,0.01272181570380405,-0.009881177116536782,-0.04958860922890118,1.069625943801209,0.5308942255748123,,,,23,23.06942360476717,24.66501053833237,47.73443414309953,2.336264914251333e-05,5180.099722693883,2.237987573039391e-11,,
forward_transfer,1,21,0.82,1.345403899721449,0.9864831391486049,0.02511455424499108,-0.0004853630917320386,0.003994076056366296,0.6561688061050001,0.6773071820918262,,,,23,23.06942360476717,24.66501053833237,47.73443414309953,2.336264914251333e-05,5180.099722693883,2.237987573039391e-11,,
forward_transfer,1,22,0.82,1.409470752089137,0.9867471548302981,0.03312381938477318,0.009367376256178676,0.02908680617596902,0.4518999416859258,0.6509754868234282,,,,23,23.06942360476717,24.66501053833237,47.73443414309953,2.336264914251333e-05,5180.099722693883,2.237987573039391e-11,,
forward_transfer,1,23,0.82,1.473537604456825,0.9872900122462163,0.03888388148427938,0.01865785907740026,0.04336013699528955,0.3384113609257245,0.6082658682787198,,,,23,23.06942360476717,24.66501053833237,47.73443414309953,2.336264914251333e-05,5180.099722693883,2.237987573039391e-11,,
forward_transfer,1,24,0.82,1.537604456824513,0.9880028209470447,0.04330901737981021,0.02733507410438745,0.05267296052771444,0.2661573574865477,0.5687530945889825,,,,23,23.06942360476717,24.66501053833237,47.73443414309953,2.336264914251333e-05,5180.099722693883,2.237987573039391e-11,,
forward_transfer,1,25,0.82,1.601671309192201,0.9888311518517162,0.04684356123843193,0.03546785867064817,0.05925574476503743,0.2156238464560381,0.5344527057182749,,,,23,23.06942360476717,24.66501053833237,47.73443414309953,2.336264914251333e-05,5180.099722693883,2.237987573039391e-11,,
