attempt_id,stage,step_scale,accepted_step,previous_max_abs_z_km,current_max_abs_z_km,solved_max_abs_z_km,delta_max_abs_z_km,current_rho_rad,solved_rho_rad,delta_rho_rad,map_residual_max,jacobi_mean_span,jacobi_one_map_drift,jacobi_ten_return_span,phase_return_error,condition_number,raw_condition_number,gate_1_residual,gate_2_jacobi,gate_3_phase,turn_gate_4_amplitude_monotone,gate_5_amplitude,gate_6_mapping_time,gate_7_condition,failed_gates,failure_reason,newton_iterations,max_correction_norm
stage_1_scale_1,1,1,True,10292.24671170377,10293.24671170369,10293.65733070361,0.4106189999201888,1.444148981855988,1.44414891597387,-6.58821179833069e-08,8.401781084444866e-14,5.383471446407384e-11,5.383515855328369e-11,2.664535259100376e-15,4.26595976930951e-14,101322.5703936647,483168.9726972431,True,True,True,True,True,True,True,,,6,0.007635362427188711
stage_2_scale_1,2,1,False,10293.24671170369,10293.65733070361,10293.47633649838,-0.180994205229581,1.44414891597387,1.444148859903257,-5.60706130414701e-08,4.499391890446314e-14,5.005640346666951e-11,5.005773573429906e-11,4.440892098500626e-15,5.310250164669015e-15,104988.5706466266,486521.5425203343,True,True,True,False,True,True,True,turn_gate_4_amplitude_monotone,turn_gate_4_amplitude_monotone,6,0.007719882062726962
stage_2_scale_0.5,2,0.5,False,10293.24671170369,10293.65733070361,10293.63761453911,-0.01971616449554858,1.44414891597387,1.444148898896958,-1.707691232866182e-08,4.542162374137041e-12,5.009415104950676e-11,5.009459513871661e-11,3.552713678800501e-15,3.486409995079774e-12,103154.118349505,484756.3952800421,True,True,True,False,True,True,True,turn_gate_4_amplitude_monotone,turn_gate_4_amplitude_monotone,4,0.001027510585851094
stage_2_scale_0.25,2,0.25,True,10293.24671170369,10293.65733070361,10293.6651410641,0.007810360490111634,1.44414891597387,1.444148910167534,-5.806335634517268e-09,4.151316654481392e-14,5.200728736554083e-11,5.200773145475068e-11,3.552713678800501e-15,3.648021379290553e-14,102235.6790068917,483896.624814383,True,True,True,True,True,True,True,,,4,0.0003432932231312874
stage_3_scale_1,3,1,False,10293.65733070361,10293.6651410641,10293.63600021356,-0.02914085053635063,1.444148910167534,1.444148904989113,-5.178421691454105e-09,1.248823263934054e-13,5.007727565953246e-11,5.007727565953246e-11,2.220446049250313e-15,1.029487028105918e-13,103205.646598678,484743.6824875436,True,True,True,False,True,True,True,turn_gate_4_amplitude_monotone,turn_gate_4_amplitude_monotone,3,9.17259323154848e-05
stage_3_scale_0.5,3,0.5,False,10293.65733070361,10293.6651410641,10293.6549869831,-0.01015408099920023,1.444148910167534,1.444148908260989,-1.90654581011529e-09,4.392581687033824e-14,5.102895883624115e-11,5.10302911038707e-11,4.884981308350689e-15,1.045374309498226e-14,102745.368120574,484314.5775492628,True,True,True,False,True,True,True,turn_gate_4_amplitude_monotone,turn_gate_4_amplitude_monotone,3,2.220138186090943e-05
stage_3_scale_0.25,3,0.25,False,10293.65733070361,10293.6651410641,10293.6611677043,-0.003973359795054421,1.444148910167534,1.44414890938484,-7.826945758182546e-10,8.114836679294065e-12,5.153077964337172e-11,5.153211191100127e-11,3.108624468950438e-15,6.248753709011161e-12,102515.6946767653,484101.4043246771,True,True,True,False,True,True,True,turn_gate_4_amplitude_monotone,turn_gate_4_amplitude_monotone,2,7.40358345691238e-06
stage_3_scale_0.1,3,0.1,False,10293.65733070361,10293.6651410641,10293.66381659649,-0.001324467611993896,1.444148910167534,1.444148909895422,-2.721121106219471e-10,6.010830424150295e-14,5.183586893053871e-11,5.183631301974856e-11,2.664535259100376e-15,1.293280304048078e-14,102378.1397334719,483974.0118890091,True,True,True,False,True,True,True,turn_gate_4_amplitude_monotone,turn_gate_4_amplitude_monotone,2,2.516713745991695e-06
