member_id,rho_rad,mean_jacobi,mapping_time_days,max_abs_z_km,map_residual_max,jacobi_mean_span,jacobi_one_map_drift,jacobi_ten_return_span,phase_return_error,condition_number,raw_condition_number,fourier_order,gate_1_residual,gate_2_jacobi,gate_3_phase,gate_4_rho_monotone,gate_5_amplitude,gate_6_mapping_time,gate_7_condition,overall_acceptance,step_source,source_member_id,macro_step,substep_index,substep_count
11,1.444149657479268,2.922282429723014,14.74932760227518,10272.24671170378,2.244688933214907e-11,4.836220313109152e-11,4.836264722030137e-11,2.664535259100376e-15,1.670940416511129e-11,461049.4702686624,461049.4702686624,61,True,True,True,True,True,True,True,True,bootstrap_fixed_time_projection,fixed_time_candidate_forward_endpoint_candidate_fraction_0p25,0,0,0
12,1.444149671444783,2.92228243006516,14.74932760227518,10271.37138476799,1.105075087762985e-13,4.96234164870657e-11,4.962474875469525e-11,2.664535259100376e-15,5.151205394943256e-14,81242.43247102314,460473.5890754057,61,True,True,True,True,True,True,True,True,palc_native_3_substeps,12,1,3,3
