schema_version,family,epsilon,candidate_tags,numerical_acceptance,figure_id,branch,panel_id,panel_role,paper_mask_pixels,prediction_mask_pixels,symmetric_chamfer_px,symmetric_chamfer_diagonal_fraction,precision_at_0p01_diagonal,recall_at_0p01_diagonal,f1_at_0p01_diagonal,hd95_px,hd95_diagonal_fraction,area_ratio_prediction_over_paper,projection_loss,renderer,normalized_panel_size,camera_config_sha256,protocol_sha256,camera_evidence_sha256,state_evidence_sha256,holdout_red_mask_read,paper_projection_acceptance,paper_3d_equivalence,selected_for_final_model,selected_model,fit_lock_sha256,evidence_npz_sha256
chapter4_projection_fit_lock_v1,halo,2.25e-07,coarse,pass,4.4,minus_x,b,train,4921,2906,12.6349853857985,0.0174497731376778,0.883000688231246,0.309896362527941,0.458780078663757,50.9116882454314,0.0703125,0.590530380004064,0.437321407989737,orthographic_projected_quad_union_curve_seam_only,512,7FE3D12CF319A3CBD60B540FFDAD005B5C7B51C8B5F3A2D924B7CFECBC26DFA0,6D2FD58CFCA4E74CC533B757E852D7AC772D036E0E385C30A1057EB9861D01C1,D0A16AF2EDC36B22EBEE15195CBDED051354E08A291B8ED2F66CB25359B5DF59,8BBD1CC9F646E5DB0F15812BCADFEDA1954813E6E4DBDF43E380C1E1E97989A2,false,not_run,false,false,H0_global,D2767E61A3EBF428ED8242CA00EDE441FF2C0666189E062397AA928277E43374,D304295179BAB23E8B7A942217B55BE102D38127A5C38DC577F75ED7C6FE9B67
chapter4_projection_fit_lock_v1,halo,2.25e-07,coarse,pass,4.4,minus_x,c,validation,7723,3348,28.2707722976601,0.039043857033313,0.473715651135006,0.200440243428719,0.281690573931545,82.975297509149,0.114594522538458,0.43351029392723,0.63580713494213,orthographic_projected_quad_union_curve_seam_only,512,7FE3D12CF319A3CBD60B540FFDAD005B5C7B51C8B5F3A2D924B7CFECBC26DFA0,6D2FD58CFCA4E74CC533B757E852D7AC772D036E0E385C30A1057EB9861D01C1,D0A16AF2EDC36B22EBEE15195CBDED051354E08A291B8ED2F66CB25359B5DF59,8BBD1CC9F646E5DB0F15812BCADFEDA1954813E6E4DBDF43E380C1E1E97989A2,false,not_run,false,false,H0_global,D2767E61A3EBF428ED8242CA00EDE441FF2C0666189E062397AA928277E43374,D304295179BAB23E8B7A942217B55BE102D38127A5C38DC577F75ED7C6FE9B67
chapter4_projection_fit_lock_v1,halo,3.18198051533946e-07,coarse,pass,4.3,plus_x,a,train,11867,8454,5.1114033922077,0.00705919531251951,0.826709250059144,0.643802140389315,0.72388039715273,26.2488094968134,0.0362513890493566,0.71239571922137,0.238962278133094,orthographic_projected_quad_union_curve_seam_only,512,7FE3D12CF319A3CBD60B540FFDAD005B5C7B51C8B5F3A2D924B7CFECBC26DFA0,6D2FD58CFCA4E74CC533B757E852D7AC772D036E0E385C30A1057EB9861D01C1,D0A16AF2EDC36B22EBEE15195CBDED051354E08A291B8ED2F66CB25359B5DF59,8BBD1CC9F646E5DB0F15812BCADFEDA1954813E6E4DBDF43E380C1E1E97989A2,false,not_run,false,false,H0_global,D2767E61A3EBF428ED8242CA00EDE441FF2C0666189E062397AA928277E43374,D304295179BAB23E8B7A942217B55BE102D38127A5C38DC577F75ED7C6FE9B67
chapter4_projection_fit_lock_v1,halo,3.18198051533946e-07,coarse,pass,4.3,plus_x,b,train,8152,8533,16.6618832402475,0.0230111926299169,0.412984882221962,0.443694798822375,0.427789402010276,58.7962583843564,0.0812016269765133,1.04673699705594,0.340836324277413,orthographic_projected_quad_union_curve_seam_only,512,7FE3D12CF319A3CBD60B540FFDAD005B5C7B51C8B5F3A2D924B7CFECBC26DFA0,6D2FD58CFCA4E74CC533B757E852D7AC772D036E0E385C30A1057EB9861D01C1,D0A16AF2EDC36B22EBEE15195CBDED051354E08A291B8ED2F66CB25359B5DF59,8BBD1CC9F646E5DB0F15812BCADFEDA1954813E6E4DBDF43E380C1E1E97989A2,false,not_run,false,false,H0_global,D2767E61A3EBF428ED8242CA00EDE441FF2C0666189E062397AA928277E43374,D304295179BAB23E8B7A942217B55BE102D38127A5C38DC577F75ED7C6FE9B67
chapter4_projection_fit_lock_v1,halo,3.18198051533946e-07,coarse,pass,4.3,plus_x,c,validation,10970,8590,31.2539776203546,0.0431638662390729,0.355878928987194,0.271103008204193,0.307759578009866,92.8924108848511,0.128290729799698,0.783044667274385,0.482498144256808,orthographic_projected_quad_union_curve_seam_only,512,7FE3D12CF319A3CBD60B540FFDAD005B5C7B51C8B5F3A2D924B7CFECBC26DFA0,6D2FD58CFCA4E74CC533B757E852D7AC772D036E0E385C30A1057EB9861D01C1,D0A16AF2EDC36B22EBEE15195CBDED051354E08A291B8ED2F66CB25359B5DF59,8BBD1CC9F646E5DB0F15812BCADFEDA1954813E6E4DBDF43E380C1E1E97989A2,false,not_run,false,false,H0_global,D2767E61A3EBF428ED8242CA00EDE441FF2C0666189E062397AA928277E43374,D304295179BAB23E8B7A942217B55BE102D38127A5C38DC577F75ED7C6FE9B67
chapter4_projection_fit_lock_v1,halo,3.18198051533946e-07,coarse,pass,4.4,minus_x,a,train,3932,2958,6.56169816419317,0.00906215091406311,0.902298850574713,0.49440488301119,0.638791100692773,29.777466123209,0.0411247035591285,0.752288911495422,0.271106485956537,orthographic_projected_quad_union_curve_seam_only,512,7FE3D12CF319A3CBD60B540FFDAD005B5C7B51C8B5F3A2D924B7CFECBC26DFA0,6D2FD58CFCA4E74CC533B757E852D7AC772D036E0E385C30A1057EB9861D01C1,D0A16AF2EDC36B22EBEE15195CBDED051354E08A291B8ED2F66CB25359B5DF59,8BBD1CC9F646E5DB0F15812BCADFEDA1954813E6E4DBDF43E380C1E1E97989A2,false,not_run,false,false,H0_global,D2767E61A3EBF428ED8242CA00EDE441FF2C0666189E062397AA928277E43374,D304295179BAB23E8B7A942217B55BE102D38127A5C38DC577F75ED7C6FE9B67
chapter4_projection_fit_lock_v1,halo,3.18198051533946e-07,coarse,pass,4.4,minus_x,b,train,4921,2904,12.2900209865852,0.016973353868241,0.890840220385675,0.320869741922373,0.471802131699488,50.4479930225178,0.06967210539741,0.590123958545011,0.430345980598172,orthographic_projected_quad_union_curve_seam_only,512,7FE3D12CF319A3CBD60B540FFDAD005B5C7B51C8B5F3A2D924B7CFECBC26DFA0,6D2FD58CFCA4E74CC533B757E852D7AC772D036E0E385C30A1057EB9861D01C1,D0A16AF2EDC36B22EBEE15195CBDED051354E08A291B8ED2F66CB25359B5DF59,8BBD1CC9F646E5DB0F15812BCADFEDA1954813E6E4DBDF43E380C1E1E97989A2,false,not_run,false,false,H0_global,D2767E61A3EBF428ED8242CA00EDE441FF2C0666189E062397AA928277E43374,D304295179BAB23E8B7A942217B55BE102D38127A5C38DC577F75ED7C6FE9B67
chapter4_projection_fit_lock_v1,halo,3.18198051533946e-07,coarse,pass,4.4,minus_x,c,validation,7723,3419,25.8277007639984,0.0356698092825787,0.507458321146534,0.231904700246018,0.318333393604638,78.1024967590665,0.107864853683469,0.442703612585783,0.607183020633618,orthographic_projected_quad_union_curve_seam_only,512,7FE3D12CF319A3CBD60B540FFDAD005B5C7B51C8B5F3A2D924B7CFECBC26DFA0,6D2FD58CFCA4E74CC533B757E852D7AC772D036E0E385C30A1057EB9861D01C1,D0A16AF2EDC36B22EBEE15195CBDED051354E08A291B8ED2F66CB25359B5DF59,8BBD1CC9F646E5DB0F15812BCADFEDA1954813E6E4DBDF43E380C1E1E97989A2,false,not_run,false,false,H0_global,D2767E61A3EBF428ED8242CA00EDE441FF2C0666189E062397AA928277E43374,D304295179BAB23E8B7A942217B55BE102D38127A5C38DC577F75ED7C6FE9B67
chapter4_projection_fit_lock_v1,halo,4.5e-07,coarse,pass,4.3,plus_x,a,train,11867,8536,4.84299880446487,0.00668851034358487,0.835168697282099,0.657284907727311,0.735625922691703,24.8394846967484,0.0343050157622076,0.719305637482093,0.229819034109173,orthographic_projected_quad_union_curve_seam_only,512,7FE3D12CF319A3CBD60B540FFDAD005B5C7B51C8B5F3A2D924B7CFECBC26DFA0,6D2FD58CFCA4E74CC533B757E852D7AC772D036E0E385C30A1057EB9861D01C1,D0A16AF2EDC36B22EBEE15195CBDED051354E08A291B8ED2F66CB25359B5DF59,8BBD1CC9F646E5DB0F15812BCADFEDA1954813E6E4DBDF43E380C1E1E97989A2,false,not_run,false,false,H0_global,D2767E61A3EBF428ED8242CA00EDE441FF2C0666189E062397AA928277E43374,D304295179BAB23E8B7A942217B55BE102D38127A5C38DC577F75ED7C6FE9B67
chapter4_projection_fit_lock_v1,halo,4.5e-07,coarse,pass,4.3,plus_x,b,train,8152,8584,16.0014375744859,0.022099072300102,0.418569431500466,0.472031403336605,0.443695780233836,57.2800139664787,0.0791075904339009,1.05299313052012,0.332937257143653,orthographic_projected_quad_union_curve_seam_only,512,7FE3D12CF319A3CBD60B540FFDAD005B5C7B51C8B5F3A2D924B7CFECBC26DFA0,6D2FD58CFCA4E74CC533B757E852D7AC772D036E0E385C30A1057EB9861D01C1,D0A16AF2EDC36B22EBEE15195CBDED051354E08A291B8ED2F66CB25359B5DF59,8BBD1CC9F646E5DB0F15812BCADFEDA1954813E6E4DBDF43E380C1E1E97989A2,false,not_run,false,false,H0_global,D2767E61A3EBF428ED8242CA00EDE441FF2C0666189E062397AA928277E43374,D304295179BAB23E8B7A942217B55BE102D38127A5C38DC577F75ED7C6FE9B67
