member_id,curve_samples,max_abs_z_km,mapping_time_days,rho,mean_jacobi,total_residual_norm,map_residual_max_norm,map_residual_rms_norm,mean_jacobi_residual,phase_residual,curve_jacobi_span,fourier_tail_energy_state,fourier_tail_energy_z,jacobian_rank_estimate,condition_estimate,min_singular_value,max_singular_value,matches_existing_audit,classification,diagnosis
7,41,9619.395383033627,14.74932760227518,1.442581566053174,2.922310285806469,2.172563588280203e-10,8.43840288729695e-11,3.392974285232193e-11,-4.440892098500626e-16,0,2.931876963430113e-12,8.988057892355572e-22,9.753225588725726e-19,247,858542924770.0435,5.691510451371045e-11,48.86406029279367,True,full_column_rank_ill_conditioned,peak_index=5; peak_phase=0.766242; conditioning=full_column_rank_ill_conditioned
8,41,10134.48630541837,14.74932760227518,1.443804463949337,2.922289662015089,1.104462982572494e-13,3.467176206092227e-14,1.724881388550564e-14,0,0,1.615654277031808e-10,9.893203144219947e-18,8.638099366979638e-16,246,2262940739692226,2.157153264655699e-14,48.81510004349467,True,rank_deficient,peak_index=2; peak_phase=0.306497; conditioning=rank_deficient
9,41,10161.69305030281,14.74932760227518,1.443872724217783,2.922288499365069,1.768950896873547e-12,5.360662207451406e-13,2.762637161609655e-13,0,0,2.993387759886446e-10,2.989690643276465e-17,1.899936236664392e-15,246,87409853369010.22,5.583533125345539e-13,48.80558117674649,True,rank_deficient,peak_index=19; peak_phase=2.91172; conditioning=rank_deficient
10,61,10164.02309965055,14.74932760227518,1.443877875293695,2.922288411389487,3.443747718188624e-09,7.890972080147777e-10,4.409267131129014e-10,0,0,1.794120407794253e-11,5.400271324493003e-23,4.085802292417093e-22,367,48237180374.00161,1.011738168984026e-09,48.80339654854459,True,full_column_rank_ill_conditioned,peak_index=44; peak_phase=4.53213; conditioning=full_column_rank_ill_conditioned
