system,point,z0,x0,ydot0,period,jacobi,x_min,x_max,y_abs_max,z_abs_max,periodicity_error,stability_index,final_residual_norm
jupiter_europa,L2,0.0005,1.02045684976958,3.432766464027629e-06,3.189495534873799,3.003608095324914,1.020456849768943,1.020459645290014,8.712747400475236e-07,0.0005,1.932195919473054e-12,1277.375707309823,3.068882480801208e-14
jupiter_europa,L2,0.001,1.020443381551668,1.373321396038207e-05,3.189900746559316,3.003605184619861,1.020443381551668,1.020454565853232,3.486457258345922e-06,0.001000000000660874,9.988725881503795e-11,1275.434966420942,1.59203202512676e-12
jupiter_europa,L2,0.0015,1.020420927693606,3.090776507502899e-05,3.190577214512705,3.003600333724717,1.020420927693606,1.020446100668077,7.849632243993141e-06,0.001500000000030902,3.117655622721571e-12,1272.205600270363,2.48466985276251e-14
jupiter_europa,L2,0.002,1.020389477972192,5.496713880978253e-05,3.191526616858675,3.003593543065518,1.020389477972192,1.020434250606397,1.39676149201635e-05,0.002000000000053533,4.039170334995631e-12,1267.695382836969,5.558610899745939e-14
jupiter_europa,L2,0.0025,1.020349018122657,8.59263039549252e-05,3.192751313349184,3.003584813251027,1.020349018122657,1.020419016919282,2.184998125559791e-05,0.002500000000057926,3.492518434961905e-12,1261.915195617378,4.905667968566199e-14
jupiter_europa,L2,0.003,1.020299529883359,0.0001238044713627314,3.194254356021136,3.003574145085259,1.020299529883359,1.020400401313762,3.150909378616776e-05,0.003000000000102154,5.133096284997829e-12,1254.878995777954,4.398090539055868e-14
jupiter_europa,L2,0.0035,1.020240991059034,0.000168625058977662,3.196039502778754,3.003561539583853,1.020240991059034,1.02037840601874,4.296014108497424e-05,0.003500000000048036,2.06629511084924e-12,1246.603797293337,2.545216613970314e-14
jupiter_europa,L2,0.004,1.020173375601175,0.0002204156501530762,3.198111234103547,3.00354699799452,1.020173375601175,1.020353033874772,5.622118465760784e-05,0.004000000000036088,1.354461846440828e-12,1237.109642995475,3.203316652894832e-14
jupiter_europa,L2,0.004500000000000001,1.020096653708424,0.0002792079395755765,3.200474772909707,3.003530521821861,1.020096653708424,1.020324288440418,7.13132140712845e-05,0.004500000000048337,1.611681266299476e-12,1226.419572918612,3.377630789902658e-14
jupiter_europa,L2,0.005000000000000001,1.020010791949744,0.0003450376649056149,3.203136107589557,3.003512112856845,1.020010791949744,1.020292174120012,8.826020999651266e-05,0.005000000000000858,2.268931146832938e-14,1214.559586599124,1.659999362137118e-14
jupiter_europa,L2,0.0055,1.019915753413851,0.0004179445209384669,3.206102018290686,3.00349177321137,1.019915753413851,1.020256696313254,0.0001070892148740302,0.00550000000012184,3.31826955772976e-12,1201.558600015972,1.870289091965865e-14
jupiter_europa,L2,0.006,1.019811497888966,0.0004979720528051972,3.209380106460662,3.003469505358352,1.019811497888966,1.020217861586566,0.0001278304107875642,0.006000000000072215,1.802255946498767e-12,1187.448398205456,1.613821261590715e-14
jupiter_europa,L2,0.01,1.018639940956787,0.00140089565177767,3.248055412927884,3.003222406225677,1.018639940956787,1.019787692927613,0.0003673281371514836,0.0100000000004599,6.857644416967452e-12,1039.348001396884,5.827470036517461e-14
jupiter_europa,L2,0.014,1.016849852144013,0.002793492965001211,3.314298749189225,3.002855438374828,1.016849852144013,1.019154242154486,0.0007580435891080159,0.01400000002081095,2.130305350249023e-10,846.8188472511974,3.859095049666486e-12
jupiter_europa,L2,0.018,1.014429814467755,0.004700743110318857,3.420049422034207,3.002377502573152,1.014429814467755,1.018350132887425,0.001341813860383122,0.01800000000848797,6.380862838424282e-11,641.2955133593402,3.012159166899413e-12
jupiter_europa,L2,0.022,1.01144757100365,0.007085494923794822,3.582504889649273,3.001810762612315,1.01144757100365,1.017457644974674,0.002167940293634831,0.02200000000010325,6.349474517956184e-13,456.6221734717403,1.253144953162574e-14
jupiter_europa,L2,0.026,1.008170827386472,0.009728979873157538,3.815453607399165,3.001200005596151,1.008170827386315,1.016630042532115,0.003246290598463422,0.026,3.975213360387074e-13,319.2531488677569,4.137335627881215e-15
jupiter_europa,L2,0.03,1.005087959618065,0.01218350136303542,4.106680334744648,3.000604265600973,1.005087959617999,1.016025795186662,0.004462548478027809,0.03,1.53697822562343e-13,236.4473059129673,1.566245092073e-14
jupiter_europa,L2,0.034,1.002598593227316,0.01405471194123202,4.412889748387009,3.000058683056178,1.002598593227177,1.015668355238105,0.005607164677228373,0.034,3.057716705467593e-13,195.9656197230815,1.323629590506231e-14
jupiter_europa,L2,0.038,1.000760061861497,0.0152797301002027,4.694166010598914,2.999558491032756,1.000760061861391,1.015461071698948,0.006535571413199776,0.038,2.286460513669602e-13,180.8495148803124,5.437096573795461e-15
jupiter_europa,L2,0.042,0.9994299450668671,0.0160074186331431,4.934526780547244,2.999082737321876,0.9994299450668374,1.015310500106113,0.007229370394376114,0.04200000000000773,6.704962367068669e-14,179.367582357269,1.826156731052516e-14
jupiter_europa,L2,0.04600000000000001,0.9984493167291302,0.01640833830693951,5.133977223778206,2.998612879858284,0.9984493167289138,1.015168199300405,0.007726803631084024,0.04600000000000001,4.860710337210717e-13,185.0238688654703,3.749347320878208e-15
jupiter_europa,L2,0.05,0.9976996711977154,0.01660978626954062,5.298132657955114,2.998136355382706,0.9976996711976451,1.015016416594595,0.008077455961495505,0.05,1.636124673829332e-13,194.323709110151,2.631688022760561e-14
