branch,time_index,curve_index,time_nd,time_days,base_x,base_y,base_z,manifold_x,manifold_y,manifold_z,state_separation_norm,position_separation_norm,eigenvalue_real,eigenvalue_imag,eigenvalue_abs,perturbation_scale,mean_state_growth,expected_growth,mapping_time_days,base_family,base_orbit_amplitude_nd,mode_amplitude_nd
stable,0,0,0,0,0.8379215965853849,6.604302379347148e-08,-3.43298350410763e-09,0.8379216257313357,7.978277826051705e-08,-3.431973334341904e-09,1.000000000159072e-07,3.222215541783697e-08,0.0003739648034724017,0,0.0003739648034724017,1e-07,2674.881212258088,2674.048441764116,11.68773098131841,planar_lyapunov,0.001,1e-05
stable,0,1,0,0,0.8379215966280579,6.60431777567364e-08,6.402042322477913e-06,0.8379216257740086,7.97829322196285e-08,6.402042675357684e-06,1.000000000112431e-07,3.222215540216368e-08,0.0003739648034724017,0,0.0003739648034724017,1e-07,2674.881212258088,2674.048441764116,11.68773098131841,planar_lyapunov,0.001,1e-05
stable,0,2,0,0,0.8379215966857136,6.604354382334884e-08,9.81193082160993e-06,0.8379216258316644,7.978329831370178e-08,9.811930352083302e-06,1.000000000045778e-07,3.222215541536177e-08,0.0003739648034724017,0,0.0003739648034724017,1e-07,2674.881212258088,2674.048441764116,11.68773098131841,planar_lyapunov,0.001,1e-05
stable,0,3,0,0,0.8379215966630988,6.604349923217699e-08,8.630707821141652e-06,0.8379216258090496,7.97832537362678e-08,8.630706748905363e-06,1.000000000065997e-07,3.222215543563889e-08,0.0003739648034724017,0,0.0003739648034724017,1e-07,2674.881212258088,2674.048441764116,11.68773098131841,planar_lyapunov,0.001,1e-05
stable,0,4,0,0,0.8379215965975657,6.604309866130012e-08,3.411080785619926e-06,0.8379216257435165,7.978285314267136e-08,3.411079612385232e-06,1.000000000143305e-07,3.222215542947025e-08,0.0003739648034724017,0,0.0003739648034724017,1e-07,2674.881212258088,2674.048441764116,11.68773098131841,planar_lyapunov,0.001,1e-05
stable,0,5,0,0,0.8379215965974302,6.604305622869193e-08,-3.404628912821576e-06,0.8379216257433809,7.978281068845732e-08,-3.404629638085113e-06,1.00000000014848e-07,3.222215540706035e-08,0.0003739648034724017,0,0.0003739648034724017,1e-07,2674.881212258088,2674.048441764116,11.68773098131841,planar_lyapunov,0.001,1e-05
stable,0,6,0,0,0.8379215966629233,6.604336231725846e-08,-8.627274925419702e-06,0.8379216258088741,7.978311679223434e-08,-8.627274863353212e-06,1.000000000070681e-07,3.222215540544379e-08,0.0003739648034724017,0,0.0003739648034724017,1e-07,2674.881212258088,2674.048441764116,11.68773098131841,planar_lyapunov,0.001,1e-05
stable,0,7,0,0,0.8379215966857828,6.604361044912173e-08,-9.813123044847141e-06,0.8379216258317336,7.978336495099988e-08,-9.813122224492223e-06,1.000000000039792e-07,3.222215542729818e-08,0.0003739648034724017,0,0.0003739648034724017,1e-07,2674.881212258088,2674.048441764116,11.68773098131841,planar_lyapunov,0.001,1e-05
stable,0,8,0,0,0.8379215966282626,6.604328567528318e-08,-6.407301884257397e-06,0.8379216257742134,7.978304017125198e-08,-6.407300689467256e-06,1.00000000010802e-07,3.222215543648681e-08,0.0003739648034724017,0,0.0003739648034724017,1e-07,2674.881212258088,2674.048441764116,11.68773098131841,planar_lyapunov,0.001,1e-05
stable,1,0,-0.1170341355548276,-0.5081622165790614,0.8378855372538032,0.000966802807846033,2.628233996880195e-06,0.837885578402674,0.0009668220841977478,2.628235130566192e-06,1.409535499936626e-07,4.544015076063951e-08,0.0003739648034724017,0,0.0003739648034724017,1e-07,2674.881212258088,2674.048441764116,11.68773098131841,planar_lyapunov,0.001,1e-05
stable,1,1,-0.1170341355548276,-0.5081622165790614,0.8378855373178022,0.000966802818143823,8.191298496452802e-06,0.8378855784666733,0.0009668220944955384,8.191298549490327e-06,1.409535497362349e-07,4.544015104841697e-08,0.0003739648034724017,0,0.0003739648034724017,1e-07,2674.881212258088,2674.048441764116,11.68773098131841,planar_lyapunov,0.001,1e-05
stable,1,2,-0.1170341355548276,-0.5081622165790614,0.8378855373481643,0.000966802825507178,9.921563335589409e-06,0.8378855784970352,0.0009668221018589265,9.921562283161582e-06,1.409535501863671e-07,4.544015087348037e-08,0.0003739648034724017,0,0.0003739648034724017,1e-07,2674.881212258088,2674.048441764116,11.68773098131841,planar_lyapunov,0.001,1e-05
stable,1,3,-0.1170341355548276,-0.5081622165790614,0.8378855372947575,0.0009668028177620478,7.009418428528854e-06,0.8378855784436283,0.0009668220941138033,7.009416763078363e-06,1.409535500600688e-07,4.544015089484907e-08,0.0003739648034724017,0,0.0003739648034724017,1e-07,2674.881212258088,2674.048441764116,11.68773098131841,planar_lyapunov,0.001,1e-05
stable,1,4,-0.1170341355548276,-0.5081622165790614,0.8378855372458143,0.000966802807686856,8.174887911336733e-07,0.8378855783946855,0.0009668220840385868,8.174872919432861e-07,1.409535505444716e-07,4.544015118018577e-08,0.0003739648034724017,0,0.0003739648034724017,1e-07,2674.881212258088,2674.048441764116,11.68773098131841,planar_lyapunov,0.001,1e-05
stable,1,5,-0.1170341355548276,-0.5081622165790614,0.8378855372822375,0.0009668028119774574,-5.7569529948099e-06,0.8378855784311086,0.0009668220883291656,-5.756953626252325e-06,1.409535501132058e-07,4.544015104969176e-08,0.0003739648034724017,0,0.0003739648034724017,1e-07,2674.881212258088,2674.048441764116,11.68773098131841,planar_lyapunov,0.001,1e-05
stable,1,6,-0.1170341355548276,-0.5081622165790614,0.8378855373438375,0.0009668028234809525,-9.637652488657232e-06,0.8378855784927085,0.0009668220998326816,-9.63765195689276e-06,1.409535498478077e-07,4.54401509567551e-08,0.0003739648034724017,0,0.0003739648034724017,1e-07,2674.881212258088,2674.048441764116,11.68773098131841,planar_lyapunov,0.001,1e-05
stable,1,7,-0.1170341355548276,-0.5081622165790614,0.8378855373287809,0.0009668028232590691,-9.008787219105027e-06,0.8378855784776519,0.0009668220996108297,-9.008785772952172e-06,1.409535504769839e-07,4.544015098999392e-08,0.0003739648034724017,0,0.0003739648034724017,1e-07,2674.881212258088,2674.048441764116,11.68773098131841,planar_lyapunov,0.001,1e-05
stable,1,8,-0.1170341355548276,-0.5081622165790614,0.8378855372619953,0.0009668028116043508,-4.164610346013369e-06,0.8378855784108664,0.0009668220879560947,-4.164608662143142e-06,1.409535501624057e-07,4.544015109163577e-08,0.0003739648034724017,0,0.0003739648034724017,1e-07,2674.881212258088,2674.048441764116,11.68773098131841,planar_lyapunov,0.001,1e-05
stable,2,0,-0.2340682711096552,-1.016324433158123,0.8377798366410969,0.00186145535989764,5.073472680042667e-06,0.8377798947368329,0.001861482367629452,5.073473753629509e-06,1.986111911123925e-07,6.406662251198727e-08,0.0003739648034724017,0,0.0003739648034724017,1e-07,2674.881212258088,2674.048441764116,11.68773098131841,planar_lyapunov,0.001,1e-05
stable,2,1,-0.2340682711096552,-1.016324433158123,0.8377798367067039,0.001861455382628922,9.39944593182578e-06,0.8377798948024402,0.001861482390360733,9.399445373345953e-06,1.98611191344996e-07,6.406662280699487e-08,0.0003739648034724017,0,0.0003739648034724017,1e-07,2674.881212258088,2674.048441764116,11.68773098131841,planar_lyapunov,0.001,1e-05
stable,2,2,-0.2340682711096552,-1.016324433158123,0.8377798366997258,0.001861455388907679,9.327313911151776e-06,0.8377798947954618,0.001861482396639531,9.327311981924175e-06,1.986111911507618e-07,6.406662254922448e-08,0.0003739648034724017,0,0.0003739648034724017,1e-07,2674.881212258088,2674.048441764116,11.68773098131841,planar_lyapunov,0.001,1e-05
stable,2,3,-0.2340682711096552,-1.016324433158123,0.83777983663176,0.001861455368369272,4.890828077769595e-06,0.8377798947274959,0.001861482376101119,4.890825680501264e-06,1.986111916191918e-07,6.406662246215906e-08,0.0003739648034724017,0,0.0003739648034724017,1e-07,2674.881212258088,2674.048441764116,11.68773098131841,planar_lyapunov,0.001,1e-05
stable,2,4,-0.2340682711096552,-1.016324433158123,0.8377798366150868,0.001861455354931215,-1.834130538819802e-06,0.8377798947108231,0.001861482362663057,-1.834132282420399e-06,1.986111925797727e-07,6.406662284163305e-08,0.0003739648034724017,0,0.0003739648034724017,1e-07,2674.881212258088,2674.048441764116,11.68773098131841,planar_lyapunov,0.001,1e-05
stable,2,5,-0.2340682711096552,-1.016324433158123,0.837779836677285,0.001861455370838651,-7.700879149950766e-06,0.8377798947730214,0.001861482378570459,-7.700879424033511e-06,1.986111921442975e-07,6.406662290509092e-08,0.0003739648034724017,0,0.0003739648034724017,1e-07,2674.881212258088,2674.048441764116,11.68773098131841,planar_lyapunov,0.001,1e-05
stable,2,6,-0.2340682711096552,-1.016324433158123,0.8377798367155638,0.001861455389760703,-9.964300793217445e-06,0.8377798948112998,0.001861482397492527,-9.96429946953597e-06,1.986111909817003e-07,6.406662252187674e-08,0.0003739648034724017,0,0.0003739648034724017,1e-07,2674.881212258088,2674.048441764116,11.68773098131841,planar_lyapunov,0.001,1e-05
stable,2,7,-0.2340682711096552,-1.016324433158123,0.8377798366666295,0.001861455380467385,-7.565315324588004e-06,0.8377798947623656,0.001861482388199255,-7.565313022507594e-06,1.986111921905252e-07,6.406662266952517e-08,0.0003739648034724017,0,0.0003739648034724017,1e-07,2674.881212258088,2674.048441764116,11.68773098131841,planar_lyapunov,0.001,1e-05
stable,2,8,-0.2340682711096552,-1.016324433158123,0.8377798366114086,0.001861455358280759,-1.626434794214427e-06,0.8377798947071448,0.001861482366012596,-1.626432590904104e-06,1.98611191899222e-07,6.40666226527063e-08,0.0003739648034724017,0,0.0003739648034724017,1e-07,2674.881212258088,2674.048441764116,11.68773098131841,planar_lyapunov,0.001,1e-05
stable,3,0,-0.3511024066644828,-1.524486649737184,0.8376117769889957,0.002617409158678249,7.159347489179134e-06,0.8376118590001335,0.002617446964239007,7.159348155127461e-06,2.79761884981218e-07,9.030552110981839e-08,0.0003739648034724017,0,0.0003739648034724017,1e-07,2674.881212258088,2674.048441764116,11.68773098131841,planar_lyapunov,0.001,1e-05
stable,3,1,-0.3511024066644828,-1.524486649737184,0.837611777035797,0.002617409190758601,9.94173734396742e-06,0.8376118590469352,0.002617446996319352,9.941735720453657e-06,2.797618852552701e-07,9.030552152235227e-08,0.0003739648034724017,0,0.0003739648034724017,1e-07,2674.881212258088,2674.048441764116,11.68773098131841,planar_lyapunov,0.001,1e-05
stable,3,2,-0.3511024066644828,-1.524486649737184,0.8376117769923166,0.002617409186764965,8.072277751109542e-06,0.8376118590034546,0.002617446992325762,8.072274597793817e-06,2.797618849338379e-07,9.030552138040746e-08,0.0003739648034724017,0,0.0003739648034724017,1e-07,2674.881212258088,2674.048441764116,11.68773098131841,planar_lyapunov,0.001,1e-05
stable,3,3,-0.3511024066644828,-1.524486649737184,0.8376117769305023,0.002617409153330639,2.425709733771546e-06,0.83761185894164,0.002617446958891427,2.425706526125334e-06,2.797618852127927e-07,9.03055211772211e-08,0.0003739648034724017,0,0.0003739648034724017,1e-07,2674.881212258088,2674.048441764116,11.68773098131841,planar_lyapunov,0.001,1e-05
