gate_id,route_h_member,phase_index,time_of_flight,uncorrected_position_defect,corrected_position_defect,velocity_delta_norm,nfev,optimizer_success,integration_success,correction_acceptance,threshold,evidence_artifact,notes
C5-BCR4BP-SEGMENT-CORRECTION,54,0,0.05,1.11962393517799e-05,3.879968085878723e-13,0.0002233400838615992,6,true,true,true,corrected_position_defect <= 1e-09; velocity_delta_norm < 1e-2,data/computed/chapter3_fixed_mapping_cache_accepted_family.csv;src/qp_orbits/bcr4bp.py,Route H max abs z 14573.10318409037 km; short-segment correction only.
C5-BCR4BP-SEGMENT-CORRECTION,54,15,0.05,1.132134298503878e-05,5.265493981325342e-13,0.0002258463426861683,6,true,true,true,corrected_position_defect <= 1e-09; velocity_delta_norm < 1e-2,data/computed/chapter3_fixed_mapping_cache_accepted_family.csv;src/qp_orbits/bcr4bp.py,Route H max abs z 14573.10318409037 km; short-segment correction only.
C5-BCR4BP-SEGMENT-CORRECTION,54,30,0.05,1.12477550636794e-05,4.517305112891082e-13,0.0002243649145576411,6,true,true,true,corrected_position_defect <= 1e-09; velocity_delta_norm < 1e-2,data/computed/chapter3_fixed_mapping_cache_accepted_family.csv;src/qp_orbits/bcr4bp.py,Route H max abs z 14573.10318409037 km; short-segment correction only.
