planar_mode_amplitude_nd,curve_residual_norm,torus_jacobi_span,max_abs_y_km,max_abs_z_km,paper_y_target_km,paper_z_target_km,y_target_error_km,z_target_error_km,geometry_valid,target_pair_accepted
1e-05,2.6461019815001973e-11,2.220446049250313e-15,1014643.8693651428,939484.2993694366,660000.0,940000.0,354643.8693651428,-515.7006305634277,true,false
0.0002,8.503486824176978e-11,6.217248937900877e-15,1016587.6789954761,938493.6063802491,660000.0,940000.0,356587.6789954761,-1506.3936197508592,true,false
0.0003,8.658684548626506e-14,3.3379876640537987e-09,2371320829.5608835,0.0010452297485877146,660000.0,940000.0,2370660829.5608835,-939999.9989547703,false,false
