member_index,max_abs_z_km,rho_rad,mapping_time_days,curve_samples,map_residual_norm,curve_jacobi_span,dg_dimension,determinant,determinant_error_from_one,stability_index,max_multiplier,min_multiplier,real_unstable_index,real_unstable_multiplier,real_stable_index,real_stable_multiplier,real_pair_reciprocity_error,unit_multiplier_count,dg_status
17,10969.67553863909,1.445863346020272,14.74932760227518,45,6.349847815210779e-10,1.998756715693162e-11,270,0.9999999999992788,7.212008767965017e-13,1.002077596050508,1.066571847781691,0.9375833443193177,0,1.066571847781691,268,0.9375833443193178,7.549516567451064e-15,262,route_h accepted source converted to discrete-curve DG
32,12673.16546258815,1.450574236769379,14.74932760227518,45,2.333302556696681e-12,4.448441615068077e-12,270,0.9999999999995626,4.374278717023117e-13,1.005081094839517,1.106016753572211,0.904145436106825,6,1.014199764792254,262,0.9859990454689538,5.551115123125783e-16,254,route_h accepted source converted to discrete-curve DG
68,13404.12772869574,1.457898497227294,14.74932760227518,45,8.692969725134689e-13,5.631495270108644e-12,270,1.000000000000239,2.391420395042587e-13,1.000148287888395,1.017370301884666,0.98292627389212,10,1.007329518481113,259,0.9927238124698577,3.441691376337985e-15,184,route_h accepted source converted to discrete-curve DG
