block_name,index,phase_rad,residual_size,l2_norm,rms_norm,max_abs,row_norm,entered_endpoint_residual,notes
A_map_invariance,summary,N/A,366,3.443747718188624e-09,1.800075768481922e-10,5.758493508423168e-10,7.890972080147777e-10,True,Phi_T(X_i) - I_rho[X](theta_i)
A_map_invariance_point,0,0,6,2.124650908175439e-10,8.673851010951169e-11,1.513041705814011e-10,2.124650908175439e-10,True,pointwise map residual
A_map_invariance_point,1,0.1030030378226162,6,2.312003176826796e-10,9.438713444865599e-11,1.675530374167788e-10,2.312003176826796e-10,True,pointwise map residual
A_map_invariance_point,2,0.2060060756452323,6,4.43541220071724e-10,1.810749448445374e-10,3.259285272227963e-10,4.43541220071724e-10,True,pointwise map residual
A_map_invariance_point,3,0.3090091134678485,6,6.596832255838857e-10,2.693145490923083e-10,4.844284140492761e-10,6.596832255838857e-10,True,pointwise map residual
A_map_invariance_point,4,0.4120121512904646,6,6.575353031978164e-10,2.684376634501464e-10,4.789179816611089e-10,6.575353031978164e-10,True,pointwise map residual
A_map_invariance_point,5,0.5150151891130808,6,4.65560366225029e-10,1.900642236190981e-10,3.330231992948463e-10,4.65560366225029e-10,True,pointwise map residual
A_map_invariance_point,6,0.618018226935697,6,3.013367306829166e-10,1.230202051552702e-10,2.096967877118772e-10,3.013367306829166e-10,True,pointwise map residual
A_map_invariance_point,7,0.7210212647583132,6,2.885199694540092e-10,1.177877842942852e-10,2.010477721803294e-10,2.885199694540092e-10,True,pointwise map residual
A_map_invariance_point,8,0.8240243025809293,6,3.434535544942734e-10,1.402143264760243e-10,2.441069811565111e-10,3.434535544942734e-10,True,pointwise map residual
A_map_invariance_point,9,0.9270273404035454,6,3.256468635687744e-10,1.32944775346871e-10,2.350133386508357e-10,3.256468635687744e-10,True,pointwise map residual
A_map_invariance_point,10,1.030030378226162,6,2.659309972713563e-10,1.085658750173815e-10,1.953819675493129e-10,2.659309972713563e-10,True,pointwise map residual
A_map_invariance_point,11,1.133033416048778,6,3.250769868966241e-10,1.327121241696904e-10,2.416350661227362e-10,3.250769868966241e-10,True,pointwise map residual
A_map_invariance_point,12,1.236036453871394,6,5.543487575050083e-10,2.263119325721862e-10,4.097993264173816e-10,5.543487575050083e-10,True,pointwise map residual
A_map_invariance_point,13,1.33903949169401,6,7.656060738843568e-10,3.125573708320387e-10,5.611900909252565e-10,7.656060738843568e-10,True,pointwise map residual
A_map_invariance_point,14,1.442042529516626,6,7.422046837993238e-10,3.030037933353459e-10,5.390346259626089e-10,7.422046837993238e-10,True,pointwise map residual
A_map_invariance_point,15,1.545045567339242,6,5.046983310016384e-10,2.060422308313838e-10,3.618705265995281e-10,5.046983310016384e-10,True,pointwise map residual
A_map_invariance_point,16,1.648048605161859,6,2.897749893812465e-10,1.18300144034078e-10,2.041609277469991e-10,2.897749893812465e-10,True,pointwise map residual
A_map_invariance_point,17,1.751051642984475,6,2.812258925333396e-10,1.1480998986091e-10,1.989923677225836e-10,2.812258925333396e-10,True,pointwise map residual
A_map_invariance_point,18,1.854054680807091,6,3.863791948519849e-10,1.577386457691266e-10,2.777618343663413e-10,3.863791948519849e-10,True,pointwise map residual
A_map_invariance_point,19,1.957057718629707,6,4.105992154492754e-10,1.676264277729701e-10,2.990350363163419e-10,4.105992154492754e-10,True,pointwise map residual
A_map_invariance_point,20,2.060060756452323,6,3.202041380812287e-10,1.307227919711163e-10,2.368634351157528e-10,3.202041380812287e-10,True,pointwise map residual
A_map_invariance_point,21,2.163063794274939,6,2.733931587489341e-10,1.116122896837679e-10,2.045118692450831e-10,2.733931587489341e-10,True,pointwise map residual
A_map_invariance_point,22,2.266066832097556,6,3.929159188886455e-10,1.604072521823274e-10,2.912114230313456e-10,3.929159188886455e-10,True,pointwise map residual
A_map_invariance_point,23,2.369069869920172,6,5.68602946635183e-10,2.321311809165286e-10,4.16860893026616e-10,5.68602946635183e-10,True,pointwise map residual
A_map_invariance_point,24,2.472072907742788,6,6.055017158016184e-10,2.471950403489465e-10,4.39366553556253e-10,6.055017158016184e-10,True,pointwise map residual
A_map_invariance_point,25,2.575075945565404,6,4.618617076459532e-10,1.885542525771809e-10,3.295515492440781e-10,4.618617076459532e-10,True,pointwise map residual
A_map_invariance_point,26,2.67807898338802,6,3.120977362103637e-10,1.274133672655227e-10,2.178859349888373e-10,3.120977362103637e-10,True,pointwise map residual
A_map_invariance_point,27,2.781082021210636,6,3.130051507371886e-10,1.27783817694841e-10,2.207880579752075e-10,3.130051507371886e-10,True,pointwise map residual
A_map_invariance_point,28,2.884085059033253,6,4.000418905416124e-10,1.633164179275451e-10,2.816966764018769e-10,4.000418905416124e-10,True,pointwise map residual
