member,target_y_support_nd,target_z_support_nd,combined_metric,map_residual,max_abs_y_km,max_abs_z_km,jacobi_span
identity,0.001381181956288233,1.7075662204710197e-05,1.8851592501851965e-09,1.8851592501851965e-09,1117501.3467147257,935663.4516908167,1.310879239824203e-06
y_support_minus_0.1pct,0.0013798007743319447,1.7075662204710197e-05,6.917140651622836e-09,6.917140651622836e-09,1117555.136991365,935690.0995727617,1.3456206016115857e-06
