eigen_index,real,imag,magnitude,angle_rad,classification
0,1.6492550693282806,1.6600816090143515,2.340066929019918,0.7886696652462646,unstable
1,1.6492550693282806,-1.6600816090143515,2.340066929019918,-0.7886696652462646,unstable
2,-2.34006458997663,0.0,2.34006458997663,3.141592653589793,unstable
3,-1.542431931380022,1.7597744237035426,2.3400645899764907,2.290471926215204,unstable
4,-1.542431931380022,-1.7597744237035426,2.3400645899764907,-2.290471926215204,unstable
5,-0.8990403322861227,2.160469570761044,2.340064589976429,1.9651317106569168,unstable
6,-0.8990403322861227,-2.160469570761044,2.340064589976429,-1.9651317106569168,unstable
7,-2.023997858434619,-1.174450916093808,2.3400645899764196,-2.6158121417736284,unstable
8,-2.023997858434619,1.174450916093808,2.3400645899764196,2.6158121417736284,unstable
9,1.0321213303440584,2.1001494815154635,2.340064589976281,1.114010983282475,unstable
10,1.0321213303440584,-2.1001494815154635,2.340064589976281,-1.114010983282475,unstable
11,0.3067051065396651,2.3198780706932,2.340064589976249,1.4393511988409682,unstable
12,0.3067051065396651,-2.3198780706932,2.340064589976249,-1.4393511988409682,unstable
13,-2.217309570067706,-0.7479575895375763,2.3400645899762464,-2.816252438031599,unstable
14,-2.217309570067706,0.7479575895375763,2.3400645899762464,2.816252438031599,unstable
15,2.2596667900345775,-0.6081186424335137,2.3400645899761723,-0.2628902559080761,unstable
16,2.2596667900345775,0.6081186424335137,2.3400645899761723,0.2628902559080761,unstable
17,2.335502949818359,-0.14604196879555026,2.340064589976084,-0.062449959650288545,unstable
18,2.335502949818359,0.14604196879555026,2.340064589976084,0.062449959650288545,unstable
19,-0.45088936706204885,2.2962145073860345,2.340064589976034,1.7646914143993606,unstable
20,-0.45088936706204885,-2.2962145073860345,2.340064589976034,-1.7646914143993606,unstable
21,1.4295987463288098,1.8526061939210572,2.3400645899760053,0.9135706870247411,unstable
22,1.4295987463288098,-1.8526061939210572,2.3400645899760053,-0.9135706870247411,unstable
23,1.9467555999407558,1.2984779240931377,2.340064589975652,0.5882304714662931,unstable
24,1.9467555999407558,-1.2984779240931377,2.340064589975652,-0.5882304714662931,unstable
25,0.38436377041944286,-0.923181735094825,1.0000000120118708,-1.1762777786676062,unit
26,0.38436377041944286,0.923181735094825,1.0000000120118708,1.1762777786676062,unit
27,-0.13124854680783635,0.9913495049396143,1.0000000109915934,1.7024246420073403,unit
28,-0.13124854680783635,-0.9913495049396143,1.0000000109915934,-1.7024246420073403,unit
29,-0.8320255057928536,-0.5547373955968413,1.0000000101817101,-2.5535453480837966,unit
30,-0.8320255057928536,0.5547373955968413,1.0000000101817101,2.5535453480837966,unit
31,0.6590029864729392,-0.7521403341634694,1.0000000092278942,-0.8513039135795869,unit
32,0.6590029864729392,0.7521403341634694,1.0000000092278942,0.8513039135795869,unit
33,-0.6107777481297106,-0.7918020951586584,1.0000000077540205,-2.2278387907305066,unit
34,-0.6107777481297106,0.7918020951586584,1.0000000077540205,2.2278387907305066,unit
35,0.9476005752006698,-0.31945761103285564,1.0000000076837297,-0.32515704800874456,unit
36,0.9476005752006698,0.31945761103285564,1.0000000076837297,0.32515704800874456,unit
37,0.8648405374796404,-0.5020466704707005,1.0000000072993946,-0.5259636795586314,unit
38,0.8648405374796404,0.5020466704707005,1.0000000072993946,0.5259636795586314,unit
39,-0.9980391926993379,0.06259220157636516,1.0000000069310613,3.078959509773753,unit
40,-0.9980391926993379,-0.06259220157636516,1.0000000069310613,-3.078959509773753,unit
41,-0.9655953004992959,0.26004946955906866,1.0000000054821392,2.87851922032379,unit
42,-0.9655953004992959,-0.26004946955906866,1.0000000054821392,-2.87851922032379,unit
43,-0.44090090833105133,-0.8975557887813244,1.0000000024710058,-2.0273984870110064,unit
