case_id,family,operation,parameter_policy,predictor_policy,previous_member,current_member,target_member,state_fraction,rho_fraction,mapping_time_days,target_jacobi,converged,accepted,map_residual_max_norm,map_residual_rms_norm,curve_jacobi_span,phase_residual,palc_constraint_residual,max_abs_z_km,target_max_abs_z_km,amplitude_error_km,rho,target_rho,rho_error,mean_jacobi,target_mean_jacobi,mean_jacobi_error,fourier_tail_energy_state,condition_estimate,rank_estimate,correction_steps,max_correction_norm,failure_reason,diagnosis
endpoint_member_0,chapter3_corrected_vertical_stroboscopic_torus_family,endpoint_BVP_reproduction,member_own_T_and_J,none,N/A,0,0,N/A,N/A,12.02451447328446,3.188341060505394,True,True,2.198293511726119e-10,1.549340959578163e-10,1.496580637194711e-13,0,N/A,38.41428742934671,38.41428742934671,0,0.1815444093369128,0.1815444093369128,0,3.188341060505394,3.188341060505394,0,2.545998254594592e-29,1548022108954.575,67,0,0,,Known member endpoint residual is reproducible with the BVP assembly.
endpoint_member_1,chapter3_corrected_vertical_stroboscopic_torus_family,endpoint_BVP_reproduction,member_own_T_and_J,none,N/A,1,1,N/A,N/A,12.02451542914163,3.188340996242083,True,True,2.849749367637184e-10,2.189156792941333e-10,1.48769885299771e-13,0,N/A,57.6237572289352,57.6237572289352,0,0.1815447974938734,0.1815447974938734,0,3.188340996242083,3.188340996242083,0,2.099082253023996e-29,1625326778214.228,67,0,0,,Known member endpoint residual is reproducible with the BVP assembly.
endpoint_member_2,chapter3_corrected_vertical_stroboscopic_torus_family,endpoint_BVP_reproduction,member_own_T_and_J,none,N/A,2,2,N/A,N/A,12.02451676741847,3.188340906258796,True,True,3.897854251985743e-10,3.086109199755908e-10,1.483257960899209e-13,0,N/A,76.83548631349832,76.83548631349832,0,0.1815453417433415,0.1815453417433415,0,3.188340906258796,3.188340906258796,0,2.356574210033032e-29,1739387894920.604,67,0,0,,Known member endpoint residual is reproducible with the BVP assembly.
existing_full_secant_current_parameters,chapter3_corrected_vertical_stroboscopic_torus_family,known_neighbor_PALC_reproduction,current_T_and_secant_J,full_single_secant,0,1,2,1,1,12.02451542914163,3.188340931978772,False,False,3.010133652490457e-05,1.951590549868595e-05,3.042011087472929e-13,-4.218837638545777e-18,-9.07036761237795e-17,74.86680634000057,76.83548631349832,-1.968679973497757,0.1887760450314879,0.1815453417433415,0.007230703288146428,3.188340922413519,3.188340906258796,1.615472333682533e-08,3.431786249505093e-27,5386887009.58145,67,5,0.0025,maximum iterations reached,Reproduces the previous smaller-family PALC failure policy.
z_state_rho_matched_current_parameters,chapter3_corrected_vertical_stroboscopic_torus_family,known_neighbor_PALC_reproduction,current_T_and_target_J,z_amplitude_state_fraction_plus_rho_fraction,0,1,2,1.000117613083453,1.402137597277745,12.02451542914163,3.188340906258796,False,False,3.499691537581275e-07,3.3543571975349e-07,6.839551147663769e-11,-1.864249335801619e-18,-1.111629364015395e-16,76.80716965628119,76.83548631349832,-0.0283166572171325,0.1816168477667287,0.1815453417433415,7.150602338715228e-05,3.188340905914614,3.188340906258796,-3.441815721316743e-10,2.174377342193119e-31,12942249714.91245,67,5,0.0009181826594506778,maximum iterations reached,Tests component-aware prediction while retaining current mapping time.
z_state_rho_matched_target_parameters,chapter3_corrected_vertical_stroboscopic_torus_family,known_neighbor_PALC_reproduction,target_T_and_target_J,z_amplitude_state_fraction_plus_rho_fraction,0,1,2,1.000117613083453,1.402137597277745,12.02451676741847,3.188340906258796,True,True,8.064093604852799e-09,6.599586879874147e-09,3.895106459594899e-12,4.402558930193546e-20,-3.326360587849701e-17,76.82710637374511,76.83548631349832,-0.008379939753211829,0.1815673834676947,0.1815453417433415,2.204172435316121e-05,3.188340906258706,3.188340906258796,-8.970602038971265e-14,6.595103464646776e-31,1401437846247.492,67,1,2.205870220342392e-05,,Tests whether parameter-aware prediction can reproduce the known neighbor.
target_state_predictor_target_parameters,chapter3_corrected_vertical_stroboscopic_torus_family,known_neighbor_PALC_reproduction,target_T_and_target_J,known_target_state_and_rho_control,0,1,2,N/A,N/A,12.02451676741847,3.188340906258796,True,True,3.897854251985743e-10,3.086109199755908e-10,1.483257960899209e-13,8.04156373727851e-10,0,76.83548631349832,76.83548631349832,0,0.1815453417433415,0.1815453417433415,0,3.188340906258796,3.188340906258796,0,2.356574210033032e-29,1737058731196.398,67,0,0,,"Control case: the target member is accepted when the predictor and external parameters are already aligned, isolating the prior failure to predictor/parameter policy rather than residual assembly."
