resonance,initial_state_x,initial_state_y,initial_state_z,initial_state_xdot,initial_state_ydot,initial_state_zdot,period_nd,period_days,jacobi,bifurcation_initial_state_x,bifurcation_initial_state_y,bifurcation_initial_state_z,bifurcation_initial_state_xdot,bifurcation_initial_state_ydot,bifurcation_initial_state_zdot,bifurcation_period_nd,bifurcation_jacobi,floquet_multiplier_real,floquet_multiplier_imag,floquet_multiplier_abs,resonance_angle_rad,target_resonance_angle_rad,resonance_angle_error_rad,frequency_ratio,bifurcation_periodicity_error,bifurcation_monodromy_multipliers,corrected_monodromy_multipliers,corrected_max_multiplier_abs,corrected_min_multiplier_abs,multiple_shooting_residual_norm,max_continuity_residual,continuity_residual_norm,terminal_symmetry_residual_norm,orbit_closure_error,trajectory_closure_error,trajectory_jacobi_drift,segments,segment_duration_nd
2,0.9598956521365299,0,0.08772986423740854,0,-0.4351783803935454,0,5.335864704158522,23.1683245454563,3.020232844274307,0.9570571305928829,0,0.08191287517640572,0,-0.4507178337404035,0,2.66978903073498,3.021736289187076,-0.9999230430115722,0.01240596850617466,1.000000000000049,3.12918636683183,3.141592653589793,-0.01240628675796263,2.007929401003062,7.944725650962567e-14,51.13063028540466+0j;0.9999999999983131+1.798565233188805e-06j;0.9999999999983131-1.798565233188805e-06j;0.01955774834810209+0j;-0.9999230430115722+0.01240596850617466j;-0.9999230430115722-0.01240596850617466j,2351.097490613091+0j;0.0004253332804542575+0j;1.066765376679886+0j;0.9374132511284498+0j;0.9999999867687327+0.0001628172459566358j;0.9999999867687327-0.0001628172459566358j,2351.097490613091,0.0004253332804542575,1.750443371626621e-13,8.042860998740656e-14,9.165417675954688e-14,1.491309218614485e-13,2.178494651128851e-10,0,7.549516567451064e-15,4,0.6669830880198152
3,0.9275698530903669,0,0.095,0,-0.3324503959027641,0,8.347211146187592,36.24359079674652,3.057623496375841,0.9259901963251986,0,0.08428457367420197,0,-0.358516992502475,0,2.772720589389137,3.058886414596194,-0.5000000055645306,0.8660254005717388,0.9999999999999857,2.09439510881857,2.094395102393195,6.425374898810787e-09,2.999999990796329,3.272095760502148e-13,191.343728500129+0j;-0.5000000055645306+0.8660254005717388j;-0.5000000055645306-0.8660254005717388j;0.005226196896117657+0j;0.9999988859897726+0j;1.000001114011547+0j,6784874.074025229+0j;1.508576898816541e-07+0j;0.9999918441209735+0.004031639978726953j;0.9999918441209735-0.004031639978726953j;0.9999998355790608+0.0006105004055003088j;0.9999998355790608-0.0006105004055003088j,6784874.074025229,1.508576898816541e-07,4.062406668947567e-15,2.645466382353582e-15,3.710320576673796e-15,1.654288113425438e-15,5.188337924828195e-09,0,1.77635683940025e-15,6,0.695600928848966
8,0.8820346761513692,0,0.0805,0,-0.1933286110780664,0,22.40374044716214,97.277041021578,3.123983243559644,0.8805003937190202,0,0.05985737323760987,0,-0.2280361398819504,0,2.774654212719289,3.129331071749335,0.7071067839934867,0.7071067783795473,0.9999999999999568,0.7853981594277937,0.7853981633974483,-3.969654605029405e-09,8.000000040434569,1.037408868359608e-12,1024.326890566666+0j;0.0009762508521208281+0j;0.7071067839934867+0.7071067783795473j;0.7071067839934867-0.7071067783795473j;0.9999992379304962+0j;1.000000762070357+0j,-3.431052642945378e+16+0j;-19.97070437522114+0j;16.8505734945243+0j;3.496018178645103+0j;-3.210321414989015+0j;-0.2411445007423285+0j,3.431052642945378e+16,0.2411445007423285,8.407693502685856e-15,4.0044467337601e-15,8.355144048460893e-15,9.38550991994836e-16,3.906984451743337,0,2.220446049250313e-15,16,0.7001168889738169
