attempt_id,pair_label,step_scale,anchor_index,anchor_sign,previous_max_abs_z_km,current_max_abs_z_km,predicted_max_abs_z_km,solved_max_abs_z_km,delta_max_abs_z_km,previous_rho_rad,current_rho_rad,predicted_rho_rad,solved_rho_rad,delta_rho_rad,predicted_target_jacobi,solved_mean_jacobi,coordinate_residual,coordinate_scale_amplitude_km,coordinate_scale_rho_rad,coordinate_scale_jacobi,converged,coordinate_palc_acceptance,map_residual_max,jacobi_mean_span,jacobi_one_map_drift,jacobi_ten_return_span,phase_return_error,condition_number,raw_condition_number,gate_1_residual,gate_2_jacobi,gate_3_phase,original_gate_4_rho_monotone,turn_gate_4_amplitude_monotone,gate_5_amplitude,gate_6_mapping_time,gate_7_condition,failed_gates,failure_reason,newton_iterations,max_newton_steps,max_correction_norm
pair_1_scale_1,stage_10_step_2km->stage_11_step_1km,1,46,-1,10292.24671170377,10293.24671170369,10294.2467117036,10293.6700366544,0.4233249507142318,1.444149057268438,1.444148981855988,1.444148906443538,1.444148878346243,-1.035097449975098e-07,2.922282411782579,2.922282411136512,-4.56066069076666e-08,1,1e-07,1.771082391854861e-09,False,False,4.448897446223525e-14,5.170885941652159e-11,5.170974759494129e-11,3.996802888650564e-15,1.183215219549728e-14,13911793.23278757,2776746451348136,False,False,False,False,True,True,True,True,converged; gate_1_residual; gate_2_jacobi; gate_3_phase,maximum iterations reached,80,80,0.02
pair_1_scale_0.5,stage_10_step_2km->stage_11_step_1km,0.5,46,-1,10292.24671170377,10293.24671170369,10293.74671170365,10293.61606864556,0.3693569418737752,1.444149057268438,1.444148981855988,1.444148944149763,1.444148937756689,-4.409929910131893e-08,2.92228241266812,2.922282412522129,-3.806773833658905e-08,1,1e-07,1.771082391854861e-09,False,False,3.858851037399053e-14,5.522382551248484e-11,5.522471369090454e-11,4.440892098500626e-15,4.687858744549447e-15,18825388.50998503,3631864241482196,False,False,False,False,True,True,True,True,converged; gate_1_residual; gate_2_jacobi; gate_3_phase,maximum iterations reached,80,80,0.01664391210791763
pair_1_scale_0.25,stage_10_step_2km->stage_11_step_1km,0.25,46,-1,10292.24671170377,10293.24671170369,10293.49671170367,10293.50048198318,0.2537702794943471,1.444149057268438,1.444148981855988,1.444148963002875,1.44414896314191,-1.871407850906337e-08,2.922282413110891,2.922282413115711,-2.660031692223314e-08,1,1e-07,1.771082391854861e-09,False,False,3.493275260250115e-14,5.722977647337757e-11,5.723155283021697e-11,3.552713678800501e-15,1.414650992947712e-14,24099256.36787342,4526074137770580,False,False,False,False,True,True,True,True,converged; gate_1_residual; gate_2_jacobi; gate_3_phase,maximum iterations reached,80,80,0.0102685396647209
pair_1_scale_0.1,stage_10_step_2km->stage_11_step_1km,0.1,46,-1,10292.24671170377,10293.24671170369,10293.34671170368,10293.37441603805,0.1277043343616242,1.444149057268438,1.444148981855988,1.444148974314743,1.444148975629934,-6.226054116709179e-09,2.922282413376553,2.922282413408055,6.032471076139467e-08,1,1e-07,1.771082391854861e-09,False,False,4.949049606180031e-14,5.858158402816116e-11,5.858202811737101e-11,2.220446049250313e-15,1.264104098734489e-14,30065160.6064504,5500653647967781,False,False,False,False,True,True,True,True,converged; gate_1_residual; gate_2_jacobi; gate_3_phase,maximum iterations reached,80,80,0.004657961140396741
pair_2_scale_1,stage_9_step_2km->stage_10_step_2km,1,46,-1,10290.24671170377,10292.24671170377,10294.24671170377,10293.51216881914,1.265457115372556,1.444149173149763,1.444149057268438,1.444148941387114,1.444148919570412,-1.376980267586703e-07,2.922282412587436,2.922282412097447,-6.504259977835325e-09,2,1.158813247581492e-07,2.737307713829296e-09,False,False,4.245036986978208e-14,5.740918851415699e-11,5.741052078178654e-11,3.552713678800501e-15,2.797270479352642e-14,10106763.70970353,1021604269651590,False,False,False,False,True,True,True,True,converged; gate_1_residual; gate_2_jacobi; gate_3_phase,maximum iterations reached,80,80,0.01893753549511157
pair_2_scale_0.5,stage_9_step_2km->stage_10_step_2km,0.5,46,-1,10290.24671170377,10292.24671170377,10293.24671170377,10293.15019090909,0.9034792053207639,1.444149173149763,1.444149057268438,1.444148999327776,1.444148996365264,-6.090317450357929e-08,2.92228241395609,2.922282413893966,-1.309717669907562e-08,2,1.158813247581492e-07,2.737307713829296e-09,False,False,3.728804720939595e-14,6.013589626263638e-11,6.013678444105608e-11,3.996802888650564e-15,1.863154621949975e-14,13957848.72224838,1342249881995703,False,False,False,False,True,True,True,True,converged; gate_1_residual; gate_2_jacobi; gate_3_phase,maximum iterations reached,80,80,0.017715119137562
pair_2_scale_0.25,stage_9_step_2km->stage_10_step_2km,0.25,46,-1,10290.24671170377,10292.24671170377,10292.74671170377,10292.81865029474,0.5719385909724224,1.444149173149763,1.444149057268438,1.444149028298107,1.444149030322676,-2.694576251016656e-08,2.922282414640417,2.922282414691052,-2.387566175321432e-08,2,1.158813247581492e-07,2.737307713829296e-09,False,False,4.664877632032972e-14,6.152767184630648e-11,6.152811593551633e-11,3.552713678800501e-15,1.195883303835793e-14,17851291.01487205,1679611243014174,False,False,False,False,True,True,True,True,converged; gate_1_residual; gate_2_jacobi; gate_3_phase,maximum iterations reached,80,80,0.01114480763098321
pair_2_scale_0.1,stage_9_step_2km->stage_10_step_2km,0.1,46,-1,10290.24671170377,10292.24671170377,10292.44671170377,10292.52175998866,0.2750482848950924,1.444149173149763,1.444149057268438,1.444149045680306,1.444149047836188,-9.432250092089589e-09,2.922282415051013,2.922282415102802,-1.066645809351396e-08,2,1.158813247581492e-07,2.737307713829296e-09,False,False,4.013001855608501e-14,6.24371665480794e-11,6.243849881570895e-11,2.664535259100376e-15,5.857506547110485e-15,22128492.00369669,2063191439205860,False,False,False,False,True,True,True,True,converged; gate_1_residual; gate_2_jacobi; gate_3_phase,maximum iterations reached,80,80,0.005112206868324405
