attempt_id,source_case_id,source_max_abs_z_km,source_mapping_time_days,source_rho_rad,source_mean_jacobi,target_mapping_time_days,target_max_abs_z_km,solved_max_abs_z_km,anchor_amplitude_error_km,max_abs_z_error_km,solved_mapping_time_days,mapping_time_error_days,solved_rho_rad,delta_rho_from_source,solved_mean_jacobi,delta_mean_jacobi_from_source,converged,accepted_projection,reaches_10500_km,reaches_11000_km,map_residual_max,mean_jacobi_residual,jacobi_mean_span,jacobi_one_map_drift,jacobi_ten_return_span,phase_residual,second_phase_residual,phase_return_error,condition_number,raw_condition_number,gate_1_residual,gate_2_jacobi,gate_3_phase,gate_4_rho_monotone_vs_endpoint,gate_5_amplitude_vs_endpoint,target_amplitude_gate,gate_6_mapping_time,gate_7_condition,failed_gates,failure_reason,newton_iterations,max_newton_steps,max_correction_norm
variable_T_fixed_T_projection_01,bounded_01_E_amplitude_monitor_large_step,10530.59578289068,14.76784774860394,1.44395965358976,2.922138411389485,14.74932760227518,10530.59578289068,12274.55011957168,0.02347756826506925,1743.954336680998,14.74932760253034,2.551630018388096e-10,1.443317401732111,-0.0006422518576485459,2.921020335788588,-0.001118075600897495,False,False,False,False,0.2038739486688425,-0.001186557758987572,0.01707289788800237,0.01707289788800281,3.108624468950438e-15,8.510711569861829e-08,2.295130394069922e-08,0.02325954698756632,77996.96280696888,143549.4657819479,False,False,False,False,True,False,False,True,converged; gate_1_residual; gate_2_jacobi; gate_3_phase; gate_4_rho_monotone_vs_endpoint; target_amplitude_gate; gate_6_mapping_time,maximum iterations reached,80,80,0.07881576621762659
variable_T_fixed_T_projection_02,bounded_02_E_amplitude_monitor_large_step,10681.86982573058,14.77725874695852,1.443916673260901,2.922063411389485,14.74932760227518,10681.86982573058,18787.23649424594,0.0227307614181077,8105.366668515364,14.75174360699975,0.002416004724574705,1.445369375025955,0.001452701765053632,2.920828933808845,-0.001234477580640103,False,False,False,False,0.1320569843629401,-0.001324935303532282,0.02209155382451788,0.02209155382451833,3.996802888650564e-15,2.404220266413737e-07,1.72905256744238e-08,0.01221427619371957,62639.20939184442,99540.70089281109,False,False,False,True,True,False,False,True,converged; gate_1_residual; gate_2_jacobi; gate_3_phase; target_amplitude_gate; gate_6_mapping_time,maximum iterations reached,80,80,0.07970723906360175
variable_T_fixed_T_projection_03,bounded_03_E_amplitude_monitor_large_step,10826.90075028186,14.78668998626275,1.443856295065607,2.921988411389486,14.74932760227518,10826.90075028186,15549.26254810591,0.0104623299081702,4722.361797824045,14.75339742056264,0.004069818287456783,1.444395294562181,0.0005389994965736555,2.920921570965159,-0.001066840424326809,False,False,False,False,0.1126407236496696,-0.001172124891043236,0.01619884566750063,0.01619884566750152,2.664535259100376e-15,-1.722684852406564e-08,2.449425928752191e-08,0.03667378999642664,25964.16329987994,43687.2341441695,False,False,False,True,True,False,False,True,converged; gate_1_residual; gate_2_jacobi; gate_3_phase; target_amplitude_gate; gate_6_mapping_time,maximum iterations reached,80,80,0.07945744238091028
variable_T_fixed_T_projection_04,bounded_04_E_amplitude_monitor_large_step,10968.39588679926,14.79612710817628,1.443785768159702,2.921913411389485,14.74932760227518,10968.39588679926,12991.9841864741,2.137549669179821,2023.588299674841,14.76163717382087,0.01230957154568735,1.442466090325895,-0.001319677833806709,2.921043288461918,-0.0008701229275671629,False,False,False,False,0.1364620484587726,-0.001171041306809784,0.01402172838995064,0.01402172838995153,2.220446049250313e-15,9.294480851412476e-08,9.62664856579698e-08,0.1364620484587643,39107.92585899928,63323.02565663687,False,False,False,False,True,False,False,True,converged; gate_1_residual; gate_2_jacobi; gate_3_phase; gate_4_rho_monotone_vs_endpoint; target_amplitude_gate; gate_6_mapping_time,maximum iterations reached,80,80,0.09932481148212333
variable_T_fixed_T_projection_05,bounded_05_E_amplitude_monitor_large_step,11107.54149221647,14.80556377691894,1.443708620764216,2.921838411389486,14.74932760227518,11107.54149221647,19139.14194876293,0.2986526411161775,8031.600456546454,14.76375500306481,0.01442740078962679,1.445663578654721,0.001954957890505149,2.920832780154375,-0.001005631235110993,False,False,False,False,0.1061358741747052,-0.001149818553501269,0.02051997464738786,0.02051997464738875,3.108624468950438e-15,6.503591281140086e-08,-4.245204844252615e-08,0.1061358741747029,93402.03839938389,123055.2369341475,False,False,False,True,True,False,False,True,converged; gate_1_residual; gate_2_jacobi; gate_3_phase; target_amplitude_gate; gate_6_mapping_time,maximum iterations reached,80,80,0.07842110615772117
