step,event,curve_samples,mapping_time_days,mapping_time_error_days,rotation_angle_rad,mean_jacobi,energy_residual,curve_jacobi_span,max_map_residual,phase_residual,amplitude,newton_iterations,jacobian_condition,status
0,free_time_anchor,57,14.772671241182167,0.023343638906984765,1.443937779481568,2.9220999999999306,-6.927791673660977e-14,1.757793910428518e-11,6.560706417540533e-12,6.505213034913027e-19,0.027047481716040208,0.0,nan,pass
1,time_homotopy,57,14.767671241182166,0.018343638906983983,1.4463006973119876,2.922099999995328,1.085398437794538e-11,1.0453859999870474e-11,4.2305977365434637e-10,8.673617379884035e-19,0.029050095283114023,7.0,nan,pass
2,time_homotopy,57,14.761421241182166,0.012093638906984339,1.4492194308331152,2.922099999999912,2.1316282072803006e-13,2.48245868306185e-13,9.190947590894231e-12,-1.3010426069826053e-18,0.03137994857312223,4.0,nan,pass
3,time_homotopy,57,14.753608741182166,0.004281138906984339,1.4528575593488802,2.9220999999998587,1.6564527527407336e-13,5.728750807065808e-14,4.906428962379352e-12,3.469446951953614e-18,0.034060780975593355,5.0,nan,pass
4,time_homotopy,57,14.749327602275182,0.0,1.4548474691039088,2.922099999989426,1.3733902903823036e-11,8.813838547894193e-12,4.57610745983986e-10,1.48318857196017e-16,0.03544039323817301,3.0,nan,pass
