time_phase_index,curve_phase_index,x_nd,y_nd,z_nd
0,0,0.9894716669091534,5.151324948832908e-07,0.006280064288139592
0,1,0.989471666322128,5.234815797694054e-07,0.006280063178968336
0,2,0.9894716653560398,5.316385121328029e-07,0.006280061353828804
0,3,0.9894716640218354,5.395108703435723e-07,0.006280058833400801
0,4,0.9894716623346345,5.470094571634071e-07,0.006280055646242092
0,5,0.9894716603135491,5.540493103978057e-07,0.006280051828464779
0,6,0.9894716579814827,5.605506655619379e-07,0.006280047423326205
0,7,0.9894716553648573,5.664398596522312e-07,0.006280042480738743
0,8,0.9894716524933207,5.716501657829458e-07,0.006280037056704276
0,9,0.989471649399408,5.761225492302722e-07,0.006280031212679651
0,10,0.9894716461181771,5.798063363170426e-07,0.006280025014880349
0,11,0.9894716426868007,5.826597885588397e-07,0.006280018533530153
0,12,0.9894716391441628,5.846505755660386e-07,0.006280011842065588
0,13,0.9894716355304001,5.857561413437793e-07,0.006280005016303731
0,14,0.9894716318864596,5.859639598402274e-07,0.006279998133583249
0,15,0.9894716282536281,5.85271676848728e-07,0.006279991271888075
0,16,0.9894716246730659,5.836871366575395e-07,0.00627998450896383
0,17,0.9894716211853435,5.812282931469088e-07,0.006279977921436975
0,18,0.9894716178299774,5.779230063425781e-07,0.00627997158394656
0,19,0.9894716146449851,5.738087267324931e-07,0.006279965568298579
0,20,0.9894716116664546,5.689320709248138e-07,0.006279959942652382
0,21,0.989471608928133,5.6334829345596e-07,0.006279954770748414
0,22,0.9894716064610464,5.57120660733522e-07,0.006279950111186024
0,23,0.9894716042931472,5.503197342071107e-07,0.006279946016759535
0,24,0.9894716024489997,5.430225708882414e-07,0.006279942533860076
0,25,0.9894716009494984,5.353118502764861e-07,0.006279939701949968
0,26,0.9894715998116324,5.272749375828787e-07,0.006279937553115613
0,27,0.9894715990482948,5.190028938634179e-07,0.006279936111703969
0,28,0.9894715986681335,5.105894442772993e-07,0.006279935394046678
0,29,0.9894715986754575,5.02129916159324e-07,0.006279935408275055
0,30,0.9894715990701827,4.937201589382736e-07,0.006279936154227934
0,31,0.9894715998478367,4.854554581390174e-07,0.006279937623453504
0,32,0.9894716009996086,4.774294557732618e-07,0.006279939799305067
0,33,0.9894716025124486,4.697330893514282e-07,0.006279942657129637
0,34,0.9894716043692146,4.624535615369797e-07,0.006279946164547239
0,35,0.9894716065488712,4.556733521170412e-07,0.006279950281817817
