sample,phase_rad,rotation_angle_rad,orbit_period,orbit_jacobi,vertical_amplitude,initial_q0,initial_q1,mapped_q0,mapped_q1,predicted_q0,predicted_q1,residual_norm,corrected_initial_q0,corrected_initial_q1,corrected_mapped_q0,corrected_mapped_q1,corrected_residual_norm,first_correction_norm,curve_newton_initial_q0,curve_newton_initial_q1,curve_newton_mapped_q0,curve_newton_mapped_q1,curve_newton_target_q0,curve_newton_target_q1,curve_newton_residual_norm,curve_newton_first_correction_norm,jacobi_drift,map_stm_determinant,curve_newton_first_jacobian_condition
0,0,0.1760866711275833,2.691785117761035,3.18828263796405,1e-05,1,-3.111912999110855e-28,0.9845362121057201,0.1751787374203053,0.9845367592468215,0.1751781084832415,5.613912102667737e-07,0.9999995389624876,-7.150590441914484e-07,0.9845367592477903,0.1751781084821323,9.961737704733597e-13,7.015915555102792e-07,0.9963900858830025,-0.0003432990631225369,0.9810428050646756,0.1742077445729801,0.9810428074252581,0.1742077421684923,5.349762879989577e-11,1.138705122966595e-07,0,0.9999999997142652,7981926679.667461
1,0.8975979010256552,0.1760866711275833,2.691785117761035,3.18828263796405,1e-05,0.6234898018587336,0.78183148246803,0.4768879018391137,0.8789641240381926,0.4768888686940425,0.8789635981744162,4.938017087571663e-07,0.6234910917995379,0.7818313347708029,0.4768888686936517,0.8789635981746273,1.990882837151541e-13,1.229929797499005e-06,0.6215074642340296,0.7787951056635783,0.4754690892857077,0.8756269128513933,0.4754690929254237,0.8756269109993589,5.331243986704378e-11,9.543191180589146e-08,4.440892098500626e-16,1.000000000463745,7981926679.667461
2,1.79519580205131,0.1760866711275833,2.691785117761035,3.18828263796405,1e-05,-0.2225209339563143,0.9749279121818237,-0.3898677718680313,0.9208718143138257,-0.3898660667454533,0.920871570850371,1.166167176519621e-06,-0.2225195590709861,0.9749285182789585,-0.3898660667456007,0.920871570850393,1.015059057877842e-13,6.994541710655039e-07,-0.2213829505681279,0.9714849022773009,-0.3881425430786826,0.9176811480252287,-0.3881425373810791,0.9176811476010736,6.147114688878504e-11,8.95864590129554e-08,-4.440892098500626e-16,0.9999999996738247,7981926679.667461
3,2.692793703076966,0.1760866711275833,2.691785117761035,3.18828263796405,1e-05,-0.9009688679024191,0.4338837391175583,-0.9630437803763544,0.2693437176035943,-0.9630439021071755,0.2693444683192608,9.345259208062957e-07,-0.9009682967937298,0.4338842301328201,-0.9630439021071917,0.2693444683193684,1.345290502091023e-13,4.071605750249581e-07,-0.8975674868261471,0.4326267601335613,-0.9594749240202186,0.2687027688854358,-0.9594749251074971,0.2687027719143631,5.628194119344129e-11,1.112042801155671e-07,0,1.000000000968474,7981926679.667461
4,3.590391604102621,0.1760866711275833,2.691785117761035,3.18828263796405,1e-05,-0.9009688679024191,-0.4338837391175581,-0.8110294416502654,-0.5850049565034066,-0.8110300366666753,-0.5850045124821273,3.652490074367323e-07,-0.9009691001022249,-0.4338830648927369,-0.811030036667466,-0.5850045124815383,4.877172828972258e-13,1.067819845561962e-06,-0.897865404801974,-0.4320081605684456,-0.8083031225777525,-0.5826142809623606,-0.8083031249455992,-0.5826142793178403,5.034798884213985e-11,1.073129615232602e-07,-4.440892098500626e-16,0.9999999994780026,7981926679.667461
5,4.487989505128276,0.1760866711275833,2.691785117761035,3.18828263796405,1e-05,-0.2225209339563146,-0.9749279121818237,-0.04829239863761196,-0.9988337634400831,-0.04829401161839824,-0.9988331634671538,8.502428369829305e-07,-0.2225227169867118,-0.9749283537383031,-0.04829401161807489,-0.9988331634672742,1.712853727367748e-13,1.065952008082563e-06,-0.2220523498010418,-0.9713321247714537,-0.04846257404313873,-0.9952108921421365,-0.04846257979581865,-0.9952108902205855,5.628143136304544e-11,8.691293188710129e-08,8.881784197001252e-16,0.9999999997580701,7981926679.667461
6,5.385587406153931,0.1760866711275833,2.691785117761035,3.18828263796405,1e-05,0.6234898018587335,-0.7818314824680298,0.7508092785849282,-0.6605196734301504,0.7508083891968385,-0.6605200698780084,1.203677266762329e-06,0.6234890421916329,-0.7818319494928637,0.7508083891960616,-0.6605200698783511,1.053899455835709e-12,4.062781370338978e-07,0.6209706418802313,-0.7792231836714456,0.747871269363494,-0.6583934012273444,0.7478712668792842,-0.6583934031448888,6.006357721067176e-11,1.00834328253699e-07,4.440892098500626e-16,1.000000001004541,7981926679.667461
