resonance,period_nd,half_period_nd,segments,segment_duration_nd,segment_duration_consistency_error,patch_to_patch_continuity_residual_norm,max_patch_to_patch_continuity_residual,terminal_symmetry_residual_norm,multiple_shooting_residual_norm,full_period_single_shoot_closure_error,half_period_single_shoot_symmetry_error,trajectory_sampling_closure_error,trajectory_jacobi_drift,full_period_single_shoot_jacobi_drift,monodromy_multiplier_magnitudes,max_monodromy_multiplier_abs,min_monodromy_multiplier_abs,per_segment_endpoint_errors,diagnosis
2,5.335754467733929,2.667877233866964,4,0.6669693084667411,0,4.13332759558329e-14,3.683124359157331e-14,6.442105992234368e-14,7.654092149144291e-14,1.09843984646522e-10,2.520377481836018e-12,0,4.440892098500626e-15,2.664535259100376e-15,2351.226924719319;0.0004253098597652375;1.066314915813484;0.9378092579955285;1.00000000000958;1.00000000000958,2351.226924719319,0.0004253098597652375,3.683124359157331e-14;1.710009753143751e-14;7.712707770591874e-15;6.442105992234368e-14,single-shoot and multiple-shooting closure agree at validation scale
3,8.347211146187592,4.173605573093796,6,0.695600928848966,0,3.68884664377323e-15,2.851695586860311e-15,7.113688326399966e-17,3.689532493072467e-15,5.188337924828195e-09,1.138135436686178e-12,0,1.77635683940025e-15,1.77635683940025e-15,6784874.074025229;1.508576898816541e-07;0.9999999712146913;0.9999999712146913;1.000000021934447;1.000000021934447,6784874.074025229,1.508576898816541e-07,1.353030934102132e-15;1.25042762070274e-15;6.918045903145107e-16;2.851695586860311e-15;1.265925079427933e-15;7.113688326399966e-17,single-shoot and multiple-shooting closure agree at validation scale
8,22.40374044716214,11.20187022358107,16,0.7001168889738169,0,8.340091833826684e-15,4.449174256501444e-15,6.142680907863513e-16,8.362682409611216e-15,3.906984451743337,0.0001653597844259566,0,2.220446049250313e-15,2.353672812205332e-14,3.431052642945378e+16;19.97070437522114;16.8505734945243;3.496018178645103;3.210321414989015;0.2411445007423285,3.431052642945378e+16,0.2411445007423285,9.599982285615363e-16;1.679769565964943e-15;7.605100723916154e-16;3.751040992101708e-15;1.760581583451437e-15;4.163887080621327e-15;1.585320876330127e-15;2.818925648462312e-16;4.449174256501444e-15;3.628683272005492e-16;4.446309804673419e-16;2.151446688229819e-15;1.43737752077175e-15;4.275204801970156e-16;1.064351459974911e-15;6.142680907863513e-16,B: single-arc divergence on a highly unstable corrected half-period multiple-shooting orbit; period and reflection definitions are consistent
