target_jacobi,phase_index,phase_rad,x,y,z,xdot,ydot,zdot,point_jacobi,mapping_time_days,rotation_angle_rad,curve_samples,max_map_residual,curve_jacobi_span
2.9221,0,0.0,0.7987068768431053,-0.0694354590742735,-0.000872078801597896,-0.08335025220013526,0.5085622814286629,-0.05787343361592921,2.922099999986913,14.749327602275182,1.4548474691039088,57,4.57610745983986e-10,8.813838547894193e-12
2.9221,1,0.11023132117858923,0.7983988427429197,-0.0690583188961711,0.0028159107590159218,-0.08321397372133633,0.5089511724207846,-0.05765880591256587,2.922099999986319,14.749327602275182,1.4548474691039088,57,4.57610745983986e-10,8.813838547894193e-12
2.9221,2,0.22046264235717847,0.7982838773909955,-0.06879168652700691,0.006433457216624792,-0.08332149462184965,0.509112586460388,-0.05666072901725635,2.922099999986379,14.749327602275182,1.4548474691039088,57,4.57610745983986e-10,8.813838547894193e-12
2.9221,3,0.3306939635357677,0.7983468370262016,-0.06854092747396677,0.009953016156202676,-0.08357089861345728,0.509108018832864,-0.05486814941649341,2.922099999986967,14.749327602275182,1.4548474691039088,57,4.57610745983986e-10,8.813838547894193e-12
2.9221,4,0.44092528471435694,0.7985726326349426,-0.06819800478006648,0.013349556679764653,-0.08385158639466284,0.5090004939210889,-0.05229598192761592,2.9220999999877972,14.749327602275182,1.4548474691039088,57,4.57610745983986e-10,8.813838547894193e-12
2.9221,5,0.5511566058929461,0.7989496913999233,-0.06768263073846582,0.016603498515745475,-0.08407269596949407,0.5088344938568264,-0.048983107810594534,2.9220999999885264,14.749327602275182,1.4548474691039088,57,4.57610745983986e-10,8.813838547894193e-12
2.9221,6,0.6613879270715354,0.799469659428996,-0.0669734309755481,0.01970119773499867,-0.08418397552310085,0.5086237237462786,-0.04498832494473587,2.9220999999889803,14.749327602275182,1.4548474691039088,57,4.57610745983986e-10,8.813838547894193e-12
2.9221,7,0.7716192482501246,0.8001238775511371,-0.06611862043602293,0.022631538954276897,-0.08418478595222895,0.5083509435490104,-0.04038577845831129,2.922099999989143,14.749327602275182,1.4548474691039088,57,4.57610745983986e-10,8.813838547894193e-12
2.9221,8,0.8818505694287139,0.8008983157397493,-0.06522429861968304,0.025379664721888805,-0.08412046072060678,0.5079792482733382,-0.0352605801920223,2.9220999999891,14.749327602275182,1.4548474691039088,57,4.57610745983986e-10,8.813838547894193e-12
2.9221,9,0.9920818906073031,0.8017691323728299,-0.06442638123467088,0.02792070085846721,-0.08406783352885533,0.5074696831906661,-0.029704686865850927,2.922099999988922,14.749327602275182,1.4548474691039088,57,4.57610745983986e-10,8.813838547894193e-12
